requisition_id,department_id,job_level,open_date,close_date,applications_received,offers_made,hires
REQ0028,DEP01,JL3,2024-05-11,2024-07-10,75,4,4
REQ0029,DEP01,JL2,2024-04-14,2024-07-17,131,5,3
REQ0030,DEP07,JL5,2022-06-28,2022-10-13,111,1,1
REQ0031,DEP01,JL5,2022-12-26,2023-02-14,69,3,1
REQ0032,DEP07,JL2,2023-10-07,2023-10-30,29,2,1
REQ0033,DEP01,JL2,2024-04-13,2024-05-13,24,3,3
REQ0034,DEP08,JL5,2023-09-05,2023-12-28,49,4,3
REQ0035,DEP01,JL3,2024-02-22,2024-06-13,141,3,3
REQ0036,DEP07,JL4,2024-07-12,2024-09-17,128,5,2
REQ0037,DEP01,JL2,2024-01-26,2024-03-16,105,4,3
REQ0038,DEP01,JL3,2024-01-11,2024-02-25,36,2,2
REQ0039,DEP01,JL1,2023-01-05,2023-04-28,81,1,1
REQ0040,DEP01,JL1,2023-08-14,2023-10-31,39,3,3
REQ0041,DEP03,JL2,2022-09-14,2022-11-14,54,1,1
REQ0042,DEP05,JL3,2023-12-02,2024-02-14,150,1,1
REQ0043,DEP03,JL4,2024-01-15,2024-04-01,78,2,1
REQ0044,DEP02,JL2,2023-08-10,2023-10-18,64,5,3
REQ0045,DEP02,JL3,2023-10-02,2023-12-13,16,1,1
REQ0046,DEP01,JL2,2024-05-16,2024-08-28,21,3,1
REQ0047,DEP04,JL2,2024-10-11,2024-12-02,83,2,1
REQ0048,DEP05,JL4,2024-01-06,2024-02-23,50,2,1
REQ0049,DEP01,JL3,2024-10-17,2024-12-16,16,2,2
REQ0050,DEP06,JL3,2023-02-17,2023-06-04,75,1,1
REQ0051,DEP01,JL5,2024-04-19,2024-08-15,54,1,1
REQ0052,DEP03,JL5,2022-10-21,2023-01-07,36,3,2
REQ0053,DEP07,JL1,2023-03-02,2023-05-21,118,3,3
REQ0054,DEP06,JL1,2024-06-28,2024-10-11,63,3,3
REQ0055,DEP02,JL2,2022-10-16,2023-01-29,41,3,2
REQ0056,DEP05,JL1,2023-10-10,2023-12-09,65,1,1
REQ0057,DEP04,JL3,2022-07-14,2022-10-23,120,2,1
REQ0058,DEP01,JL3,2022-11-07,2022-11-29,141,1,1
REQ0059,DEP01,JL3,2024-06-15,2024-08-29,93,5,2
REQ0060,DEP07,JL1,2024-02-01,2024-04-30,17,4,4
REQ0061,DEP04,JL2,2023-06-30,2023-09-26,22,2,2
REQ0062,DEP06,JL2,2022-12-23,2023-02-18,23,3,1
REQ0063,DEP02,JL1,2023-11-01,2023-12-20,122,5,4
REQ0064,DEP03,JL2,2022-11-03,2023-01-19,53,5,2
REQ0065,DEP01,JL3,2022-12-04,2023-01-25,63,4,4
REQ0066,DEP01,JL2,2024-02-15,2024-04-24,35,1,1
REQ0067,DEP04,JL2,2023-11-24,2024-02-27,88,4,2
REQ0068,DEP01,JL2,2022-11-25,2022-12-23,96,4,2
REQ0069,DEP02,JL1,2024-02-02,2024-04-04,71,4,2
REQ0070,DEP04,JL3,2024-10-15,2024-12-17,120,5,2
REQ0071,DEP06,JL1,2024-01-28,2024-04-28,52,2,2
REQ0072,DEP04,JL2,2024-06-21,2024-09-17,36,2,1
REQ0073,DEP07,JL3,2024-09-04,2024-11-25,88,3,1
REQ0074,DEP04,JL2,2024-03-15,2024-07-05,81,5,1
REQ0075,DEP03,JL3,2023-10-23,2024-02-06,20,1,1
REQ0076,DEP01,JL4,2024-06-22,2024-08-03,100,2,2
REQ0077,DEP02,JL2,2023-09-05,2023-11-23,94,3,3
REQ0078,DEP04,JL1,2024-07-13,2024-10-10,28,5,1
REQ0079,DEP06,JL5,2022-12-10,2023-02-05,133,3,2
REQ0080,DEP02,JL1,2022-12-28,2023-04-24,80,1,1
REQ0081,DEP01,JL2,2023-09-17,2024-01-13,96,2,2
REQ0082,DEP01,JL3,2023-06-13,2023-07-29,35,1,1
REQ0083,DEP01,JL1,2023-07-16,2023-09-28,147,2,1
REQ0084,DEP07,JL1,2022-10-05,2023-01-19,17,4,2
REQ0085,DEP01,JL1,2024-04-13,2024-07-21,20,5,2
REQ0086,DEP05,JL2,2023-12-17,2024-04-11,116,2,2
REQ0087,DEP08,JL2,2022-08-08,2022-08-22,37,1,1
REQ0088,DEP04,JL1,2022-06-02,2022-08-05,79,1,1
REQ0089,DEP01,JL3,2022-10-17,2022-11-27,15,5,1
REQ0090,DEP04,JL5,2024-03-29,2024-06-16,122,2,1
REQ0091,DEP06,JL1,2024-08-31,2024-10-21,17,4,1
REQ0092,DEP02,JL2,2022-07-30,2022-10-10,31,5,5
REQ0093,DEP04,JL3,2024-10-06,2025-01-03,94,1,1
REQ0094,DEP07,JL3,2023-10-30,2024-01-18,36,5,1
REQ0095,DEP05,JL1,2022-06-28,2022-07-28,143,1,1
REQ0096,DEP03,JL1,2023-12-26,2024-04-08,130,1,1
REQ0097,DEP03,JL3,2023-03-06,2023-05-19,107,3,3
REQ0098,DEP04,JL3,2023-03-11,2023-06-06,37,5,5
REQ0099,DEP03,JL1,2022-10-12,2022-12-14,147,5,2
REQ0100,DEP02,JL2,2023-12-16,2024-02-14,68,1,1
REQ0101,DEP07,JL1,2024-06-05,2024-09-28,33,4,4
REQ0102,DEP05,JL1,2023-12-30,2024-02-10,67,5,3
REQ0103,DEP08,JL1,2022-07-23,2022-11-02,27,1,1
REQ0104,DEP01,JL2,2022-08-16,2022-11-21,96,5,2
REQ0105,DEP01,JL1,2023-08-06,2023-10-27,61,5,1
REQ0106,DEP08,JL2,2024-07-17,2024-08-05,17,5,1
REQ0107,DEP01,JL2,2022-11-27,2023-01-15,105,4,3
REQ0108,DEP04,JL1,2023-12-23,2024-01-12,35,1,1
REQ0109,DEP04,JL4,2022-07-03,2022-08-14,39,5,3
REQ0110,DEP02,JL3,2022-07-02,2022-09-25,139,1,1
REQ0111,DEP04,JL4,2024-11-02,2025-01-10,94,5,3
REQ0112,DEP05,JL4,2024-07-02,2024-09-01,81,2,2
REQ0113,DEP01,JL3,2023-05-03,2023-06-29,140,2,2
REQ0114,DEP04,JL1,2022-09-20,2023-01-04,115,2,2
REQ0115,DEP08,JL3,2024-01-29,2024-04-18,75,4,1
REQ0116,DEP04,JL5,2024-11-14,2025-01-22,30,3,1
REQ0117,DEP08,JL2,2023-06-09,2023-07-18,35,3,1
REQ0118,DEP05,JL2,2024-07-06,2024-09-24,110,1,1
REQ0119,DEP01,JL3,2024-03-22,2024-04-08,114,3,3
REQ0120,DEP08,JL1,2023-06-11,2023-09-03,68,3,3
REQ0121,DEP03,JL1,2023-12-16,2024-02-18,66,5,3
REQ0122,DEP06,JL1,2024-09-09,2024-11-04,127,5,4
REQ0123,DEP07,JL5,2022-11-02,2023-02-25,55,3,1
REQ0124,DEP05,JL1,2023-10-13,2023-11-14,107,1,1
REQ0125,DEP03,JL1,2022-09-26,2022-12-24,40,3,3
REQ0126,DEP01,JL2,2024-10-16,2024-11-18,133,5,4
REQ0127,DEP02,JL1,2024-01-26,2024-03-26,90,5,4
REQ0128,DEP03,JL1,2022-07-14,2022-10-04,60,2,1
REQ0129,DEP08,JL3,2023-08-11,2023-09-07,68,3,1
REQ0130,DEP08,JL4,2024-05-22,2024-09-03,44,5,4
REQ0131,DEP05,JL3,2023-10-22,2024-01-18,120,2,2
REQ0132,DEP04,JL3,2022-11-29,2023-01-09,25,1,1
REQ0133,DEP03,JL2,2023-01-20,2023-02-20,141,3,3
REQ0134,DEP01,JL2,2022-08-23,2022-10-30,96,1,1
REQ0135,DEP08,JL2,2023-02-05,2023-02-19,80,2,1
REQ0136,DEP02,JL3,2023-05-05,2023-06-28,120,2,1
REQ0137,DEP01,JL3,2024-04-13,2024-06-07,64,2,2
REQ0138,DEP01,JL1,2024-05-31,2024-07-10,87,2,1
REQ0139,DEP05,JL1,2023-06-02,2023-09-03,79,1,1
REQ0140,DEP04,JL3,2023-06-23,2023-10-03,116,1,1
REQ0141,DEP04,JL2,2024-09-21,,22,0,0
REQ0142,DEP07,JL1,2024-09-24,,14,0,0
REQ0143,DEP08,JL1,2024-11-30,,25,0,0
REQ0144,DEP07,JL5,2024-09-16,,14,0,0
REQ0145,DEP01,JL2,2024-09-28,,29,0,0
REQ0146,DEP08,JL1,2024-10-31,,18,0,0
REQ0147,DEP03,JL5,2024-09-25,,28,0,0
REQ0148,DEP02,JL4,2024-09-20,,34,0,0
REQ0149,DEP08,JL3,2024-10-27,,23,0,0
REQ0150,DEP08,JL1,2024-11-14,,38,0,0
