actual_id,cost_center_id,account_id,department_id,transaction_date,amount,vendor
90,CC001,ACC005,DEPT03,2024-02-01,2609.36,GlobalServ
91,CC001,ACC005,DEPT03,2024-03-04,3807.27,DataPro
92,CC001,ACC005,DEPT03,2024-04-08,2658.97,TechVentures
93,CC001,ACC005,DEPT03,2024-04-16,2096.95,PrimeSoft
94,CC001,ACC005,DEPT03,2024-05-12,6552.56,BrightPath
95,CC001,ACC005,DEPT03,2024-06-25,5688.83,GlobalServ
96,CC001,ACC005,DEPT03,2024-07-16,1828.71,GlobalServ
97,CC001,ACC005,DEPT03,2024-07-27,1935.36,DataPro
98,CC001,ACC005,DEPT03,2024-08-25,2928.0,SwiftHire
99,CC001,ACC005,DEPT03,2024-08-25,3103.24,BrightPath
100,CC001,ACC005,DEPT03,2024-09-24,1468.01,GreenLight
101,CC001,ACC005,DEPT03,2024-09-22,1397.77,PrimeSoft
102,CC001,ACC005,DEPT03,2024-09-22,1650.68,DataPro
103,CC001,ACC005,DEPT03,2024-10-24,8296.71,RedPoint
104,CC001,ACC005,DEPT03,2024-11-10,5857.03,PrimeSoft
105,CC001,ACC005,DEPT03,2024-12-04,5516.35,PrimeSoft
106,CC001,ACC004,DEPT03,2023-01-09,13356.38,AlphaServices
107,CC001,ACC004,DEPT03,2023-02-02,4485.9,AlphaServices
108,CC001,ACC004,DEPT03,2023-02-16,6215.45,SwiftHire
109,CC001,ACC004,DEPT03,2023-03-06,12722.91,BrightPath
110,CC001,ACC004,DEPT03,2023-04-25,7295.36,OmniTech
111,CC001,ACC004,DEPT03,2023-04-12,5127.81,OmniTech
112,CC001,ACC004,DEPT03,2023-05-16,9874.52,PrimeSoft
113,CC001,ACC004,DEPT03,2023-06-12,13044.54,GreenLight
114,CC001,ACC004,DEPT03,2023-07-13,7549.38,CloudBase
115,CC001,ACC004,DEPT03,2023-07-09,10175.13,RedPoint
116,CC001,ACC004,DEPT03,2023-08-18,5730.18,SwiftHire
117,CC001,ACC004,DEPT03,2023-08-19,5575.82,GlobalServ
118,CC001,ACC004,DEPT03,2023-09-28,13245.84,BlueWave
119,CC001,ACC004,DEPT03,2023-10-17,5888.56,GlobalServ
120,CC001,ACC004,DEPT03,2023-10-27,6676.41,DataPro
121,CC001,ACC004,DEPT03,2023-11-17,14942.81,NetWorks Inc
122,CC001,ACC004,DEPT03,2023-12-12,8546.41,GreenLight
123,CC001,ACC004,DEPT03,2023-12-11,8547.92,SwiftHire
124,CC001,ACC004,DEPT03,2024-01-07,4510.33,CoreLogic
125,CC001,ACC004,DEPT03,2024-01-25,4293.01,CoreLogic
126,CC001,ACC004,DEPT03,2024-01-10,3446.49,CloudBase
127,CC001,ACC004,DEPT03,2024-02-22,11307.65,TechVentures
128,CC001,ACC004,DEPT03,2024-03-02,2970.48,PrimeSoft
129,CC001,ACC004,DEPT03,2024-03-07,2872.87,TechVentures
130,CC001,ACC004,DEPT03,2024-03-21,2770.29,BlueWave
131,CC001,ACC004,DEPT03,2024-04-19,13889.56,DataPro
132,CC001,ACC004,DEPT03,2024-05-01,13432.06,RedPoint
133,CC001,ACC004,DEPT03,2024-06-27,10122.55,TechVentures
134,CC001,ACC004,DEPT03,2024-06-21,8531.29,Acme Corp
135,CC001,ACC004,DEPT03,2024-07-27,8454.45,CloudBase
136,CC001,ACC004,DEPT03,2024-07-02,8173.12,BlueWave
137,CC001,ACC004,DEPT03,2024-08-27,17719.24,DataPro
138,CC001,ACC004,DEPT03,2024-09-04,10399.79,SwiftHire
139,CC001,ACC004,DEPT03,2024-10-22,11431.52,PrimeSoft
140,CC001,ACC004,DEPT03,2024-11-18,5228.87,NetWorks Inc
141,CC001,ACC004,DEPT03,2024-11-25,5612.46,OmniTech
142,CC001,ACC004,DEPT03,2024-11-22,5265.95,BrightPath
143,CC001,ACC004,DEPT03,2024-12-26,13306.5,GlobalServ
144,CC001,ACC014,DEPT03,2023-01-18,13712.25,AlphaServices
145,CC001,ACC014,DEPT03,2023-02-11,10182.45,BlueWave
146,CC001,ACC014,DEPT03,2023-03-24,5520.1,CloudBase
147,CC001,ACC014,DEPT03,2023-03-19,5923.96,CoreLogic
148,CC001,ACC014,DEPT03,2023-04-09,6137.23,CloudBase
149,CC001,ACC014,DEPT03,2023-04-15,6211.7,NetWorks Inc
150,CC001,ACC014,DEPT03,2023-05-01,9307.13,CoreLogic
151,CC001,ACC014,DEPT03,2023-06-08,4368.65,PrimeSoft
152,CC001,ACC014,DEPT03,2023-06-01,6217.39,GreenLight
153,CC001,ACC014,DEPT03,2023-07-18,6128.69,CoreLogic
154,CC001,ACC014,DEPT03,2023-07-19,6883.66,GlobalServ
155,CC001,ACC014,DEPT03,2023-08-09,8527.71,CloudBase
156,CC001,ACC014,DEPT03,2023-09-10,12268.6,TechVentures
157,CC001,ACC014,DEPT03,2023-10-03,12161.06,SwiftHire
158,CC001,ACC014,DEPT03,2023-11-23,12006.89,SwiftHire
159,CC001,ACC014,DEPT03,2023-12-10,4217.11,Acme Corp
160,CC001,ACC014,DEPT03,2023-12-19,4437.38,NetWorks Inc
161,CC001,ACC014,DEPT03,2023-12-02,3377.41,RedPoint
162,CC001,ACC014,DEPT03,2024-01-14,16023.26,RedPoint
163,CC001,ACC014,DEPT03,2024-02-21,6552.97,BlueWave
164,CC001,ACC014,DEPT03,2024-02-01,7658.27,OmniTech
165,CC001,ACC014,DEPT03,2024-03-02,11901.67,CloudBase
166,CC001,ACC014,DEPT03,2024-04-08,13155.39,GlobalServ
167,CC001,ACC014,DEPT03,2024-05-15,4645.62,GreenLight
168,CC001,ACC014,DEPT03,2024-05-17,5038.27,TechVentures
169,CC001,ACC014,DEPT03,2024-06-05,10750.45,CloudBase
170,CC001,ACC014,DEPT03,2024-07-13,8097.06,DataPro
171,CC001,ACC014,DEPT03,2024-08-05,9820.22,GreenLight
172,CC001,ACC014,DEPT03,2024-09-21,9720.06,AlphaServices
173,CC001,ACC014,DEPT03,2024-10-08,5183.3,PrimeSoft
174,CC001,ACC014,DEPT03,2024-10-25,3925.16,NetWorks Inc
175,CC001,ACC014,DEPT03,2024-11-22,3395.43,NetWorks Inc
176,CC001,ACC014,DEPT03,2024-11-12,3938.07,PrimeSoft
177,CC001,ACC014,DEPT03,2024-11-20,3771.02,OmniTech
178,CC001,ACC014,DEPT03,2024-12-20,12184.41,BlueWave
179,CC001,ACC003,DEPT03,2023-01-02,22762.04,RedPoint
180,CC001,ACC003,DEPT03,2023-02-25,22288.12,SwiftHire
181,CC001,ACC003,DEPT03,2023-03-20,23086.75,RedPoint
182,CC001,ACC003,DEPT03,2023-04-11,9275.81,SwiftHire
183,CC001,ACC003,DEPT03,2023-04-10,11370.44,BrightPath
184,CC001,ACC003,DEPT03,2023-05-07,22168.94,PrimeSoft
185,CC001,ACC003,DEPT03,2023-06-20,11618.33,SwiftHire
186,CC001,ACC003,DEPT03,2023-06-23,13639.97,SwiftHire
187,CC001,ACC003,DEPT03,2023-07-17,25657.07,Acme Corp
188,CC001,ACC003,DEPT03,2023-08-23,18298.58,AlphaServices
189,CC001,ACC003,DEPT03,2023-09-03,24722.29,NetWorks Inc
190,CC001,ACC003,DEPT03,2023-10-12,12979.92,BlueWave
191,CC001,ACC003,DEPT03,2023-10-10,9392.89,BlueWave
192,CC001,ACC003,DEPT03,2023-11-17,31363.32,SwiftHire
193,CC001,ACC003,DEPT03,2023-12-18,20959.77,TechVentures
194,CC001,ACC003,DEPT03,2024-01-23,17823.85,Acme Corp
195,CC001,ACC003,DEPT03,2024-02-16,5765.76,NetWorks Inc
196,CC001,ACC003,DEPT03,2024-02-01,6865.07,CloudBase
197,CC001,ACC003,DEPT03,2024-02-12,6714.78,OmniTech
198,CC001,ACC003,DEPT03,2024-03-09,7921.13,GreenLight
199,CC001,ACC003,DEPT03,2024-03-09,5483.62,RedPoint
200,CC001,ACC003,DEPT03,2024-03-27,6348.34,Acme Corp
201,CC001,ACC003,DEPT03,2024-04-11,7575.67,RedPoint
202,CC001,ACC003,DEPT03,2024-04-05,8145.02,TechVentures
203,CC001,ACC003,DEPT03,2024-04-17,9292.28,OmniTech
204,CC001,ACC003,DEPT03,2024-05-08,10577.62,AlphaServices
205,CC001,ACC003,DEPT03,2024-05-10,10222.98,RedPoint
206,CC001,ACC003,DEPT03,2024-06-21,20945.42,GlobalServ
207,CC001,ACC003,DEPT03,2024-07-05,9618.02,DataPro
208,CC001,ACC003,DEPT03,2024-07-17,11741.47,RedPoint
209,CC001,ACC003,DEPT03,2024-08-05,7055.26,OmniTech
210,CC001,ACC003,DEPT03,2024-08-06,6953.91,CloudBase
211,CC001,ACC003,DEPT03,2024-08-18,4902.57,SwiftHire
212,CC001,ACC003,DEPT03,2024-09-24,23163.8,Acme Corp
213,CC001,ACC003,DEPT03,2024-10-14,12525.45,DataPro
214,CC001,ACC003,DEPT03,2024-10-27,12675.74,RedPoint
215,CC001,ACC003,DEPT03,2024-11-07,10124.44,TechVentures
216,CC001,ACC003,DEPT03,2024-11-01,10028.41,GreenLight
217,CC001,ACC003,DEPT03,2024-12-20,14400.07,PrimeSoft
218,CC001,ACC003,DEPT03,2024-12-08,14348.98,OmniTech
219,CC002,ACC004,DEPT02,2023-01-05,22437.19,CoreLogic
220,CC002,ACC004,DEPT02,2023-02-06,28496.07,BlueWave
221,CC002,ACC004,DEPT02,2023-03-08,21847.08,Acme Corp
222,CC002,ACC004,DEPT02,2023-04-14,8710.45,PrimeSoft
223,CC002,ACC004,DEPT02,2023-04-07,8165.37,GreenLight
224,CC002,ACC004,DEPT02,2023-04-06,6564.06,RedPoint
225,CC002,ACC004,DEPT02,2023-05-23,29788.27,CloudBase
226,CC002,ACC004,DEPT02,2023-06-25,13235.04,Acme Corp
227,CC002,ACC004,DEPT02,2023-06-27,14218.44,NetWorks Inc
228,CC002,ACC004,DEPT02,2023-07-19,32133.23,AlphaServices
229,CC002,ACC004,DEPT02,2023-08-02,14126.98,CoreLogic
230,CC002,ACC004,DEPT02,2023-08-15,11019.61,BlueWave
231,CC002,ACC004,DEPT02,2023-09-18,12968.77,NetWorks Inc
232,CC002,ACC004,DEPT02,2023-09-02,17231.26,CoreLogic
233,CC002,ACC004,DEPT02,2023-10-07,14316.96,DataPro
234,CC002,ACC004,DEPT02,2023-10-10,11789.33,GreenLight
235,CC002,ACC004,DEPT02,2023-11-20,28908.47,RedPoint
236,CC002,ACC004,DEPT02,2023-12-27,18060.06,OmniTech
237,CC002,ACC004,DEPT02,2024-01-25,11381.93,AlphaServices
238,CC002,ACC004,DEPT02,2024-01-23,15823.75,CoreLogic
239,CC002,ACC004,DEPT02,2024-02-06,21060.17,BrightPath
240,CC002,ACC004,DEPT02,2024-03-15,11157.23,TechVentures
241,CC002,ACC004,DEPT02,2024-03-23,11401.21,OmniTech
242,CC002,ACC004,DEPT02,2024-04-04,16531.06,TechVentures
243,CC002,ACC004,DEPT02,2024-04-15,12856.72,OmniTech
244,CC002,ACC004,DEPT02,2024-05-26,22401.34,CoreLogic
245,CC002,ACC004,DEPT02,2024-06-02,25283.84,GreenLight
246,CC002,ACC004,DEPT02,2024-07-28,25589.2,GlobalServ
247,CC002,ACC004,DEPT02,2024-08-02,23106.45,NetWorks Inc
248,CC002,ACC004,DEPT02,2024-09-10,13533.12,OmniTech
249,CC002,ACC004,DEPT02,2024-09-05,9966.89,PrimeSoft
250,CC002,ACC004,DEPT02,2024-10-16,8441.49,BlueWave
251,CC002,ACC004,DEPT02,2024-10-26,10482.15,Acme Corp
252,CC002,ACC004,DEPT02,2024-11-22,21745.49,BrightPath
253,CC002,ACC004,DEPT02,2024-12-01,26856.1,PrimeSoft
254,CC002,ACC015,DEPT02,2023-01-27,4056.21,BlueWave
255,CC002,ACC015,DEPT02,2023-02-12,2647.43,Acme Corp
256,CC002,ACC015,DEPT02,2023-03-20,3251.22,DataPro
257,CC002,ACC015,DEPT02,2023-04-06,2558.75,GlobalServ
258,CC002,ACC015,DEPT02,2023-05-20,1955.45,AlphaServices
259,CC002,ACC015,DEPT02,2023-05-06,2025.05,BrightPath
260,CC002,ACC015,DEPT02,2023-06-25,3283.48,DataPro
261,CC002,ACC015,DEPT02,2023-07-25,1715.02,NetWorks Inc
262,CC002,ACC015,DEPT02,2023-07-03,1729.03,DataPro
263,CC002,ACC015,DEPT02,2023-08-11,3780.27,CoreLogic
264,CC002,ACC015,DEPT02,2023-09-02,3009.27,TechVentures
265,CC002,ACC015,DEPT02,2023-10-03,1340.98,BrightPath
266,CC002,ACC015,DEPT02,2023-10-20,1444.45,RedPoint
267,CC002,ACC015,DEPT02,2023-10-23,1478.44,DataPro
268,CC002,ACC015,DEPT02,2023-11-19,1428.37,AlphaServices
269,CC002,ACC015,DEPT02,2023-11-05,1487.91,AlphaServices
270,CC002,ACC015,DEPT02,2023-12-16,4118.27,GreenLight
271,CC002,ACC015,DEPT02,2024-01-07,1759.88,Acme Corp
272,CC002,ACC015,DEPT02,2024-01-15,1376.28,OmniTech
273,CC002,ACC015,DEPT02,2024-02-20,1657.88,NetWorks Inc
274,CC002,ACC015,DEPT02,2024-02-11,1813.13,CloudBase
275,CC002,ACC015,DEPT02,2024-03-07,1525.83,SwiftHire
276,CC002,ACC015,DEPT02,2024-03-26,1730.92,TechVentures
277,CC002,ACC015,DEPT02,2024-04-01,3046.25,TechVentures
278,CC002,ACC015,DEPT02,2024-05-20,3832.53,Acme Corp
279,CC002,ACC015,DEPT02,2024-06-22,4315.19,BrightPath
280,CC002,ACC015,DEPT02,2024-07-16,2383.58,GlobalServ
281,CC002,ACC015,DEPT02,2024-07-28,2366.96,CoreLogic
282,CC002,ACC015,DEPT02,2024-08-24,4534.86,Acme Corp
283,CC002,ACC015,DEPT02,2024-09-11,4437.9,CoreLogic
284,CC002,ACC015,DEPT02,2024-10-26,3894.79,RedPoint
285,CC002,ACC015,DEPT02,2024-11-09,5402.96,BlueWave
286,CC002,ACC015,DEPT02,2024-12-27,1051.68,GlobalServ
287,CC002,ACC015,DEPT02,2024-12-13,1029.45,GlobalServ
288,CC002,ACC015,DEPT02,2024-12-28,1039.14,GreenLight
289,CC002,ACC002,DEPT02,2023-01-02,13028.81,DataPro
290,CC002,ACC002,DEPT02,2023-01-16,13588.18,RedPoint
291,CC002,ACC002,DEPT02,2023-02-07,28199.47,CoreLogic
292,CC002,ACC002,DEPT02,2023-03-25,30572.11,PrimeSoft
293,CC002,ACC002,DEPT02,2023-04-16,28603.88,RedPoint
294,CC002,ACC002,DEPT02,2023-05-24,31243.74,BlueWave
295,CC002,ACC002,DEPT02,2023-06-28,12576.32,TechVentures
296,CC002,ACC002,DEPT02,2023-06-17,16559.6,OmniTech
297,CC002,ACC002,DEPT02,2023-07-13,29369.69,SwiftHire
298,CC002,ACC002,DEPT02,2023-08-02,32003.31,OmniTech
299,CC002,ACC002,DEPT02,2023-09-02,15677.75,TechVentures
300,CC002,ACC002,DEPT02,2023-09-22,16936.17,SwiftHire
301,CC002,ACC002,DEPT02,2023-10-07,23449.15,CloudBase
302,CC002,ACC002,DEPT02,2023-11-25,22739.74,BrightPath
303,CC002,ACC002,DEPT02,2023-12-04,24582.48,Acme Corp
304,CC002,ACC002,DEPT02,2024-01-18,26072.72,CloudBase
305,CC002,ACC002,DEPT02,2024-02-26,35222.81,DataPro
306,CC002,ACC002,DEPT02,2024-03-11,24372.92,CoreLogic
307,CC002,ACC002,DEPT02,2024-04-22,25846.83,Acme Corp
308,CC002,ACC002,DEPT02,2024-05-06,20029.22,SwiftHire
309,CC002,ACC002,DEPT02,2024-06-23,32964.24,BrightPath
310,CC002,ACC002,DEPT02,2024-07-23,35986.65,GreenLight
311,CC002,ACC002,DEPT02,2024-08-25,36129.06,GreenLight
312,CC002,ACC002,DEPT02,2024-09-23,28156.92,BrightPath
313,CC002,ACC002,DEPT02,2024-10-25,23901.95,BrightPath
314,CC002,ACC002,DEPT02,2024-11-20,8419.75,DataPro
315,CC002,ACC002,DEPT02,2024-11-13,11440.65,GlobalServ
316,CC002,ACC002,DEPT02,2024-11-22,10603.1,CloudBase
317,CC002,ACC002,DEPT02,2024-12-01,14235.53,TechVentures
318,CC002,ACC002,DEPT02,2024-12-12,14363.49,BrightPath
319,CC002,ACC006,DEPT02,2023-01-20,18057.75,AlphaServices
320,CC002,ACC006,DEPT02,2023-02-26,14088.34,TechVentures
321,CC002,ACC006,DEPT02,2023-03-18,8637.17,BrightPath
322,CC002,ACC006,DEPT02,2023-03-14,7425.88,PrimeSoft
323,CC002,ACC006,DEPT02,2023-04-13,19764.91,TechVentures
324,CC002,ACC006,DEPT02,2023-05-26,7537.57,NetWorks Inc
325,CC002,ACC006,DEPT02,2023-05-11,7468.45,CoreLogic
326,CC002,ACC006,DEPT02,2023-06-24,16412.04,RedPoint
327,CC002,ACC006,DEPT02,2023-07-20,6610.45,BrightPath
328,CC002,ACC006,DEPT02,2023-07-04,7270.32,BlueWave
329,CC002,ACC006,DEPT02,2023-08-20,14979.31,TechVentures
330,CC002,ACC006,DEPT02,2023-09-11,19269.73,BrightPath
331,CC002,ACC006,DEPT02,2023-10-05,14154.19,RedPoint
332,CC002,ACC006,DEPT02,2023-11-25,8610.01,GlobalServ
333,CC002,ACC006,DEPT02,2023-11-15,8153.56,CoreLogic
334,CC002,ACC006,DEPT02,2023-12-07,7062.73,OmniTech
335,CC002,ACC006,DEPT02,2023-12-10,8304.52,AlphaServices
336,CC002,ACC006,DEPT02,2024-01-14,9928.99,SwiftHire
337,CC002,ACC006,DEPT02,2024-01-12,10146.99,TechVentures
338,CC002,ACC006,DEPT02,2024-02-28,7707.28,GlobalServ
339,CC002,ACC006,DEPT02,2024-02-02,8757.5,CloudBase
340,CC002,ACC006,DEPT02,2024-03-18,4559.82,BlueWave
341,CC002,ACC006,DEPT02,2024-03-04,6788.3,BlueWave
342,CC002,ACC006,DEPT02,2024-03-01,5201.04,PrimeSoft
343,CC002,ACC006,DEPT02,2024-04-23,16200.23,NetWorks Inc
344,CC002,ACC006,DEPT02,2024-05-06,12979.96,BrightPath
345,CC002,ACC006,DEPT02,2024-06-12,15846.41,BlueWave
346,CC002,ACC006,DEPT02,2024-07-05,18594.15,GlobalServ
347,CC002,ACC006,DEPT02,2024-08-16,4598.63,OmniTech
348,CC002,ACC006,DEPT02,2024-08-05,5226.52,TechVentures
349,CC002,ACC006,DEPT02,2024-09-26,7510.14,SwiftHire
350,CC002,ACC006,DEPT02,2024-09-14,6838.67,AlphaServices
351,CC002,ACC006,DEPT02,2024-10-15,13574.78,NetWorks Inc
352,CC002,ACC006,DEPT02,2024-11-19,13828.44,BrightPath
353,CC002,ACC006,DEPT02,2024-12-14,18202.54,RedPoint
354,CC002,ACC001,DEPT02,2023-01-19,166650.48,BrightPath
355,CC002,ACC001,DEPT02,2023-02-23,156097.14,TechVentures
356,CC002,ACC001,DEPT02,2023-03-25,66827.0,GreenLight
357,CC002,ACC001,DEPT02,2023-03-17,51055.06,TechVentures
358,CC002,ACC001,DEPT02,2023-04-21,63649.92,SwiftHire
359,CC002,ACC001,DEPT02,2023-04-22,75514.11,TechVentures
360,CC002,ACC001,DEPT02,2023-05-20,158679.65,Acme Corp
361,CC002,ACC001,DEPT02,2023-06-15,139916.24,CoreLogic
362,CC002,ACC001,DEPT02,2023-07-12,165847.72,GreenLight
363,CC002,ACC001,DEPT02,2023-08-20,138016.39,SwiftHire
364,CC002,ACC001,DEPT02,2023-09-21,66421.03,BrightPath
365,CC002,ACC001,DEPT02,2023-09-19,75756.29,Acme Corp
366,CC002,ACC001,DEPT02,2023-10-01,184487.15,DataPro
367,CC002,ACC001,DEPT02,2023-11-26,122550.03,DataPro
368,CC002,ACC001,DEPT02,2023-12-09,61281.57,Acme Corp
369,CC002,ACC001,DEPT02,2023-12-20,73838.71,GlobalServ
370,CC002,ACC001,DEPT02,2024-01-12,94944.61,GreenLight
371,CC002,ACC001,DEPT02,2024-01-26,77672.19,SwiftHire
372,CC002,ACC001,DEPT02,2024-02-02,141874.53,CloudBase
373,CC002,ACC001,DEPT02,2024-03-27,57927.01,GlobalServ
374,CC002,ACC001,DEPT02,2024-03-25,63329.5,NetWorks Inc
375,CC002,ACC001,DEPT02,2024-03-08,61828.71,OmniTech
376,CC002,ACC001,DEPT02,2024-04-24,68265.98,BlueWave
377,CC002,ACC001,DEPT02,2024-04-21,72410.34,DataPro
378,CC002,ACC001,DEPT02,2024-05-13,136913.64,BrightPath
379,CC002,ACC001,DEPT02,2024-06-18,79376.26,PrimeSoft
380,CC002,ACC001,DEPT02,2024-06-23,68630.21,NetWorks Inc
381,CC002,ACC001,DEPT02,2024-07-01,175695.56,DataPro
382,CC002,ACC001,DEPT02,2024-08-17,177365.29,OmniTech
383,CC002,ACC001,DEPT02,2024-09-12,174117.3,BlueWave
384,CC002,ACC001,DEPT02,2024-10-11,51324.54,DataPro
385,CC002,ACC001,DEPT02,2024-10-04,40707.75,DataPro
386,CC002,ACC001,DEPT02,2024-10-13,47661.3,BrightPath
387,CC002,ACC001,DEPT02,2024-11-19,88434.25,GreenLight
388,CC002,ACC001,DEPT02,2024-11-11,70989.16,OmniTech
389,CC002,ACC001,DEPT02,2024-12-22,170354.11,Acme Corp
390,CC002,ACC010,DEPT02,2023-01-04,31238.71,OmniTech
391,CC002,ACC010,DEPT02,2023-02-07,27155.27,Acme Corp
