product_id,product_name,category,subcategory,unit_weight_kg,is_perishable
SKU0076,Cardboard Boxes Grade-A,Packaging,Cardboard Boxes,35.9,No
SKU0077,Cardboard Boxes Grade-B,Packaging,Cardboard Boxes,40.8,No
SKU0078,Cardboard Boxes Grade-C,Packaging,Cardboard Boxes,1.6,No
SKU0079,Cardboard Boxes Grade-D,Packaging,Cardboard Boxes,41.4,No
SKU0080,Cardboard Boxes Grade-E,Packaging,Cardboard Boxes,24.0,No
SKU0081,Bubble Wrap Grade-A,Packaging,Bubble Wrap,14.1,No
SKU0082,Bubble Wrap Grade-B,Packaging,Bubble Wrap,29.7,No
SKU0083,Bubble Wrap Grade-C,Packaging,Bubble Wrap,3.3,No
SKU0084,Bubble Wrap Grade-D,Packaging,Bubble Wrap,8.4,No
SKU0085,Bubble Wrap Grade-E,Packaging,Bubble Wrap,26.7,No
SKU0086,Pallets Grade-A,Packaging,Pallets,29.2,No
SKU0087,Pallets Grade-B,Packaging,Pallets,11.3,No
SKU0088,Pallets Grade-C,Packaging,Pallets,37.3,No
SKU0089,Pallets Grade-D,Packaging,Pallets,38.3,No
SKU0090,Pallets Grade-E,Packaging,Pallets,17.8,No
SKU0091,Shrink Film Grade-A,Packaging,Shrink Film,29.8,No
SKU0092,Shrink Film Grade-B,Packaging,Shrink Film,49.0,No
SKU0093,Shrink Film Grade-C,Packaging,Shrink Film,14.6,No
SKU0094,Shrink Film Grade-D,Packaging,Shrink Film,31.3,No
SKU0095,Shrink Film Grade-E,Packaging,Shrink Film,16.0,No
SKU0096,Labels Grade-A,Packaging,Labels,46.2,No
SKU0097,Labels Grade-B,Packaging,Labels,23.3,No
SKU0098,Labels Grade-C,Packaging,Labels,43.0,No
SKU0099,Labels Grade-D,Packaging,Labels,9.2,No
SKU0100,Labels Grade-E,Packaging,Labels,14.3,No
