snapshot_date,product_id,warehouse_id,quantity_on_hand,quantity_reserved,reorder_point
2023-01-02,SKU0009,WH05,694,234,400
2023-01-02,SKU0021,WH01,86,9,500
2023-01-02,SKU0011,WH02,172,46,250
2023-01-02,SKU0005,WH04,490,53,300
2023-01-02,SKU0054,WH03,0,0,200
2023-01-02,SKU0016,WH01,1787,196,150
2023-01-02,SKU0049,WH04,534,127,500
2023-01-02,SKU0074,WH01,917,265,200
2023-01-02,SKU0054,WH01,224,40,500
2023-01-02,SKU0025,WH04,96,17,200
2023-01-02,SKU0077,WH04,444,125,500
2023-01-02,SKU0009,WH03,119,7,150
2023-01-09,SKU0029,WH02,0,0,100
2023-01-09,SKU0063,WH01,144,46,150
2023-01-09,SKU0075,WH03,495,116,500
2023-01-09,SKU0060,WH03,375,59,100
2023-01-09,SKU0039,WH02,1324,459,300
2023-01-09,SKU0022,WH05,0,0,300
2023-01-09,SKU0079,WH05,155,42,250
2023-01-09,SKU0062,WH02,72,20,300
2023-01-09,SKU0075,WH05,335,40,300
2023-01-09,SKU0029,WH03,0,0,200
2023-01-09,SKU0012,WH04,518,161,150
2023-01-09,SKU0074,WH04,0,0,200
2023-01-09,SKU0042,WH04,478,39,400
2023-01-09,SKU0019,WH02,15,4,100
2023-01-09,SKU0040,WH03,0,0,200
2023-01-09,SKU0019,WH04,0,0,200
2023-01-09,SKU0006,WH02,577,148,400
2023-01-09,SKU0035,WH05,115,40,100
2023-01-09,SKU0054,WH01,1342,114,200
2023-01-09,SKU0041,WH05,190,58,150
2023-01-09,SKU0020,WH04,70,14,500
2023-01-09,SKU0087,WH01,932,174,150
2023-01-09,SKU0026,WH04,1145,223,150
2023-01-09,SKU0073,WH03,534,139,100
2023-01-09,SKU0087,WH02,509,150,300
2023-01-09,SKU0090,WH04,245,68,400
2023-01-09,SKU0071,WH01,235,19,300
2023-01-09,SKU0067,WH05,366,88,300
2023-01-09,SKU0063,WH05,231,13,250
2023-01-09,SKU0091,WH01,206,47,100
2023-01-09,SKU0035,WH01,171,54,100
2023-01-09,SKU0061,WH05,7,1,500
2023-01-09,SKU0088,WH04,66,6,100
2023-01-09,SKU0002,WH03,140,9,300
2023-01-09,SKU0007,WH04,446,107,250
2023-01-09,SKU0067,WH03,0,0,100
2023-01-09,SKU0036,WH04,122,12,500
2023-01-09,SKU0096,WH02,168,54,400
2023-01-09,SKU0092,WH01,316,81,150
2023-01-09,SKU0066,WH02,0,0,500
2023-01-09,SKU0038,WH02,646,95,100
2023-01-09,SKU0012,WH05,0,0,100
2023-01-09,SKU0073,WH05,0,0,250
2023-01-09,SKU0094,WH05,0,0,250
2023-01-09,SKU0054,WH03,47,12,250
2023-01-09,SKU0024,WH02,1440,269,400
2023-01-09,SKU0005,WH03,50,11,100
2023-01-09,SKU0084,WH05,135,44,300
2023-01-09,SKU0036,WH03,129,16,300
2023-01-09,SKU0093,WH01,460,46,500
2023-01-09,SKU0068,WH02,272,51,150
2023-01-09,SKU0045,WH04,596,178,500
2023-01-09,SKU0069,WH03,500,64,500
2023-01-09,SKU0053,WH05,107,35,400
2023-01-09,SKU0039,WH03,459,109,500
2023-01-09,SKU0015,WH04,319,16,500
2023-01-09,SKU0015,WH02,672,40,100
2023-01-09,SKU0032,WH05,168,25,300
2023-01-09,SKU0020,WH03,401,103,300
2023-01-09,SKU0086,WH05,644,60,250
2023-01-09,SKU0094,WH04,802,51,300
2023-01-09,SKU0087,WH05,0,0,300
2023-01-09,SKU0058,WH01,216,34,200
2023-01-09,SKU0091,WH05,560,69,150
2023-01-09,SKU0082,WH05,1559,469,300
2023-01-09,SKU0045,WH05,0,0,300
2023-01-09,SKU0004,WH03,707,247,400
2023-01-09,SKU0036,WH01,81,4,500
2023-01-09,SKU0024,WH03,193,57,500
2023-01-09,SKU0044,WH01,383,66,400
2023-01-09,SKU0035,WH02,582,124,150
2023-01-09,SKU0071,WH02,243,24,400
2023-01-09,SKU0034,WH01,728,226,500
2023-01-09,SKU0038,WH04,696,174,300
2023-01-09,SKU0058,WH05,364,104,100
2023-01-09,SKU0077,WH03,1245,228,100
2023-01-09,SKU0062,WH03,272,18,500
2023-01-09,SKU0100,WH03,1021,356,150
2023-01-09,SKU0012,WH01,105,15,250
2023-01-09,SKU0028,WH04,0,0,500
2023-01-09,SKU0096,WH03,466,131,400
2023-01-09,SKU0068,WH03,410,25,250
2023-01-09,SKU0098,WH04,114,27,100
2023-01-09,SKU0020,WH05,196,50,100
2023-01-09,SKU0019,WH01,0,0,250
2023-01-09,SKU0099,WH05,1474,386,500
2023-01-09,SKU0075,WH04,117,24,300
2023-01-09,SKU0049,WH05,228,13,500
2023-01-09,SKU0028,WH05,0,0,150
2023-01-09,SKU0046,WH04,29,4,100
2023-01-09,SKU0100,WH05,885,195,250
2023-01-09,SKU0089,WH02,162,33,250
2023-01-09,SKU0012,WH02,382,70,150
2023-01-09,SKU0036,WH02,0,0,300
2023-01-09,SKU0049,WH04,33,6,150
2023-01-09,SKU0047,WH02,0,0,150
2023-01-09,SKU0069,WH04,222,56,150
2023-01-09,SKU0073,WH01,272,76,150
2023-01-09,SKU0004,WH01,763,165,200
2023-01-09,SKU0021,WH01,392,105,400
2023-01-16,SKU0011,WH01,192,22,100
2023-01-16,SKU0071,WH04,1204,89,300
2023-01-16,SKU0049,WH01,211,63,300
2023-01-16,SKU0059,WH04,1627,325,300
2023-01-16,SKU0057,WH01,0,0,500
2023-01-16,SKU0045,WH04,338,18,300
2023-01-16,SKU0068,WH04,418,120,200
2023-01-16,SKU0083,WH02,897,307,150
2023-01-16,SKU0011,WH05,348,27,300
2023-01-16,SKU0021,WH04,259,87,400
2023-01-16,SKU0007,WH04,40,10,200
2023-01-16,SKU0100,WH03,411,128,300
2023-01-16,SKU0030,WH04,633,131,200
2023-01-16,SKU0095,WH04,555,133,300
2023-01-16,SKU0005,WH02,198,48,150
2023-01-16,SKU0036,WH01,96,26,400
2023-01-16,SKU0085,WH01,93,16,500
2023-01-16,SKU0050,WH04,221,34,500
2023-01-16,SKU0019,WH05,55,6,100
2023-01-16,SKU0099,WH04,688,218,500
2023-01-16,SKU0029,WH05,0,0,400
2023-01-16,SKU0087,WH02,1081,367,500
2023-01-16,SKU0082,WH01,66,4,400
2023-01-16,SKU0019,WH02,0,0,400
2023-01-16,SKU0027,WH03,1551,299,400
2023-01-16,SKU0095,WH02,0,0,300
2023-01-16,SKU0011,WH02,37,4,500
2023-01-16,SKU0055,WH05,0,0,400
2023-01-16,SKU0087,WH03,813,76,150
2023-01-16,SKU0015,WH05,276,54,100
2023-01-16,SKU0084,WH02,291,80,150
2023-01-16,SKU0007,WH02,904,187,400
2023-01-16,SKU0003,WH01,973,172,300
2023-01-16,SKU0018,WH01,52,4,150
2023-01-16,SKU0076,WH01,621,188,150
2023-01-16,SKU0018,WH05,1092,269,150
2023-01-16,SKU0068,WH02,0,0,200
2023-01-16,SKU0017,WH01,178,30,100
2023-01-16,SKU0092,WH04,1341,84,400
2023-01-16,SKU0082,WH03,383,123,250
2023-01-16,SKU0047,WH01,111,38,100
2023-01-16,SKU0081,WH03,201,13,150
2023-01-16,SKU0087,WH05,198,41,500
2023-01-16,SKU0037,WH01,440,63,150
2023-01-16,SKU0071,WH03,695,100,500
2023-01-16,SKU0003,WH02,611,71,100
2023-01-16,SKU0099,WH05,711,212,300
2023-01-16,SKU0087,WH04,165,34,200
2023-01-16,SKU0091,WH01,0,0,100
2023-01-16,SKU0066,WH05,0,0,300
2023-01-16,SKU0088,WH05,292,79,300
2023-01-16,SKU0008,WH05,578,39,300
2023-01-16,SKU0077,WH04,639,110,400
2023-01-16,SKU0090,WH01,123,23,150
2023-01-16,SKU0042,WH05,609,118,500
2023-01-16,SKU0003,WH05,135,45,200
2023-01-16,SKU0013,WH01,93,15,300
2023-01-16,SKU0044,WH01,659,154,500
2023-01-16,SKU0005,WH03,99,13,400
2023-01-16,SKU0018,WH04,0,0,300
2023-01-16,SKU0022,WH02,94,10,150
2023-01-16,SKU0055,WH04,141,7,150
2023-01-16,SKU0014,WH01,1678,309,200
2023-01-16,SKU0073,WH03,16,4,100
2023-01-16,SKU0095,WH03,197,14,500
2023-01-16,SKU0048,WH03,1110,93,100
2023-01-16,SKU0100,WH05,147,9,200
2023-01-16,SKU0028,WH04,853,223,400
2023-01-16,SKU0021,WH03,102,18,250
2023-01-16,SKU0051,WH02,262,38,150
2023-01-16,SKU0063,WH04,0,0,250
2023-01-16,SKU0080,WH01,446,146,400
2023-01-16,SKU0061,WH02,811,96,200
2023-01-16,SKU0041,WH04,342,105,100
2023-01-16,SKU0053,WH04,0,0,150
2023-01-16,SKU0095,WH05,665,66,250
2023-01-16,SKU0052,WH01,126,23,400
2023-01-16,SKU0056,WH02,315,17,250
2023-01-16,SKU0042,WH02,148,23,200
2023-01-16,SKU0091,WH03,217,48,200
2023-01-16,SKU0061,WH05,303,80,100
2023-01-16,SKU0097,WH02,1052,103,250
2023-01-16,SKU0015,WH03,0,0,250
2023-01-16,SKU0048,WH04,681,212,200
2023-01-16,SKU0078,WH02,1270,175,250
2023-01-16,SKU0088,WH02,225,67,250
2023-01-16,SKU0031,WH01,0,0,500
2023-01-16,SKU0096,WH05,105,27,150
2023-01-16,SKU0069,WH01,119,24,200
2023-01-16,SKU0075,WH05,37,7,250
2023-01-16,SKU0061,WH03,134,30,150
2023-01-16,SKU0043,WH04,1072,198,300
2023-01-16,SKU0015,WH01,374,87,150
2023-01-16,SKU0098,WH02,844,216,250
2023-01-16,SKU0009,WH03,343,84,100
2023-01-16,SKU0009,WH02,199,50,150
2023-01-16,SKU0007,WH03,0,0,300
2023-01-16,SKU0084,WH03,52,4,300
2023-01-16,SKU0044,WH04,137,33,200
2023-01-16,SKU0075,WH02,423,64,200
2023-01-23,SKU0038,WH03,63,5,200
2023-01-23,SKU0064,WH04,354,122,100
2023-01-23,SKU0078,WH03,540,170,300
2023-01-23,SKU0048,WH02,1260,433,500
2023-01-23,SKU0069,WH03,450,152,150
2023-01-23,SKU0070,WH02,803,244,100
2023-01-23,SKU0033,WH03,96,17,400
2023-01-23,SKU0032,WH03,102,7,400
2023-01-23,SKU0005,WH04,358,70,500
2023-01-23,SKU0027,WH01,457,101,100
2023-01-23,SKU0061,WH04,608,177,400
2023-01-23,SKU0031,WH04,168,44,150
2023-01-23,SKU0001,WH04,0,0,100
2023-01-23,SKU0016,WH02,446,28,150
2023-01-23,SKU0088,WH01,454,41,150
2023-01-23,SKU0025,WH01,168,43,150
2023-01-23,SKU0012,WH04,0,0,400
2023-01-23,SKU0003,WH02,0,0,500
2023-01-23,SKU0075,WH05,24,5,150
2023-01-23,SKU0072,WH05,888,247,150
2023-01-23,SKU0086,WH04,60,15,400
2023-01-23,SKU0036,WH01,114,37,300
2023-01-23,SKU0089,WH02,395,100,500
2023-01-23,SKU0064,WH05,58,7,150
2023-01-23,SKU0080,WH05,278,37,300
2023-01-23,SKU0052,WH04,652,51,400
2023-01-23,SKU0089,WH01,1609,355,300
2023-01-23,SKU0034,WH01,310,32,400
2023-01-23,SKU0069,WH01,409,54,300
2023-01-23,SKU0066,WH03,586,116,250
2023-01-23,SKU0074,WH02,224,40,200
2023-01-23,SKU0026,WH01,343,71,250
2023-01-23,SKU0090,WH01,225,78,400
2023-01-23,SKU0060,WH03,265,86,400
2023-01-23,SKU0095,WH05,438,68,150
2023-01-23,SKU0082,WH01,0,0,400
2023-01-23,SKU0002,WH04,213,25,300
2023-01-23,SKU0027,WH04,1723,330,400
2023-01-23,SKU0054,WH02,412,118,100
2023-01-23,SKU0091,WH03,525,136,300
2023-01-23,SKU0049,WH05,264,38,200
2023-01-23,SKU0048,WH01,250,70,200
2023-01-23,SKU0081,WH05,316,72,150
2023-01-23,SKU0036,WH05,450,66,250
2023-01-23,SKU0028,WH02,2283,170,150
2023-01-23,SKU0045,WH03,212,43,250
2023-01-23,SKU0096,WH03,720,126,500
2023-01-23,SKU0043,WH04,436,151,100
2023-01-23,SKU0100,WH04,625,108,250
2023-01-23,SKU0035,WH04,0,0,100
2023-01-23,SKU0056,WH04,182,22,250
2023-01-23,SKU0069,WH02,479,65,500
2023-01-23,SKU0036,WH03,557,34,100
2023-01-23,SKU0094,WH02,205,66,250
2023-01-23,SKU0090,WH03,673,35,400
2023-01-23,SKU0014,WH03,784,264,250
2023-01-23,SKU0055,WH04,565,196,250
2023-01-23,SKU0002,WH01,778,265,200
2023-01-23,SKU0067,WH04,654,205,250
2023-01-23,SKU0087,WH05,45,9,500
2023-01-23,SKU0074,WH01,724,148,250
2023-01-23,SKU0053,WH04,273,48,100
2023-01-23,SKU0008,WH03,864,45,300
2023-01-23,SKU0080,WH03,27,5,100
2023-01-23,SKU0094,WH04,0,0,250
2023-01-23,SKU0048,WH03,440,126,250
2023-01-23,SKU0020,WH05,91,21,300
2023-01-23,SKU0043,WH02,0,0,500
2023-01-23,SKU0023,WH01,1178,273,300
2023-01-23,SKU0082,WH02,82,20,100
2023-01-23,SKU0003,WH03,292,73,150
2023-01-23,SKU0043,WH01,382,53,150
2023-01-23,SKU0042,WH01,102,7,250
2023-01-23,SKU0037,WH03,24,5,250
2023-01-23,SKU0044,WH01,248,18,300
2023-01-23,SKU0004,WH04,83,14,400
2023-01-23,SKU0092,WH05,152,26,500
2023-01-23,SKU0091,WH05,524,48,150
2023-01-23,SKU0063,WH03,0,0,200
2023-01-23,SKU0062,WH01,411,38,500
2023-01-23,SKU0023,WH04,0,0,400
2023-01-23,SKU0052,WH05,872,161,200
2023-01-23,SKU0022,WH02,912,145,400
2023-01-23,SKU0030,WH01,0,0,250
2023-01-23,SKU0024,WH01,243,28,300
2023-01-23,SKU0092,WH01,294,28,200
2023-01-23,SKU0046,WH01,108,25,250
2023-01-23,SKU0044,WH04,154,31,250
2023-01-23,SKU0007,WH02,322,35,100
2023-01-23,SKU0065,WH02,986,54,150
2023-01-23,SKU0017,WH01,485,37,150
2023-01-23,SKU0060,WH04,522,101,150
2023-01-23,SKU0074,WH05,184,62,300
2023-01-23,SKU0071,WH01,1344,341,250
2023-01-23,SKU0039,WH02,301,78,300
2023-01-23,SKU0011,WH04,0,0,300
2023-01-23,SKU0083,WH04,861,65,250
2023-01-23,SKU0047,WH02,1213,257,200
2023-01-23,SKU0031,WH05,406,34,150
2023-01-23,SKU0056,WH01,0,0,500
2023-01-30,SKU0006,WH01,642,129,300
2023-01-30,SKU0093,WH01,178,56,150
2023-01-30,SKU0036,WH02,122,11,150
2023-01-30,SKU0065,WH05,244,75,400
2023-01-30,SKU0030,WH05,107,17,150
2023-01-30,SKU0071,WH02,613,80,100
2023-01-30,SKU0023,WH04,584,55,500
2023-01-30,SKU0091,WH03,39,9,250
2023-01-30,SKU0021,WH05,343,102,300
2023-01-30,SKU0071,WH03,82,24,400
2023-01-30,SKU0090,WH03,104,12,300
2023-01-30,SKU0054,WH03,894,113,400
2023-01-30,SKU0083,WH02,424,67,100
2023-01-30,SKU0016,WH03,0,0,150
2023-01-30,SKU0020,WH05,146,14,400
2023-01-30,SKU0003,WH03,85,28,150
2023-01-30,SKU0034,WH03,66,17,150
2023-01-30,SKU0002,WH02,967,322,200
2023-01-30,SKU0010,WH04,229,20,400
2023-01-30,SKU0033,WH02,0,0,200
2023-01-30,SKU0050,WH05,1153,84,200
2023-01-30,SKU0064,WH02,239,16,200
2023-01-30,SKU0024,WH03,68,21,250
2023-01-30,SKU0063,WH05,1984,685,200
2023-01-30,SKU0037,WH05,114,6,200
2023-01-30,SKU0048,WH03,578,87,250
2023-01-30,SKU0041,WH03,805,258,300
2023-01-30,SKU0015,WH05,457,84,150
2023-01-30,SKU0085,WH02,0,0,200
2023-01-30,SKU0011,WH04,170,23,100
2023-01-30,SKU0097,WH02,167,47,100
2023-01-30,SKU0070,WH01,1334,398,150
2023-01-30,SKU0096,WH02,0,0,500
2023-01-30,SKU0045,WH05,0,0,400
2023-01-30,SKU0073,WH05,281,90,400
2023-01-30,SKU0065,WH04,1239,66,500
2023-01-30,SKU0074,WH01,106,7,400
2023-01-30,SKU0041,WH02,59,5,200
2023-01-30,SKU0026,WH04,341,113,300
2023-01-30,SKU0021,WH01,421,100,100
2023-01-30,SKU0016,WH04,296,46,150
2023-01-30,SKU0051,WH02,103,17,150
2023-01-30,SKU0075,WH02,2070,450,200
2023-01-30,SKU0085,WH03,0,0,200
2023-01-30,SKU0045,WH03,810,248,500
2023-01-30,SKU0038,WH03,1168,378,500
2023-01-30,SKU0079,WH05,591,140,400
2023-01-30,SKU0005,WH04,336,57,500
2023-01-30,SKU0055,WH02,165,26,200
2023-01-30,SKU0003,WH02,0,0,200
2023-01-30,SKU0007,WH05,180,46,100
2023-01-30,SKU0087,WH02,258,45,500
2023-01-30,SKU0043,WH05,0,0,250
2023-01-30,SKU0047,WH04,591,30,400
2023-01-30,SKU0032,WH02,0,0,100
2023-01-30,SKU0063,WH01,134,43,500
2023-01-30,SKU0067,WH02,73,3,150
2023-01-30,SKU0018,WH01,40,4,250
2023-01-30,SKU0069,WH05,530,46,150
2023-01-30,SKU0083,WH03,406,24,100
2023-01-30,SKU0078,WH05,87,15,200
2023-01-30,SKU0007,WH03,0,0,200
2023-01-30,SKU0017,WH05,42,10,300
2023-01-30,SKU0056,WH01,93,8,300
2023-01-30,SKU0090,WH04,76,13,200
2023-01-30,SKU0046,WH04,4,1,200
2023-01-30,SKU0078,WH01,821,168,500
2023-01-30,SKU0020,WH02,1973,525,150
2023-01-30,SKU0053,WH02,27,3,150
2023-01-30,SKU0052,WH01,817,78,200
2023-01-30,SKU0001,WH01,0,0,100
2023-01-30,SKU0027,WH01,0,0,200
2023-01-30,SKU0013,WH04,56,14,400
2023-01-30,SKU0073,WH01,207,68,250
2023-01-30,SKU0034,WH01,681,84,400
2023-01-30,SKU0003,WH05,22,5,250
2023-01-30,SKU0047,WH03,147,35,500
2023-01-30,SKU0064,WH01,355,52,400
2023-01-30,SKU0063,WH03,376,128,150
2023-01-30,SKU0051,WH04,306,95,150
2023-01-30,SKU0083,WH04,688,104,400
2023-01-30,SKU0068,WH02,45,6,300
2023-01-30,SKU0042,WH05,14,1,100
2023-01-30,SKU0017,WH03,535,87,150
2023-01-30,SKU0084,WH05,0,0,300
2023-01-30,SKU0050,WH02,197,23,500
2023-01-30,SKU0018,WH02,296,56,400
2023-01-30,SKU0053,WH03,0,0,500
2023-01-30,SKU0022,WH05,874,301,400
2023-01-30,SKU0003,WH04,98,10,300
2023-01-30,SKU0006,WH03,884,253,300
2023-01-30,SKU0068,WH03,82,24,400
2023-01-30,SKU0077,WH03,701,158,300
2023-01-30,SKU0036,WH03,126,32,150
2023-01-30,SKU0096,WH01,320,48,200
2023-01-30,SKU0018,WH04,698,108,500
2023-01-30,SKU0030,WH03,1258,176,100
2023-01-30,SKU0089,WH03,699,76,400
2023-01-30,SKU0040,WH01,123,16,200
2023-01-30,SKU0051,WH03,1292,126,250
2023-02-06,SKU0023,WH04,1568,440,200
2023-02-06,SKU0066,WH04,211,15,300
2023-02-06,SKU0004,WH02,322,100,500
2023-02-06,SKU0060,WH05,2294,658,400
2023-02-06,SKU0026,WH02,0,0,250
2023-02-06,SKU0050,WH01,613,84,400
2023-02-06,SKU0059,WH01,103,19,250
2023-02-06,SKU0039,WH01,311,27,200
2023-02-06,SKU0002,WH01,105,16,100
2023-02-06,SKU0075,WH01,92,20,150
2023-02-06,SKU0069,WH03,0,0,150
2023-02-06,SKU0004,WH01,191,62,100
2023-02-06,SKU0079,WH03,10,0,500
2023-02-06,SKU0036,WH03,192,52,400
2023-02-06,SKU0064,WH03,218,33,250
2023-02-06,SKU0024,WH05,1435,254,400
2023-02-06,SKU0033,WH05,643,122,200
2023-02-06,SKU0047,WH05,144,45,150
2023-02-06,SKU0073,WH05,70,8,200
2023-02-06,SKU0081,WH03,0,0,150
2023-02-06,SKU0011,WH03,0,0,300
2023-02-06,SKU0028,WH02,258,24,100
2023-02-06,SKU0034,WH05,160,52,200
2023-02-06,SKU0002,WH02,621,53,300
2023-02-06,SKU0008,WH02,0,0,300
2023-02-06,SKU0067,WH03,525,88,100
2023-02-06,SKU0042,WH05,33,2,100
2023-02-06,SKU0007,WH04,84,14,150
2023-02-06,SKU0094,WH04,155,18,400
2023-02-06,SKU0025,WH04,657,227,300
2023-02-06,SKU0003,WH03,662,44,250
2023-02-06,SKU0038,WH03,477,161,250
2023-02-06,SKU0089,WH05,143,11,150
2023-02-06,SKU0050,WH03,479,141,250
2023-02-06,SKU0003,WH04,387,61,200
2023-02-06,SKU0061,WH04,292,62,200
2023-02-06,SKU0070,WH02,0,0,400
2023-02-06,SKU0041,WH01,0,0,100
2023-02-06,SKU0005,WH03,670,184,150
2023-02-06,SKU0090,WH05,15,2,150
2023-02-06,SKU0078,WH02,333,57,400
2023-02-06,SKU0027,WH02,23,5,500
2023-02-06,SKU0047,WH03,309,32,400
2023-02-06,SKU0087,WH03,718,191,100
2023-02-06,SKU0013,WH05,169,41,500
2023-02-06,SKU0055,WH01,249,75,400
2023-02-06,SKU0007,WH02,0,0,400
2023-02-06,SKU0017,WH02,0,0,200
2023-02-06,SKU0029,WH03,161,12,150
2023-02-06,SKU0035,WH05,169,29,300
2023-02-06,SKU0026,WH01,322,55,250
2023-02-06,SKU0086,WH02,356,44,300
2023-02-06,SKU0058,WH05,349,35,300
2023-02-06,SKU0052,WH01,244,13,200
2023-02-06,SKU0071,WH03,0,0,150
2023-02-06,SKU0075,WH04,0,0,150
2023-02-06,SKU0075,WH02,135,44,400
2023-02-06,SKU0062,WH03,231,75,100
2023-02-06,SKU0066,WH05,624,42,500
2023-02-06,SKU0004,WH05,489,153,100
2023-02-06,SKU0091,WH03,204,11,100
2023-02-06,SKU0097,WH01,556,39,250
2023-02-06,SKU0068,WH04,256,76,150
2023-02-06,SKU0053,WH02,462,74,200
2023-02-06,SKU0041,WH03,427,109,100
2023-02-06,SKU0067,WH05,53,2,250
2023-02-06,SKU0040,WH02,126,11,250
2023-02-06,SKU0012,WH04,761,247,200
2023-02-06,SKU0005,WH01,133,21,300
2023-02-06,SKU0034,WH04,289,74,250
2023-02-06,SKU0076,WH01,309,99,300
2023-02-06,SKU0070,WH03,723,113,500
2023-02-06,SKU0032,WH04,1467,251,300
2023-02-06,SKU0092,WH05,129,40,500
2023-02-06,SKU0054,WH03,0,0,400
2023-02-06,SKU0038,WH01,660,191,150
2023-02-06,SKU0089,WH02,130,12,100
2023-02-06,SKU0088,WH01,424,64,150
2023-02-06,SKU0029,WH02,314,105,400
2023-02-06,SKU0031,WH02,217,47,200
2023-02-06,SKU0010,WH04,166,12,400
2023-02-06,SKU0008,WH03,1022,312,200
2023-02-06,SKU0038,WH05,1380,93,200
2023-02-06,SKU0096,WH02,342,77,100
2023-02-06,SKU0087,WH01,114,26,500
2023-02-06,SKU0052,WH03,15,5,250
2023-02-06,SKU0072,WH02,0,0,300
2023-02-06,SKU0084,WH03,0,0,100
2023-02-06,SKU0023,WH03,272,66,200
2023-02-06,SKU0055,WH02,29,9,250
2023-02-06,SKU0067,WH01,82,27,100
2023-02-06,SKU0045,WH04,524,144,500
2023-02-06,SKU0002,WH05,740,123,500
2023-02-06,SKU0077,WH05,580,122,200
2023-02-06,SKU0039,WH05,7,1,150
2023-02-06,SKU0081,WH04,190,12,250
2023-02-06,SKU0047,WH01,291,16,100
2023-02-06,SKU0020,WH04,0,0,400
2023-02-06,SKU0072,WH03,404,82,300
2023-02-06,SKU0036,WH04,793,198,300
2023-02-13,SKU0041,WH01,1200,297,200
2023-02-13,SKU0088,WH04,1812,124,150
2023-02-13,SKU0052,WH02,722,160,400
