order_id,order_date,supplier_id,product_id,warehouse_id,quantity_ordered,unit_cost,expected_delivery_date,actual_delivery_date
PO00095,2023-07-20,SUP08,SKU0057,WH03,533,190.03,2023-08-13,2023-08-28
PO00096,2023-08-30,SUP04,SKU0034,WH02,1507,124.66,2023-09-10,2023-09-09
PO00097,2023-01-20,SUP06,SKU0077,WH01,2032,11.99,2023-01-31,2023-02-01
PO00098,2023-08-18,SUP04,SKU0029,WH05,2327,65.13,2023-08-30,2023-08-31
PO00099,2023-08-21,SUP10,SKU0083,WH01,4893,135.73,2023-09-08,2023-09-06
PO00100,2024-10-10,SUP09,SKU0016,WH02,3593,26.31,2024-11-12,2024-11-22
PO00101,2023-04-28,SUP01,SKU0039,WH02,4129,135.23,2023-05-11,2023-05-26
PO00102,2023-08-26,SUP07,SKU0033,WH03,3787,123.86,2023-09-06,2023-09-04
PO00103,2023-12-13,SUP08,SKU0054,WH02,467,196.45,2024-01-05,2024-01-11
PO00104,2024-12-30,SUP01,SKU0032,WH02,3227,141.52,2025-01-14,2025-01-17
PO00105,2023-08-05,SUP03,SKU0021,WH01,1992,32.77,2023-08-15,2023-08-16
PO00106,2023-06-05,SUP08,SKU0060,WH04,3335,100.19,2023-06-25,2023-06-26
PO00107,2024-06-02,SUP10,SKU0081,WH03,642,139.25,2024-06-21,2024-06-22
PO00108,2024-01-12,SUP10,SKU0090,WH05,849,46.47,2024-01-27,2024-02-13
PO00109,2023-10-23,SUP07,SKU0062,WH04,4295,198.44,2023-11-04,2023-11-01
PO00110,2024-05-07,SUP01,SKU0020,WH05,4524,51.97,2024-05-23,2024-05-20
PO00111,2024-11-04,SUP04,SKU0020,WH01,820,26.63,2024-11-17,2024-11-30
PO00112,2023-02-07,SUP08,SKU0072,WH02,1573,114.14,2023-02-27,2023-02-25
PO00113,2024-07-03,SUP09,SKU0015,WH04,3033,123.28,2024-07-31,2024-08-12
PO00114,2024-05-27,SUP07,SKU0055,WH02,4170,107.29,2024-06-08,2024-06-09
PO00115,2024-12-21,SUP01,SKU0016,WH03,4020,114.18,2025-01-02,2024-12-30
PO00116,2024-10-22,SUP04,SKU0030,WH01,3976,50.63,2024-11-02,2024-10-31
PO00117,2023-02-24,SUP07,SKU0039,WH03,1802,18.18,2023-03-07,2023-03-04
PO00118,2024-04-04,SUP07,SKU0056,WH05,1834,50.76,2024-04-15,2024-04-14
PO00119,2023-06-23,SUP05,SKU0069,WH03,3360,93.47,2023-07-24,2023-07-23
PO00120,2024-05-26,SUP05,SKU0032,WH05,2460,98.22,2024-06-23,2024-06-21
PO00121,2024-04-19,SUP08,SKU0051,WH04,1647,95.78,2024-05-12,2024-05-09
PO00122,2023-07-10,SUP02,SKU0029,WH03,3201,48.71,2023-08-12,2023-08-10
PO00123,2024-08-04,SUP02,SKU0057,WH05,4846,184.14,2024-09-06,2024-09-06
PO00124,2024-08-17,SUP01,SKU0003,WH01,1811,30.05,2024-08-29,2024-09-06
PO00125,2024-11-09,SUP07,SKU0040,WH01,2477,71.87,2024-11-16,2024-11-15
PO00126,2024-11-23,SUP05,SKU0036,WH04,2912,72.58,2024-12-23,2024-12-23
PO00127,2024-05-09,SUP10,SKU0047,WH02,3576,93.8,2024-05-26,2024-05-25
PO00128,2023-09-12,SUP01,SKU0013,WH04,4293,114.91,2023-09-29,2023-10-19
PO00129,2023-01-07,SUP01,SKU0048,WH03,3367,86.04,2023-01-22,2023-01-22
PO00130,2023-02-11,SUP10,SKU0092,WH04,1825,125.56,2023-02-26,2023-03-03
PO00131,2023-08-05,SUP07,SKU0043,WH03,4332,135.22,2023-08-17,2023-08-16
PO00132,2024-11-14,SUP01,SKU0009,WH02,1802,4.83,2024-11-27,2024-12-07
PO00133,2024-01-10,SUP05,SKU0065,WH02,328,97.93,2024-02-10,2024-02-28
PO00134,2023-10-20,SUP01,SKU0025,WH02,4135,14.49,2023-11-05,2023-11-02
PO00135,2024-12-06,SUP09,SKU0016,WH04,4102,129.45,2025-01-04,2025-01-05
PO00136,2024-12-04,SUP02,SKU0038,WH05,3199,157.62,2025-01-09,2025-01-09
PO00137,2024-03-31,SUP08,SKU0070,WH05,4764,185.24,2024-04-24,2024-04-24
PO00138,2023-04-10,SUP09,SKU0019,WH02,2448,75.95,2023-05-09,2023-05-08
PO00139,2023-10-06,SUP08,SKU0066,WH03,2787,107.0,2023-10-25,2023-11-02
PO00140,2023-05-02,SUP10,SKU0044,WH03,2572,145.53,2023-05-20,2023-06-05
PO00141,2023-11-18,SUP04,SKU0042,WH01,2332,53.3,2023-11-30,2023-11-30
PO00142,2023-01-18,SUP01,SKU0040,WH03,2546,114.23,2023-02-01,2023-01-31
PO00143,2024-09-22,SUP09,SKU0012,WH04,2015,143.89,2024-10-22,2024-10-25
PO00144,2024-02-27,SUP09,SKU0009,WH02,2422,35.83,2024-03-28,2024-03-26
PO00145,2024-01-31,SUP10,SKU0030,WH03,4929,85.63,2024-02-16,2024-02-18
PO00146,2023-07-29,SUP02,SKU0030,WH04,3393,113.96,2023-09-05,2023-09-25
PO00147,2024-10-13,SUP03,SKU0021,WH03,3218,182.89,2024-10-22,2024-10-22
PO00148,2023-06-04,SUP07,SKU0071,WH01,1498,131.93,2023-06-11,2023-06-09
PO00149,2023-12-16,SUP10,SKU0045,WH02,1339,66.82,2024-01-04,2024-01-12
PO00150,2023-04-01,SUP06,SKU0005,WH04,3257,125.51,2023-04-14,2023-05-02
PO00151,2023-01-12,SUP06,SKU0004,WH01,1583,135.02,2023-01-20,2023-02-03
PO00152,2023-04-13,SUP01,SKU0046,WH01,2977,35.63,2023-04-26,2023-04-25
PO00153,2023-03-26,SUP03,SKU0011,WH03,300,96.87,2023-04-04,2023-04-02
PO00154,2023-12-29,SUP10,SKU0096,WH01,3864,31.68,2024-01-16,2024-01-15
PO00155,2023-03-21,SUP07,SKU0049,WH04,1232,193.76,2023-04-02,2023-04-01
PO00156,2023-10-31,SUP08,SKU0058,WH05,4252,87.57,2023-11-24,2023-11-22
PO00157,2024-10-19,SUP04,SKU0017,WH05,2381,172.83,2024-11-02,2024-11-20
PO00158,2023-06-07,SUP10,SKU0093,WH03,2553,49.76,2023-06-23,2023-07-09
PO00159,2023-12-05,SUP04,SKU0033,WH03,4315,145.69,2023-12-20,2023-12-19
PO00160,2024-12-23,SUP04,SKU0036,WH04,871,191.18,2025-01-03,2025-01-02
PO00161,2024-02-14,SUP09,SKU0018,WH05,471,176.8,2024-03-18,2024-03-16
PO00162,2023-01-03,SUP04,SKU0038,WH01,4820,106.48,2023-01-15,2023-01-12
PO00163,2023-12-06,SUP06,SKU0084,WH01,4715,14.72,2023-12-14,2023-12-13
PO00164,2023-12-20,SUP03,SKU0025,WH05,3028,103.12,2023-12-30,2024-01-12
PO00165,2024-03-21,SUP06,SKU0016,WH02,288,135.54,2024-03-29,2024-03-26
PO00166,2024-10-24,SUP08,SKU0064,WH05,2453,190.07,2024-11-13,2024-11-13
PO00167,2024-03-18,SUP07,SKU0053,WH05,4200,154.67,2024-03-26,2024-03-27
PO00168,2023-05-19,SUP06,SKU0024,WH01,3876,95.09,2023-05-28,2023-05-28
PO00169,2024-01-19,SUP10,SKU0094,WH01,335,4.26,2024-02-02,2024-02-14
PO00170,2023-12-27,SUP04,SKU0001,WH01,4895,104.8,2024-01-11,2024-01-09
PO00171,2023-12-10,SUP02,SKU0043,WH01,1558,73.41,2024-01-16,2024-01-16
PO00172,2024-10-04,SUP04,SKU0029,WH03,1748,89.7,2024-10-15,2024-11-01
PO00173,2024-10-23,SUP04,SKU0020,WH05,2254,46.54,2024-11-07,2024-11-05
PO00174,2023-03-31,SUP06,SKU0012,WH02,4240,20.96,2023-04-10,2023-04-11
PO00175,2024-02-28,SUP04,SKU0046,WH03,2008,71.12,2024-03-14,2024-04-03
PO00176,2024-03-29,SUP02,SKU0036,WH01,1574,186.95,2024-05-03,2024-05-04
PO00177,2023-11-21,SUP07,SKU0044,WH05,3873,12.29,2023-12-03,2023-12-01
PO00178,2024-09-08,SUP07,SKU0035,WH01,666,24.66,2024-09-20,2024-09-19
PO00179,2024-06-20,SUP01,SKU0011,WH05,4023,172.28,2024-07-06,2024-07-10
PO00180,2023-08-16,SUP06,SKU0083,WH02,218,182.38,2023-08-25,2023-08-26
PO00181,2023-02-22,SUP08,SKU0065,WH03,4294,118.05,2023-03-16,2023-03-17
PO00182,2024-08-21,SUP03,SKU0022,WH04,3758,31.06,2024-08-28,2024-08-29
PO00183,2023-10-11,SUP04,SKU0036,WH04,3674,17.14,2023-10-25,2023-10-25
PO00184,2023-07-22,SUP05,SKU0057,WH03,4372,52.31,2023-08-19,2023-08-16
PO00185,2024-02-11,SUP09,SKU0003,WH05,357,121.1,2024-03-15,2024-04-02
PO00186,2024-06-27,SUP07,SKU0062,WH03,4857,157.3,2024-07-05,2024-07-02
PO00187,2023-02-21,SUP09,SKU0011,WH01,4269,40.69,2023-03-26,2023-03-27
PO00188,2024-03-02,SUP07,SKU0057,WH05,2902,160.26,2024-03-11,2024-03-09
PO00189,2023-07-21,SUP08,SKU0071,WH04,4626,164.08,2023-08-12,2023-08-10
PO00190,2023-12-03,SUP06,SKU0092,WH05,4343,183.07,2023-12-12,2023-12-09
PO00191,2024-09-20,SUP10,SKU0035,WH03,2272,80.17,2024-10-09,2024-10-07
PO00192,2024-02-24,SUP06,SKU0022,WH01,3999,35.93,2024-03-04,2024-03-05
PO00193,2023-03-04,SUP10,SKU0087,WH05,1822,88.23,2023-03-22,2023-03-23
PO00194,2023-04-11,SUP04,SKU0044,WH05,867,5.27,2023-04-22,2023-04-22
PO00195,2024-05-22,SUP06,SKU0081,WH05,2496,150.95,2024-05-30,2024-05-30
PO00196,2024-03-02,SUP08,SKU0058,WH04,149,153.81,2024-03-25,2024-03-25
PO00197,2023-02-17,SUP10,SKU0099,WH02,1043,168.68,2023-03-04,2023-03-06
PO00198,2024-09-26,SUP10,SKU0039,WH01,617,151.59,2024-10-14,2024-10-12
PO00199,2023-07-06,SUP09,SKU0023,WH05,3481,142.06,2023-08-04,2023-08-02
PO00200,2023-03-28,SUP06,SKU0018,WH05,4873,67.23,2023-04-05,2023-04-22
PO00201,2024-06-29,SUP06,SKU0076,WH05,3014,195.7,2024-07-10,2024-07-27
PO00202,2023-06-28,SUP08,SKU0069,WH03,191,108.38,2023-07-21,2023-07-19
PO00203,2024-02-14,SUP09,SKU0021,WH01,1511,96.8,2024-03-18,2024-03-19
PO00204,2024-12-09,SUP05,SKU0067,WH04,1466,184.35,2025-01-06,2025-01-25
PO00205,2024-04-13,SUP04,SKU0037,WH04,2232,165.59,2024-04-25,2024-04-26
PO00206,2024-04-12,SUP05,SKU0045,WH01,1075,6.47,2024-05-12,2024-05-26
PO00207,2024-04-14,SUP03,SKU0018,WH03,3837,81.39,2024-04-19,2024-04-17
PO00208,2023-08-31,SUP01,SKU0050,WH01,767,65.59,2023-09-14,2023-09-12
PO00209,2024-11-20,SUP03,SKU0013,WH05,4516,33.38,2024-11-29,2024-11-29
PO00210,2023-09-01,SUP09,SKU0009,WH02,146,142.37,2023-10-02,2023-10-17
PO00211,2024-01-30,SUP01,SKU0017,WH04,2647,98.72,2024-02-15,2024-02-14
PO00212,2024-11-04,SUP03,SKU0001,WH04,447,61.84,2024-11-10,2024-11-11
PO00213,2024-01-31,SUP02,SKU0066,WH05,536,103.86,2024-03-04,2024-03-19
PO00214,2024-12-23,SUP05,SKU0058,WH04,2422,51.12,2025-01-18,2025-01-23
PO00215,2023-07-23,SUP07,SKU0074,WH03,3357,162.7,2023-08-03,2023-08-18
PO00216,2023-08-25,SUP03,SKU0010,WH01,1827,68.44,2023-08-31,2023-08-29
PO00217,2023-01-20,SUP04,SKU0043,WH05,4569,62.39,2023-02-03,2023-02-05
PO00218,2023-09-19,SUP03,SKU0024,WH03,4372,65.22,2023-09-27,2023-10-09
PO00219,2024-01-07,SUP03,SKU0014,WH04,290,56.38,2024-01-15,2024-01-13
PO00220,2023-07-03,SUP02,SKU0064,WH04,1666,193.41,2023-08-05,2023-08-08
PO00221,2023-08-07,SUP02,SKU0047,WH03,4543,60.95,2023-09-12,2023-09-09
PO00222,2024-01-10,SUP08,SKU0052,WH04,727,133.02,2024-02-02,2024-02-01
PO00223,2024-05-25,SUP08,SKU0069,WH03,4092,149.23,2024-06-13,2024-06-10
PO00224,2024-09-06,SUP04,SKU0007,WH03,3284,164.48,2024-09-21,2024-09-21
PO00225,2024-08-15,SUP07,SKU0034,WH01,2057,20.02,2024-08-25,2024-08-22
PO00226,2023-09-11,SUP03,SKU0006,WH05,3898,11.82,2023-09-18,2023-09-16
PO00227,2024-02-03,SUP07,SKU0069,WH03,4127,98.68,2024-02-14,2024-02-21
PO00228,2023-04-18,SUP03,SKU0011,WH04,3503,105.31,2023-04-25,2023-04-25
PO00229,2023-07-28,SUP07,SKU0051,WH05,3587,54.22,2023-08-04,2023-08-20
PO00230,2024-08-04,SUP08,SKU0052,WH01,4582,114.92,2024-08-23,2024-09-11
PO00231,2024-08-21,SUP06,SKU0022,WH02,2303,49.84,2024-08-30,2024-09-14
PO00232,2024-01-30,SUP05,SKU0050,WH01,4816,119.43,2024-02-25,2024-02-23
PO00233,2024-11-26,SUP04,SKU0034,WH03,2808,145.27,2024-12-09,2024-12-09
PO00234,2024-04-19,SUP09,SKU0013,WH01,2964,2.48,2024-05-22,2024-05-23
PO00235,2023-12-02,SUP03,SKU0004,WH02,4996,150.93,2023-12-11,2023-12-09
PO00236,2023-05-23,SUP02,SKU0060,WH04,4571,12.59,2023-06-25,2023-07-10
PO00237,2023-12-11,SUP02,SKU0057,WH05,3584,198.08,2024-01-17,2024-01-28
PO00238,2023-07-26,SUP02,SKU0069,WH04,1987,119.16,2023-09-02,2023-09-05
PO00239,2024-07-04,SUP09,SKU0005,WH02,726,86.56,2024-08-04,2024-08-03
PO00240,2024-09-23,SUP10,SKU0045,WH05,3515,178.2,2024-10-12,2024-10-16
PO00241,2024-05-07,SUP07,SKU0048,WH04,2880,133.33,2024-05-14,2024-05-11
PO00242,2024-12-06,SUP06,SKU0011,WH01,3702,193.16,2024-12-17,2024-12-18
PO00243,2024-08-01,SUP02,SKU0066,WH05,4318,16.09,2024-09-06,2024-09-17
PO00244,2024-07-05,SUP07,SKU0052,WH02,1851,106.87,2024-07-16,2024-07-13
PO00245,2023-01-09,SUP04,SKU0013,WH02,2329,52.32,2023-01-24,2023-01-25
PO00246,2024-04-25,SUP04,SKU0009,WH04,1883,175.2,2024-05-06,2024-05-11
PO00247,2023-09-15,SUP03,SKU0020,WH03,2101,28.63,2023-09-21,2023-09-19
PO00248,2024-06-05,SUP05,SKU0032,WH04,181,124.22,2024-07-03,2024-06-30
PO00249,2024-04-21,SUP02,SKU0048,WH03,3003,193.66,2024-05-24,2024-05-23
PO00250,2024-12-03,SUP06,SKU0080,WH04,2918,83.65,2024-12-13,2024-12-29
PO00251,2023-03-04,SUP07,SKU0038,WH02,1046,145.65,2023-03-15,2023-03-14
PO00252,2023-09-30,SUP10,SKU0099,WH02,1650,195.73,2023-10-15,2023-10-15
PO00253,2024-07-01,SUP08,SKU0062,WH01,2278,17.64,2024-07-24,2024-08-05
PO00254,2023-12-18,SUP09,SKU0025,WH01,4382,71.4,2024-01-16,2024-01-20
PO00255,2023-08-19,SUP03,SKU0015,WH05,1368,82.18,2023-08-28,2023-08-28
PO00256,2023-09-23,SUP08,SKU0053,WH04,4957,35.56,2023-10-14,2023-10-11
PO00257,2023-02-17,SUP02,SKU0035,WH02,3793,135.32,2023-03-27,2023-03-27
PO00258,2024-03-31,SUP09,SKU0022,WH04,4334,8.3,2024-05-01,2024-04-28
PO00259,2023-07-21,SUP04,SKU0043,WH04,4269,159.95,2023-08-01,2023-08-08
PO00260,2024-10-26,SUP03,SKU0014,WH05,2477,51.81,2024-11-05,2024-11-07
PO00261,2023-04-18,SUP04,SKU0019,WH02,4803,138.13,2023-05-02,2023-05-02
PO00262,2024-09-17,SUP06,SKU0011,WH03,4621,178.9,2024-09-29,2024-10-06
PO00263,2024-07-11,SUP08,SKU0057,WH01,1222,10.46,2024-08-04,2024-08-02
PO00264,2023-08-23,SUP10,SKU0031,WH04,2156,64.38,2023-09-10,2023-09-23
PO00265,2024-12-04,SUP10,SKU0049,WH02,3130,95.16,2024-12-21,2024-12-22
PO00266,2023-04-15,SUP05,SKU0050,WH02,3762,0.92,2023-05-13,2023-05-15
PO00267,2024-09-20,SUP03,SKU0014,WH01,775,87.58,2024-09-26,2024-09-27
PO00268,2024-04-08,SUP02,SKU0049,WH02,2027,47.21,2024-05-12,2024-05-23
PO00269,2023-10-10,SUP03,SKU0025,WH01,4725,35.8,2023-10-18,2023-10-15
PO00270,2023-05-05,SUP10,SKU0031,WH03,2341,94.34,2023-05-20,2023-05-17
PO00271,2024-08-10,SUP07,SKU0042,WH03,3988,75.84,2024-08-22,2024-08-20
PO00272,2024-10-25,SUP09,SKU0001,WH04,202,51.2,2024-11-26,2024-12-16
PO00273,2023-08-08,SUP04,SKU0032,WH03,738,111.82,2023-08-18,2023-08-19
PO00274,2024-03-20,SUP01,SKU0044,WH05,2536,119.65,2024-04-04,2024-04-02
PO00275,2024-10-15,SUP04,SKU0047,WH05,726,32.06,2024-10-26,2024-10-23
PO00276,2024-10-18,SUP02,SKU0040,WH01,2858,129.7,2024-11-22,2024-11-20
PO00277,2024-05-09,SUP02,SKU0070,WH04,4375,133.89,2024-06-16,2024-06-17
PO00278,2023-02-13,SUP01,SKU0038,WH03,4490,183.02,2023-02-26,2023-02-23
PO00279,2024-12-16,SUP10,SKU0086,WH03,3877,172.12,2024-12-30,2024-12-30
PO00280,2024-05-06,SUP07,SKU0032,WH02,4120,0.65,2024-05-15,2024-05-16
PO00281,2023-06-12,SUP04,SKU0012,WH05,1562,84.8,2023-06-25,2023-07-12
PO00282,2024-05-15,SUP09,SKU0020,WH01,4583,16.35,2024-06-14,2024-06-19
PO00283,2024-12-07,SUP02,SKU0072,WH03,4632,88.93,2025-01-09,2025-01-09
PO00284,2024-08-13,SUP09,SKU0018,WH02,1219,196.79,2024-09-12,2024-09-19
PO00285,2023-06-12,SUP07,SKU0067,WH03,911,101.2,2023-06-22,2023-06-22
PO00286,2023-02-07,SUP01,SKU0019,WH04,1916,158.62,2023-02-21,2023-02-22
PO00287,2024-05-03,SUP06,SKU0091,WH05,3784,44.36,2024-05-11,2024-05-08
PO00288,2023-07-06,SUP08,SKU0061,WH03,980,169.21,2023-07-30,2023-08-02
PO00289,2023-08-30,SUP03,SKU0007,WH01,82,71.49,2023-09-04,2023-09-14
PO00290,2024-03-24,SUP09,SKU0024,WH03,681,38.62,2024-04-23,2024-04-24
