investment_firm_lei,DEA,client_ID,invest_dec,within_firm,non_exec,trading_capacity,liq_prov_activity,date_time,validity_period,order_restriction,validity_period_ts,priority_time,priority_size,sequence_no,MIC,order_book_code,fin_instr_ID,receipt_date,order_ID,order_event_type,order_type,order_type_class,limit_price,additional_limit_price,stop_price,pegged_limit_price,transaction_price,currency,leg2_currency,price_notation,buy_sell,order_status,quantity_notation,quantity_currency,initial_quantity,remaining_quantity,displayed_quantity,traded_quantity,MAQ,MES,MES_first,passive_only,passive_aggressive,self_exec_prevention,sl_order_ID,routing_strategy,trading_venue_trans_ID,trading_phases,auction_price,auction_volume,reserved fields
SYNTHLEI0000000E0005,FALSE,CL1034,NONE,,,AOTC,FALSE,2025-07-11T07:08:29.444219Z,GTCV,VFAR,9999-12-31T23:59:59.999999Z,2025-07-11T07:08:29.444219Z,,30,XMKT,GOLF,ZZ0000000107,2025-07-11T07:08:29.444219Z,100570,NEWO,L,LMTO,4.1572,0,0,0,0,EUR,,MONE,BUYI,ACTI,,,5,5,5,,,,,,,,,,T10057018,,,,
SYNTHLEI0000000E0005,FALSE,CL1034,NONE,,,AOTC,FALSE,2025-07-11T07:08:30.333219Z,GTCV,VFAR,9999-12-31T23:59:59.999999Z,2025-07-11T07:08:30.333219Z,,31,XMKT,GOLF,ZZ0000000107,2025-07-11T07:08:30.333219Z,100570,REME,L,LMTO,4.1542,,,,,EUR,,MONE,BUYI,ACTI,,,5,5,5,,,,,,,,,,T10057018,,,,
SYNTHLEI0000000E0005,FALSE,CL1034,NONE,,,AOTC,FALSE,2025-07-11T07:08:31.509219Z,GTCV,VFAR,9999-12-31T23:59:59.999999Z,2025-07-11T07:08:31.509219Z,,32,XMKT,GOLF,ZZ0000000107,2025-07-11T07:08:31.509219Z,100570,REME,L,LMTO,4.1537,,,,,EUR,,MONE,BUYI,ACTI,,,5,5,5,,,,,,,,,,T10057018,,,,
SYNTHLEI0000000E0005,FALSE,CL1034,NONE,,,AOTC,FALSE,2025-07-11T07:08:32.385219Z,GTCV,VFAR,9999-12-31T23:59:59.999999Z,2025-07-11T07:08:32.385219Z,,33,XMKT,GOLF,ZZ0000000107,2025-07-11T07:08:32.385219Z,100570,REME,L,LMTO,4.1613,,,,,EUR,,MONE,BUYI,ACTI,,,5,5,5,,,,,,,,,,T10057018,,,,
SYNTHLEI0000000E0005,FALSE,CL1034,NONE,,,AOTC,FALSE,2025-07-11T07:08:34.221219Z,GTCV,VFAR,9999-12-31T23:59:59.999999Z,2025-07-11T07:08:34.221219Z,,34,XMKT,GOLF,ZZ0000000107,2025-07-11T07:08:34.221219Z,100570,CAME,L,LMTO,,,,,,EUR,,MONE,BUYI,,,,5,0,0,,,,,,,,,,T10057018,,,,
SYNTHLEI0000000B0002,TRUE,CL1030,NONE,,,AOTC,FALSE,2025-07-11T07:08:39.165752Z,FOKV,VFCR,9999-12-31T23:59:59.999999Z,2025-07-11T07:08:39.165752Z,,35,XMKT,ECHO,ZZ0000000105,2025-07-11T07:08:39.165752Z,100389,NEWO,L,LMTO,7.9208,0,0,0,0,EUR,,MONE,SELL,ACTI,,,500,500,500,,,,,,,,,,T10038923,,,,
SYNTHLEI0000000B0002,FALSE,CL1012,NONE,,,DEAL,FALSE,2025-07-11T07:09:06.837773Z,DAVY,VFAR,2025-07-11T23:59:59.999999Z,2025-07-11T07:04:05.837773Z,,36,XMKT,ABLE,ZZ0000000101,2025-07-11T07:09:06.837773Z,100591,PARF,L,,,,,,6.4963,EUR,,MONE,BUYI,,,,,12,,8,,,,,AGRE,,,,T10059136,,,,
SYNTHLEI0000000C0003,FALSE,CL1016,NONE,,,MTCH,FALSE,2025-07-11T07:09:21.518521Z,DAVY,VFAR,2025-07-11T23:59:59.999999Z,2025-07-11T07:09:21.518521Z,,37,XDRV,OPT25G15.00,ZV0000000202,2025-07-11T07:09:21.518521Z,100606,NEWO,L,LMTO,0.4564,0,0,0,0,EUR,,MONE,BUYI,ACTI,,,2,2,2,,,,,,,,,,T10060648,,,,
SYNTHLEI0000000G0007,FALSE,CL1038,NONE,,,AOTC,FALSE,2025-07-11T07:09:25.681610Z,IOCV,VFCR,9999-12-31T23:59:59.999999Z,2025-07-11T07:09:25.681610Z,,38,XMKT,INDX,ZZ0000000109,2025-07-11T07:09:25.681610Z,100375,NEWO,L,LMTO,0.4406,0,0,0,0,EUR,,MONE,BUYI,ACTI,,,500,500,500,,,,,,,,,,T10037562,,,,
SYNTHLEI0000000B0002,FALSE,CL1029,NONE,,,AOTC,FALSE,2025-07-11T07:09:40.984546Z,GTCV,VFCR,9999-12-31T23:59:59.999999Z,2025-07-11T07:09:40.984546Z,,39,XMKT,HOTL,ZZ0000000108,2025-07-11T07:09:40.984546Z,100045,NEWO,L,LMTO,3.1809,0,0,0,0,EUR,,MONE,BUYI,ACTI,,,200,200,200,,,,,,,,,,T10004577,,,,
SYNTHLEI0000000G0007,FALSE,CL1038,NONE,,,AOTC,FALSE,2025-07-11T07:09:45.681610Z,IOCV,VFCR,9999-12-31T23:59:59.999999Z,2025-07-11T07:09:25.681610Z,,40,XMKT,INDX,ZZ0000000109,2025-07-11T07:09:45.681610Z,100375,PARF,L,,,,,,0.4406,EUR,,MONE,BUYI,,,,,361,,139,,,,,PASV,,,,T10037562,,,,
SYNTHLEI0000000A0001,FALSE,CL1028,NONE,,,MTCH,FALSE,2025-07-11T07:10:00.928272Z,DAVY,VFCR,2025-07-11T23:59:59.999999Z,2025-07-11T07:10:00.928272Z,,41,XMKT,CHRL,ZZ0000000103,2025-07-11T07:10:00.928272Z,100351,NEWO,L,LMTO,16.2592,0,0,0,0,EUR,,MONE,BUYI,ACTI,,,200,200,200,,,,,,,,,,T10035123,,,,
SYNTHLEI0000000G0007,FALSE,CL1038,NONE,,,AOTC,FALSE,2025-07-11T07:10:03.681610Z,IOCV,VFCR,9999-12-31T23:59:59.999999Z,2025-07-11T07:10:03.681610Z,,42,XMKT,INDX,ZZ0000000109,2025-07-11T07:10:03.681610Z,100375,CAME,L,,,,,,,EUR,,MONE,BUYI,,,,500,0,0,,,,,,,,,,T10037562,,,,
SYNTHLEI0000000D0004,FALSE,CL1034,NONE,,,AOTC,FALSE,2025-07-11T07:10:12.631836Z,DAVY,VFAR,2025-07-11T23:59:59.999999Z,2025-07-11T07:10:12.631836Z,,43,XDRV,FTSE25T4900,ZV0000000201,2025-07-11T07:10:12.631836Z,100377,NEWO,L,LMTO,108.2006,0,0,0,0,EUR,,MONE,BUYI,ACTI,,,50,50,50,,,,,,,,,,T10037765,,,,
SYNTHLEI0000000H0008,FALSE,NONE,NONE,,,AOTC,FALSE,2025-07-11T07:10:42.705415Z,DAVY,VFCR,2025-07-11T23:59:59.999999Z,2025-07-11T07:10:42.705415Z,,44,XMKT,ABLE,ZZ0000000101,2025-07-11T07:10:42.705415Z,100633,NEWO,L,LMTO,6.4992,0,0,0,0,EUR,,MONE,BUYI,ACTI,,,40,40,40,,,,,,,,,,T10063357,,,,
SYNTHLEI0000000A0001,FALSE,NONE,ALGOPT,,,DEAL,TRUE,2025-07-11T07:10:50.456612Z,DAVY,VFCR,2025-07-11T23:59:59.999999Z,2025-07-11T07:10:50.456612Z,,45,XMKT,JULT,ZZ0000000110,2025-07-11T07:10:50.456612Z,100596,NEWO,L,LMTO,11.393,0,0,0,0,EUR,,MONE,BUYI,ACTI,,,20,20,20,,,,,,,,,,T10059636,,,,
SYNTHLEI0000000B0002,FALSE,CL1007,NONE,,,AOTC,FALSE,2025-07-11T07:11:00.054584Z,GTDV,VFAR,2025-07-11T23:59:59.999999Z,2025-07-11T07:11:00.054584Z,,46,XMKT,DLTA,ZZ0000000104,2025-07-11T07:11:00.054584Z,100026,NEWO,L,LMTO,3.137,0,0,0,0,EUR,,MONE,BUYI,ACTI,,,5,5,5,,,,,,,,,,T10002655,,,,
SYNTHLEI0000000C0003,FALSE,CL1010,NONE,,,DEAL,FALSE,2025-07-11T07:11:23.073656Z,IOCV,VFCR,9999-12-31T23:59:59.999999Z,2025-07-11T07:11:23.073656Z,,47,XMKT,JULT,ZZ0000000110,2025-07-11T07:11:23.073656Z,100639,NEWO,S,STOP,11.4031,0,11.21,0,0,EUR,,MONE,BUYI,ACTI,,,40,40,40,,,,,,,,,,T10063945,,,,
SYNTHLEI0000000H0008,FALSE,CL1035,NONE,,,AOTC,FALSE,2025-07-11T07:11:48.853987Z,IOCV,VFCR,9999-12-31T23:59:59.999999Z,2025-07-11T07:05:41.853987Z,,48,XDRV,FTSE25T4900,ZV0000000201,2025-07-11T07:11:48.853987Z,100123,FILL,L,,,,,,107.8274,EUR,,MONE,BUYI,,,,,0,,20,,,,,PASV,,,,T10012338,,,,
SYNTHLEI0000000D0004,TRUE,NONE,ALGOPT,,,MTCH,FALSE,2025-07-11T07:12:07.089258Z,DAVY,VFAR,2025-07-11T23:59:59.999999Z,2025-07-11T07:12:07.089258Z,,49,XMKT,GOLF,ZZ0000000107,2025-07-11T07:12:07.089258Z,100112,NEWO,L,LMTO,4.158,0,0,0,0,EUR,,MONE,SELL,ACTI,,,200,200,200,,,,,,,,,,T10011279,,,,
SYNTHLEI0000000H0008,FALSE,NONE,ALGO1,,,AOTC,FALSE,2025-07-11T07:12:14.554626Z,DAVY,VFAR,2025-07-11T23:59:59.999999Z,2025-07-11T07:03:07.554626Z,,50,XMKT,BRVO,ZZ0000000102,2025-07-11T07:12:14.554626Z,100430,FILL,L,,,,,,2.0824,EUR,,MONE,SELL,,,,,0,,3,,,,,AGRE,,,,T10043051,,,,
SYNTHLEI0000000B0002,FALSE,CL1012,NONE,,,DEAL,FALSE,2025-07-11T07:12:27.837773Z,DAVY,VFAR,2025-07-11T23:59:59.999999Z,2025-07-11T07:04:05.837773Z,,51,XMKT,ABLE,ZZ0000000101,2025-07-11T07:12:27.837773Z,100591,FILL,L,,,,,,6.4963,EUR,,MONE,BUYI,,,,,0,,12,,,,,PASV,,,,T10059136,,,,
SYNTHLEI0000000C0003,FALSE,CL1024,NONE,,,DEAL,FALSE,2025-07-11T07:12:38.196975Z,GTCV,VFCR,9999-12-31T23:59:59.999999Z,2025-07-11T07:12:38.196975Z,,52,XMKT,FXTR,ZZ0000000106,2025-07-11T07:12:38.196975Z,100279,REME,S,STOP,3.1955,,,,,EUR,,MONE,BUYI,ACTI,,,150,150,150,,,,,,,,,,T10027950,,,,
SYNTHLEI0000000B0002,TRUE,CL1030,NONE,,,AOTC,FALSE,2025-07-11T07:12:48.165752Z,FOKV,VFCR,9999-12-31T23:59:59.999999Z,2025-07-11T07:08:39.165752Z,,53,XMKT,ECHO,ZZ0000000105,2025-07-11T07:12:48.165752Z,100389,PARF,L,,,,,,7.9208,EUR,,MONE,SELL,,,,,387,,113,,,,,AGRE,,,,T10038923,,,,
SYNTHLEI0000000A0001,TRUE,NONE,ALGO1,,,DEAL,FALSE,2025-07-11T07:13:01.872979Z,GTCV,VFAR,9999-12-31T23:59:59.999999Z,2025-07-11T07:08:07.872979Z,,54,XMKT,HOTL,ZZ0000000108,2025-07-11T07:13:01.872979Z,100500,FILL,L,,,,,,3.1804,EUR,,MONE,BUYI,,,,,0,,20,,,,,PASV,,,,T10050053,,,,
SYNTHLEI0000000C0003,FALSE,CL1022,NONE,,,DEAL,TRUE,2025-07-11T07:13:02.559885Z,DAVY,VFCR,2025-07-11T23:59:59.999999Z,2025-07-11T07:13:02.559885Z,,55,XMKT,INDX,ZZ0000000109,2025-07-11T07:13:02.559885Z,100629,CAME,L,,,,,,,EUR,,MONE,BUYI,,,,60,0,0,,,,,,,,,,T10062972,,,,
SYNTHLEI0000000D0004,FALSE,CL1028,NONE,,,DEAL,TRUE,2025-07-11T07:13:09.242465Z,DAVY,VFCR,2025-07-11T23:59:59.999999Z,2025-07-11T07:13:09.242465Z,,56,XMKT,HOTL,ZZ0000000108,2025-07-11T07:13:09.242465Z,100321,NEWO,L,LMTO,3.1803,0,0,0,0,EUR,,MONE,SELL,ACTI,,,60,60,60,,,,,,,,,,T10032115,,,,
SYNTHLEI0000000B0002,FALSE,CL1032,NONE,,,AOTC,FALSE,2025-07-11T07:13:10.734760Z,DAVY,VFAR,2025-07-11T23:59:59.999999Z,2025-07-11T07:13:10.734760Z,,57,XDRV,FTSE25T4900,ZV0000000201,2025-07-11T07:13:10.734760Z,100343,NEWO,L,LMTO,107.9628,0,0,0,0,EUR,,MONE,BUYI,ACTI,,,1,1,1,,,,,,,,,,T10034386,,,,
SYNTHLEI0000000B0002,TRUE,CL1030,NONE,,,AOTC,FALSE,2025-07-11T07:13:13.165752Z,FOKV,VFCR,9999-12-31T23:59:59.999999Z,2025-07-11T07:13:13.165752Z,,58,XMKT,ECHO,ZZ0000000105,2025-07-11T07:13:13.165752Z,100389,CAME,L,,,,,,,EUR,,MONE,SELL,,,,500,0,0,,,,,,,,,,T10038923,,,,
SYNTHLEI0000000B0002,FALSE,CL1029,NONE,,,AOTC,FALSE,2025-07-11T07:13:16.984546Z,GTCV,VFCR,9999-12-31T23:59:59.999999Z,2025-07-11T07:09:40.984546Z,,59,XMKT,HOTL,ZZ0000000108,2025-07-11T07:13:16.984546Z,100045,PARF,L,,,,,,3.1809,EUR,,MONE,BUYI,,,,,108,,92,,,,,AGRE,,,,T10004577,,,,
SYNTHLEI0000000G0007,TRUE,CL1037,NONE,,,AOTC,FALSE,2025-07-11T07:13:44.206104Z,GTDV,VFAR,2025-07-11T23:59:59.999999Z,2025-07-11T07:13:44.206104Z,,60,XMKT,INDX,ZZ0000000109,2025-07-11T07:13:44.206104Z,100318,NEWO,L,LMTO,0.4868,0,0,0,0,EUR,,MONE,BUYI,ACTI,,,5,5,5,,,,,,,,,,T10031853,,,,
SYNTHLEI0000000A0001,FALSE,NONE,ALGOPT,,,DEAL,TRUE,2025-07-11T07:13:52.456612Z,DAVY,VFCR,2025-07-11T23:59:59.999999Z,2025-07-11T07:10:50.456612Z,,61,XMKT,JULT,ZZ0000000110,2025-07-11T07:13:52.456612Z,100596,FILL,L,,,,,,11.393,EUR,,MONE,BUYI,,,,,0,,20,,,,,AGRE,,,,T10059636,,,,
SYNTHLEI0000000C0003,FALSE,CL1018,NONE,,,AOTC,FALSE,2025-07-11T07:14:06.598125Z,GTDV,VFAR,2025-07-11T23:59:59.999999Z,2025-07-11T07:14:06.598125Z,,62,XMKT,JULT,ZZ0000000110,2025-07-11T07:14:06.598125Z,100446,NEWO,L,LMTO,11.384,0,0,0,0,EUR,,MONE,BUYI,ACTI,,,60,60,60,,,,,,,,,,T10044690,,,,
