CallID,CallDate,CallTime,RepID,HCPID,CallOutcome,IsConnected,DurationMinutes,AfterCallWorkMinutes,AHT_Minutes,IsMeaningfulInteraction,InteractionType,Script,AIRecommended,AIFollowed,ScheduledTime,IsScheduleAdherent,Drug,TherapyArea,NotesTaken,FollowUpScheduled,HCPSentimentScore,Channel,ScriptDeviation,CallQualityScore,AdverseEventFlagged
CALL-000011,2025-11-14,22:22,REP-002,HCP-0358,Connected,1,6.7,2.6,9.4,1,Patient Case Discussion,Script B - Direct,1,1,19:11,1,DrugAlpha-100mg,Immunology,1,1,4.2,Video,0,6.7,0
CALL-000012,2026-01-20,22:01,REP-006,HCP-0184,Voicemail,0,1.0,0.2,1.2,0,N/A,Script A - Empathetic,0,0,22:34,1,DrugGamma-200mg,Oncology,0,0,,Video,0,,0
CALL-000013,2026-02-17,19:17,REP-017,HCP-0199,Connected,1,19.1,6.3,25.4,1,Product Info,Script A - Empathetic,1,1,22:17,1,CardioPlus-25mg,Oncology,1,0,1.9,Phone,0,4.0,0
CALL-000014,2025-07-22,17:13,REP-014,HCP-0086,No Answer,0,0.2,0.5,0.7,0,N/A,Script B - Direct,1,1,16:39,1,DrugAlpha-100mg,Cardiology,0,0,,Video,1,,0
CALL-000015,2026-04-27,21:11,REP-025,HCP-0438,Wrong Number,0,1.3,0.5,1.8,0,N/A,Script A - Empathetic,1,0,19:30,1,DrugBeta-50mg,Cardiology,0,0,,Phone,0,,0
CALL-000016,2025-07-23,17:27,REP-009,HCP-0205,No Answer,0,1.4,0.4,1.8,0,N/A,Script A - Empathetic,1,0,20:31,1,DrugGamma-200mg,Neurology,0,0,,Email,0,,0
CALL-000017,2025-07-17,16:34,REP-007,HCP-0417,No Answer,0,1.1,1.1,2.2,0,N/A,Script B - Direct,1,0,17:49,1,CardioPlus-25mg,Neurology,0,0,,Phone,0,,0
CALL-000018,2025-07-02,22:16,REP-013,HCP-0282,Wrong Number,0,1.2,0.2,1.4,0,N/A,Script A - Empathetic,1,1,21:39,1,CardioPlus-25mg,Rare Disease,0,0,,Phone,0,,0
CALL-000019,2026-02-02,21:51,REP-020,HCP-0398,No Answer,0,0.5,0.2,0.7,0,N/A,Script A - Empathetic,0,0,17:20,1,DrugAlpha-100mg,Neurology,0,0,,Phone,0,,0
CALL-000020,2025-08-26,17:27,REP-004,HCP-0371,Connected,1,11.8,4.1,15.9,0,Patient Case Discussion,Script A - Empathetic,0,0,22:56,1,DrugAlpha-100mg,Cardiology,1,0,3.4,Phone,0,4.0,0
CALL-000021,2026-04-11,20:33,REP-013,HCP-0131,Connected,1,5.7,2.9,8.6,1,Scientific Discussion,Script B - Direct,1,1,22:31,1,CardioPlus-25mg,Cardiology,1,1,4.7,Email,1,3.4,0
CALL-000022,2026-01-09,23:21,REP-022,HCP-0173,Voicemail,0,1.2,0.2,1.4,0,N/A,Script B - Direct,1,1,20:20,1,CardioPlus-25mg,Immunology,0,0,,Phone,0,,0
CALL-000023,2025-07-15,18:49,REP-019,HCP-0276,Connected,1,3.9,2.9,6.8,0,Patient Case Discussion,Script B - Direct,0,0,18:15,0,NeuroX-75mg,Neurology,1,0,2.2,Video,0,4.9,0
CALL-000024,2025-08-25,18:18,REP-013,HCP-0381,Voicemail,0,1.4,0.2,1.6,0,N/A,Script B - Direct,0,0,22:10,0,DrugBeta-50mg,Cardiology,0,0,,Phone,0,,0
CALL-000025,2026-02-17,22:03,REP-014,HCP-0292,Connected,1,9.2,3.1,12.3,1,Scientific Discussion,Script B - Direct,1,1,17:23,0,DrugAlpha-100mg,Neurology,1,0,1.1,Phone,0,6.5,0
CALL-000026,2026-02-28,23:08,REP-019,HCP-0317,Connected,1,5.9,0.2,6.1,1,Follow-up Scheduling,Script B - Direct,1,1,23:59,1,NeuroX-75mg,Cardiology,1,0,3.6,Phone,1,2.5,0
CALL-000027,2026-02-03,16:29,REP-003,HCP-0092,Voicemail,0,1.2,0.3,1.4,0,N/A,Script A - Empathetic,0,0,21:44,1,CardioPlus-25mg,Rare Disease,0,0,,Phone,0,,0
CALL-000028,2025-12-27,20:03,REP-021,HCP-0105,Connected,1,8.3,0.7,8.9,1,Brief Check-in,Script B - Direct,0,0,21:56,1,DrugAlpha-100mg,Immunology,1,1,2.2,Video,0,5.1,0
CALL-000029,2026-01-05,23:43,REP-010,HCP-0392,Voicemail,0,1.4,0.8,2.2,0,N/A,Script B - Direct,1,1,23:18,1,CardioPlus-25mg,Oncology,0,0,,Phone,0,,0
CALL-000030,2025-08-13,17:57,REP-015,HCP-0270,Connected,1,11.9,3.5,15.4,0,Brief Check-in,Script B - Direct,0,0,19:55,1,NeuroX-75mg,Immunology,1,0,1.1,Phone,0,4.8,0
CALL-000031,2026-04-04,20:39,REP-002,HCP-0487,Connected,1,15.5,3.3,18.8,0,Scientific Discussion,Script A - Empathetic,0,0,22:38,0,DrugBeta-50mg,Rare Disease,1,0,1.9,Phone,0,3.1,0
CALL-000032,2025-12-04,20:58,REP-001,HCP-0024,Voicemail,0,1.4,0.8,2.2,0,N/A,Script A - Empathetic,1,0,22:22,0,DrugGamma-200mg,Immunology,0,0,,Phone,0,,0
CALL-000033,2025-11-11,21:15,REP-009,HCP-0264,No Answer,0,0.2,0.3,0.5,0,N/A,Script A - Empathetic,0,0,17:00,1,CardioPlus-25mg,Neurology,0,0,,Phone,0,,0
CALL-000034,2025-09-02,16:19,REP-005,HCP-0329,Connected,1,6.7,3.6,10.4,1,Patient Case Discussion,Script B - Direct,0,0,22:37,1,DrugGamma-200mg,Oncology,1,0,4.4,Phone,0,4.2,0
CALL-000035,2025-08-23,19:37,REP-009,HCP-0276,Wrong Number,0,0.9,1.0,1.8,0,N/A,Script A - Empathetic,1,1,18:17,1,NeuroX-75mg,Neurology,0,0,,Email,0,,0
CALL-000036,2025-09-22,19:11,REP-017,HCP-0149,Gatekeeper Block,0,0.8,0.4,1.2,0,N/A,Script A - Empathetic,1,1,22:58,1,CardioPlus-25mg,Oncology,0,0,,Video,0,,0
CALL-000037,2026-03-21,23:45,REP-002,HCP-0427,Connected,1,13.1,6.1,19.2,1,Brief Check-in,Script A - Empathetic,1,1,22:29,1,NeuroX-75mg,Cardiology,1,0,4.3,Email,0,7.5,0
CALL-000038,2025-10-05,23:17,REP-012,HCP-0240,Wrong Number,0,1.0,0.3,1.3,0,N/A,Script A - Empathetic,1,0,17:37,1,NeuroX-75mg,Neurology,0,0,,Phone,1,,0
CALL-000039,2026-04-08,21:47,REP-021,HCP-0086,Connected,1,11.2,2.4,13.6,1,Brief Check-in,Script A - Empathetic,1,1,16:29,1,CardioPlus-25mg,Cardiology,1,0,2.3,Video,0,6.6,0
CALL-000040,2025-07-24,19:18,REP-014,HCP-0267,Wrong Number,0,0.5,0.8,1.3,0,N/A,Script B - Direct,1,1,17:45,1,DrugAlpha-100mg,Cardiology,0,0,,Phone,0,,0
CALL-000041,2026-02-14,22:10,REP-018,HCP-0206,Connected,1,11.1,2.7,13.8,1,Clinical Data Review,Script A - Empathetic,1,0,19:27,1,NeuroX-75mg,Neurology,1,0,3.1,Video,0,4.6,0
CALL-000042,2026-04-03,23:54,REP-014,HCP-0341,No Answer,0,0.6,0.4,1.0,0,N/A,Script A - Empathetic,1,0,21:51,1,DrugAlpha-100mg,Rare Disease,0,0,,Phone,0,,0
CALL-000043,2026-04-18,20:05,REP-015,HCP-0237,Connected,1,15.6,3.8,19.5,0,Clinical Data Review,Script A - Empathetic,0,0,23:54,0,CardioPlus-25mg,Oncology,1,0,4.0,Phone,0,1.2,0
CALL-000044,2026-04-19,18:31,REP-012,HCP-0088,Wrong Number,0,0.3,0.3,0.5,0,N/A,Script A - Empathetic,0,0,23:29,1,DrugGamma-200mg,Cardiology,0,0,,Phone,0,,0
CALL-000045,2026-01-14,23:21,REP-020,HCP-0116,Voicemail,0,1.0,0.2,1.2,0,N/A,Script A - Empathetic,1,1,22:17,1,CardioPlus-25mg,Cardiology,0,0,,Email,0,,0
CALL-000046,2026-04-27,21:43,REP-003,HCP-0276,Voicemail,0,1.1,0.2,1.3,0,N/A,Script A - Empathetic,0,0,20:58,1,DrugGamma-200mg,Neurology,0,0,,Email,0,,0
CALL-000047,2026-01-07,19:59,REP-016,HCP-0030,Voicemail,0,1.3,0.5,1.8,0,N/A,Script B - Direct,1,1,16:46,1,DrugGamma-200mg,Oncology,0,0,,Phone,0,,0
CALL-000048,2026-01-26,16:03,REP-009,HCP-0034,Wrong Number,0,0.8,0.5,1.3,0,N/A,Script B - Direct,1,0,21:56,1,DrugAlpha-100mg,Neurology,0,0,,Phone,0,,0
CALL-000049,2026-03-06,16:05,REP-017,HCP-0392,Connected,1,13.6,3.0,16.5,0,Follow-up Scheduling,Script A - Empathetic,1,1,21:00,1,DrugAlpha-100mg,Oncology,1,0,4.9,Phone,0,2.9,0
CALL-000050,2025-09-30,18:12,REP-015,HCP-0490,Connected,1,16.1,4.8,20.9,1,Brief Check-in,Script A - Empathetic,0,0,19:52,0,DrugAlpha-100mg,Rare Disease,1,1,2.7,Phone,0,4.3,0
CALL-000051,2025-12-08,18:51,REP-022,HCP-0009,Wrong Number,0,0.2,0.2,0.4,0,N/A,Script A - Empathetic,0,0,21:44,1,CardioPlus-25mg,Rare Disease,0,0,,Phone,0,,0
CALL-000052,2026-03-25,23:12,REP-015,HCP-0256,Connected,1,11.8,3.2,15.0,1,Patient Case Discussion,Script A - Empathetic,0,0,17:39,1,DrugGamma-200mg,Immunology,1,1,4.6,Phone,0,4.5,0
CALL-000053,2025-08-06,19:21,REP-002,HCP-0163,Voicemail,0,0.4,0.3,0.6,0,N/A,Script B - Direct,1,1,21:28,1,DrugBeta-50mg,Cardiology,0,0,,Phone,0,,0
CALL-000054,2026-02-01,20:11,REP-017,HCP-0037,Connected,1,8.5,3.7,12.2,0,Patient Case Discussion,Script B - Direct,0,0,20:57,1,DrugGamma-200mg,Immunology,1,0,2.5,Video,0,5.8,0
CALL-000055,2025-11-30,18:46,REP-013,HCP-0086,Gatekeeper Block,0,0.7,0.2,0.9,0,N/A,Script A - Empathetic,1,1,17:23,0,DrugAlpha-100mg,Cardiology,0,0,,Email,0,,0
CALL-000056,2025-07-18,23:49,REP-018,HCP-0212,Gatekeeper Block,0,0.9,0.6,1.5,0,N/A,Script B - Direct,1,1,19:06,0,CardioPlus-25mg,Oncology,0,0,,Phone,0,,0
CALL-000057,2026-01-15,21:52,REP-004,HCP-0364,No Answer,0,1.1,0.7,1.7,0,N/A,Script A - Empathetic,1,0,22:45,1,DrugGamma-200mg,Immunology,0,0,,Email,0,,0
CALL-000058,2025-08-12,16:05,REP-022,HCP-0110,Connected,1,17.1,0.6,17.7,0,Follow-up Scheduling,Script A - Empathetic,0,0,16:10,0,DrugGamma-200mg,Immunology,1,0,1.9,Phone,0,7.0,0
CALL-000059,2025-10-02,16:59,REP-012,HCP-0485,Voicemail,0,1.3,0.8,2.0,0,N/A,Script B - Direct,1,0,19:54,1,DrugGamma-200mg,Oncology,0,0,,Phone,0,,0
CALL-000060,2026-04-29,16:13,REP-022,HCP-0230,Voicemail,0,1.5,0.7,2.2,0,N/A,Script A - Empathetic,0,0,20:43,1,CardioPlus-25mg,Cardiology,0,0,,Phone,0,,0
CALL-000061,2025-08-30,21:56,REP-001,HCP-0176,Connected,1,1.9,0.4,2.3,0,Clinical Data Review,Script B - Direct,1,1,17:04,1,CardioPlus-25mg,Oncology,1,0,1.7,Phone,0,7.2,0
CALL-000062,2026-04-06,22:58,REP-012,HCP-0219,Connected,1,6.6,3.5,10.1,1,Patient Case Discussion,Script A - Empathetic,0,0,23:36,0,CardioPlus-25mg,Neurology,1,0,3.9,Phone,1,4.7,1
CALL-000063,2026-03-02,21:55,REP-009,HCP-0029,Voicemail,0,1.3,0.5,1.9,0,N/A,Script A - Empathetic,0,0,20:19,1,DrugBeta-50mg,Neurology,0,0,,Phone,0,,0
CALL-000064,2025-07-11,22:11,REP-001,HCP-0245,Connected,1,9.9,1.1,11.0,1,Product Info,Script B - Direct,1,0,17:31,1,DrugGamma-200mg,Neurology,1,0,1.7,Email,0,3.9,0
CALL-000065,2025-08-01,22:32,REP-021,HCP-0117,Connected,1,19.0,3.3,22.3,1,Brief Check-in,Script A - Empathetic,1,1,22:53,1,DrugGamma-200mg,Immunology,1,1,4.6,Phone,0,8.5,0
CALL-000066,2025-08-15,22:19,REP-013,HCP-0245,Connected,1,8.2,1.5,9.6,0,Patient Case Discussion,Script B - Direct,1,1,23:20,0,DrugBeta-50mg,Neurology,1,0,1.9,Video,0,6.6,0
CALL-000067,2025-11-01,21:53,REP-014,HCP-0403,Connected,1,8.7,4.3,13.0,1,Patient Case Discussion,Script A - Empathetic,0,0,23:56,1,DrugBeta-50mg,Cardiology,1,0,1.0,Email,0,7.6,0
CALL-000068,2025-10-05,17:49,REP-014,HCP-0420,Connected,1,12.0,3.4,15.4,1,Follow-up Scheduling,Script A - Empathetic,1,0,23:46,1,DrugAlpha-100mg,Immunology,1,1,2.5,Email,0,4.2,0
CALL-000069,2026-04-08,19:04,REP-018,HCP-0050,Connected,1,6.9,1.6,8.6,1,Brief Check-in,Script B - Direct,1,1,16:48,0,CardioPlus-25mg,Cardiology,0,0,1.6,Video,0,6.2,0
CALL-000070,2026-04-24,19:39,REP-016,HCP-0108,Wrong Number,0,0.3,0.9,1.2,0,N/A,Script B - Direct,1,0,23:10,1,DrugGamma-200mg,Oncology,0,0,,Email,0,,0
CALL-000071,2026-04-01,21:36,REP-005,HCP-0378,Connected,1,9.9,7.4,17.2,0,Brief Check-in,Script A - Empathetic,1,0,18:59,1,CardioPlus-25mg,Immunology,1,0,3.8,Phone,0,5.2,0
CALL-000072,2025-09-03,17:15,REP-024,HCP-0379,Connected,1,14.7,3.2,17.8,1,Product Info,Script A - Empathetic,1,1,23:31,1,DrugGamma-200mg,Neurology,1,1,4.1,Video,0,6.8,0
CALL-000073,2025-09-05,19:08,REP-017,HCP-0058,Connected,1,5.7,0.5,6.1,1,Follow-up Scheduling,Script B - Direct,1,1,19:59,1,DrugAlpha-100mg,Rare Disease,1,0,5.0,Phone,0,4.0,0
CALL-000074,2025-08-15,19:53,REP-014,HCP-0409,Voicemail,0,1.1,1.0,2.2,0,N/A,Script A - Empathetic,1,1,19:07,0,CardioPlus-25mg,Cardiology,0,0,,Phone,1,,0
CALL-000075,2025-11-19,22:53,REP-003,HCP-0375,Wrong Number,0,0.7,0.6,1.3,0,N/A,Script B - Direct,1,1,22:35,0,NeuroX-75mg,Rare Disease,0,0,,Phone,0,,0
CALL-000076,2026-02-21,20:19,REP-025,HCP-0026,Gatekeeper Block,0,0.6,0.5,1.1,0,N/A,Script B - Direct,1,1,16:19,1,DrugAlpha-100mg,Rare Disease,0,0,,Phone,0,,0
CALL-000077,2026-02-11,17:05,REP-014,HCP-0244,Connected,1,12.7,4.5,17.2,1,Brief Check-in,Script A - Empathetic,0,0,22:10,1,DrugGamma-200mg,Oncology,0,1,4.1,Phone,0,6.4,0
CALL-000078,2025-09-09,22:09,REP-024,HCP-0217,No Answer,0,1.4,0.6,2.1,0,N/A,Script B - Direct,1,1,23:38,0,DrugBeta-50mg,Immunology,0,0,,Phone,0,,0
CALL-000079,2025-12-07,19:52,REP-023,HCP-0052,Connected,1,13.2,5.9,19.1,0,Patient Case Discussion,Script B - Direct,1,1,18:56,1,DrugAlpha-100mg,Immunology,1,0,2.0,Phone,1,1.5,0
CALL-000080,2025-08-10,20:46,REP-023,HCP-0230,Connected,1,7.6,1.2,8.8,1,Brief Check-in,Script B - Direct,1,1,20:31,1,DrugGamma-200mg,Cardiology,0,1,2.0,Email,0,7.5,0
CALL-000081,2026-01-06,16:36,REP-019,HCP-0289,Wrong Number,0,0.2,0.6,0.8,0,N/A,Script B - Direct,1,0,17:11,1,DrugGamma-200mg,Oncology,0,0,,Phone,0,,0
CALL-000082,2025-12-04,19:00,REP-017,HCP-0054,No Answer,0,0.6,0.7,1.4,0,N/A,Script B - Direct,1,1,20:54,1,NeuroX-75mg,Neurology,0,0,,Phone,0,,0
CALL-000083,2025-11-19,17:19,REP-005,HCP-0152,Connected,1,8.6,3.7,12.3,0,Scientific Discussion,Script B - Direct,0,0,20:41,1,DrugGamma-200mg,Oncology,1,0,1.9,Phone,0,4.2,0
CALL-000084,2025-07-29,18:09,REP-015,HCP-0346,Gatekeeper Block,0,0.1,0.3,0.5,0,N/A,Script B - Direct,1,0,17:31,0,DrugAlpha-100mg,Immunology,0,0,,Phone,0,,0
CALL-000085,2025-08-10,23:03,REP-012,HCP-0440,Connected,1,2.8,6.0,8.9,0,Clinical Data Review,Script B - Direct,1,0,18:27,0,DrugAlpha-100mg,Immunology,1,0,3.6,Phone,0,2.9,0
CALL-000086,2025-09-22,22:43,REP-021,HCP-0498,Gatekeeper Block,0,0.3,0.6,0.9,0,N/A,Script A - Empathetic,0,0,23:29,1,DrugGamma-200mg,Immunology,0,0,,Phone,0,,0
CALL-000087,2026-01-25,21:20,REP-007,HCP-0123,Wrong Number,0,1.0,0.4,1.4,0,N/A,Script B - Direct,1,1,23:59,1,CardioPlus-25mg,Oncology,0,0,,Phone,1,,0
CALL-000088,2025-07-24,17:49,REP-002,HCP-0016,Connected,1,13.8,1.1,14.9,1,Patient Case Discussion,Script A - Empathetic,1,1,17:27,1,DrugBeta-50mg,Oncology,1,0,3.5,Email,0,2.9,0
CALL-000089,2025-08-14,18:46,REP-016,HCP-0103,Connected,1,15.9,5.1,21.1,1,Brief Check-in,Script A - Empathetic,1,1,16:38,1,DrugGamma-200mg,Rare Disease,0,1,4.6,Phone,0,4.8,0
CALL-000090,2025-10-18,19:50,REP-008,HCP-0092,Connected,1,8.6,2.3,10.9,1,Follow-up Scheduling,Script A - Empathetic,1,1,20:23,0,DrugGamma-200mg,Rare Disease,1,1,2.7,Email,0,5.4,0
CALL-000091,2026-03-17,17:00,REP-012,HCP-0022,No Answer,0,0.6,0.2,0.8,0,N/A,Script B - Direct,1,0,18:53,0,NeuroX-75mg,Oncology,0,0,,Phone,0,,0
CALL-000092,2025-09-02,22:59,REP-005,HCP-0247,Wrong Number,0,0.9,0.5,1.4,0,N/A,Script A - Empathetic,1,0,18:45,1,DrugGamma-200mg,Cardiology,0,0,,Email,0,,0
CALL-000093,2026-03-31,20:16,REP-009,HCP-0471,Connected,1,10.0,6.8,16.8,1,Brief Check-in,Script B - Direct,1,1,18:09,0,DrugBeta-50mg,Rare Disease,1,0,4.4,Email,0,3.9,0
CALL-000094,2026-04-16,22:15,REP-005,HCP-0430,Gatekeeper Block,0,1.0,0.5,1.4,0,N/A,Script A - Empathetic,1,0,21:13,1,NeuroX-75mg,Oncology,0,0,,Phone,1,,0
CALL-000095,2025-11-03,18:00,REP-003,HCP-0390,Voicemail,0,0.4,0.2,0.7,0,N/A,Script A - Empathetic,1,1,20:49,1,DrugAlpha-100mg,Cardiology,0,0,,Phone,0,,0
CALL-000096,2025-10-21,20:50,REP-025,HCP-0241,Voicemail,0,1.3,0.5,1.8,0,N/A,Script A - Empathetic,1,1,23:42,1,NeuroX-75mg,Immunology,0,0,,Email,0,,0
CALL-000097,2025-07-24,17:36,REP-012,HCP-0204,No Answer,0,0.7,0.5,1.2,0,N/A,Script B - Direct,1,0,21:21,1,NeuroX-75mg,Cardiology,0,0,,Video,1,,0
CALL-000098,2026-04-30,17:08,REP-007,HCP-0359,Connected,1,6.9,3.9,10.8,0,Product Info,Script B - Direct,1,1,18:42,1,DrugAlpha-100mg,Oncology,1,0,1.3,Email,0,4.1,0
CALL-000099,2025-10-12,23:14,REP-019,HCP-0154,No Answer,0,0.7,1.2,2.0,0,N/A,Script B - Direct,0,0,23:13,1,DrugAlpha-100mg,Oncology,0,0,,Phone,0,,0
CALL-000100,2025-10-03,19:40,REP-005,HCP-0270,Gatekeeper Block,0,1.4,0.7,2.1,0,N/A,Script B - Direct,0,0,23:41,1,CardioPlus-25mg,Immunology,0,0,,Phone,0,,0
CALL-000101,2025-12-06,18:07,REP-007,HCP-0072,Voicemail,0,0.8,0.4,1.3,0,N/A,Script A - Empathetic,0,0,21:11,1,CardioPlus-25mg,Immunology,0,0,,Phone,1,,0
CALL-000102,2025-08-05,22:35,REP-012,HCP-0016,No Answer,0,1.4,0.2,1.6,0,N/A,Script B - Direct,1,1,23:00,1,NeuroX-75mg,Oncology,0,0,,Video,1,,0
CALL-000103,2026-01-19,21:02,REP-010,HCP-0198,Voicemail,0,1.4,0.3,1.7,0,N/A,Script B - Direct,1,1,21:27,1,DrugAlpha-100mg,Cardiology,0,0,,Phone,1,,0
CALL-000104,2026-01-25,21:08,REP-008,HCP-0222,Connected,1,9.0,1.1,10.1,0,Clinical Data Review,Script B - Direct,0,0,23:28,1,CardioPlus-25mg,Cardiology,1,0,1.9,Phone,0,3.2,0
CALL-000105,2025-10-14,20:58,REP-002,HCP-0416,Voicemail,0,0.3,0.3,0.7,0,N/A,Script B - Direct,1,0,20:15,0,CardioPlus-25mg,Neurology,0,0,,Phone,0,,0
CALL-000106,2026-04-13,20:45,REP-019,HCP-0460,Connected,1,9.1,2.6,11.7,0,Product Info,Script B - Direct,0,0,20:55,0,DrugGamma-200mg,Immunology,1,0,4.2,Phone,0,5.3,0
CALL-000107,2025-12-04,22:16,REP-020,HCP-0076,Gatekeeper Block,0,1.4,0.5,1.9,0,N/A,Script B - Direct,1,1,20:14,1,DrugAlpha-100mg,Immunology,0,0,,Phone,0,,0
CALL-000108,2026-03-27,23:08,REP-025,HCP-0406,Connected,1,17.2,2.8,20.1,1,Patient Case Discussion,Script A - Empathetic,1,1,20:06,1,DrugAlpha-100mg,Rare Disease,1,1,2.9,Phone,0,5.0,1
CALL-000109,2025-07-23,20:17,REP-016,HCP-0208,Connected,1,4.4,1.1,5.5,0,Clinical Data Review,Script B - Direct,0,0,21:30,1,CardioPlus-25mg,Cardiology,1,0,2.2,Phone,0,4.1,1
CALL-000110,2025-08-02,22:55,REP-005,HCP-0435,No Answer,0,0.3,0.4,0.7,0,N/A,Script A - Empathetic,1,0,17:13,1,DrugGamma-200mg,Rare Disease,0,0,,Phone,0,,0
CALL-000111,2026-03-28,20:12,REP-023,HCP-0361,Wrong Number,0,0.9,0.2,1.1,0,N/A,Script B - Direct,1,1,19:04,1,DrugGamma-200mg,Immunology,0,0,,Phone,0,,0
CALL-000112,2025-12-15,19:12,REP-013,HCP-0242,Connected,1,15.1,3.8,18.8,0,Clinical Data Review,Script A - Empathetic,1,1,22:10,0,DrugGamma-200mg,Neurology,1,0,1.7,Phone,0,3.4,0
CALL-000113,2026-01-25,21:45,REP-007,HCP-0394,No Answer,0,1.1,0.6,1.7,0,N/A,Script A - Empathetic,1,1,16:02,1,DrugBeta-50mg,Oncology,0,0,,Phone,0,,0
CALL-000114,2026-04-18,20:13,REP-009,HCP-0239,No Answer,0,1.3,0.2,1.6,0,N/A,Script A - Empathetic,1,0,17:29,1,DrugGamma-200mg,Cardiology,0,0,,Phone,0,,0
CALL-000115,2025-07-30,18:12,REP-005,HCP-0145,No Answer,0,0.5,0.4,0.8,0,N/A,Script B - Direct,0,0,21:46,0,DrugBeta-50mg,Rare Disease,0,0,,Phone,0,,0
CALL-000116,2025-09-07,22:29,REP-017,HCP-0095,Voicemail,0,0.4,0.6,1.0,0,N/A,Script A - Empathetic,1,1,16:14,1,NeuroX-75mg,Cardiology,0,0,,Phone,0,,0
CALL-000117,2025-08-04,21:15,REP-024,HCP-0414,Wrong Number,0,0.1,0.6,0.7,0,N/A,Script A - Empathetic,0,0,23:39,1,DrugAlpha-100mg,Cardiology,0,0,,Phone,0,,0
CALL-000118,2025-09-27,19:17,REP-009,HCP-0386,Gatekeeper Block,0,0.9,0.4,1.2,0,N/A,Script B - Direct,1,1,20:52,1,DrugBeta-50mg,Oncology,0,0,,Video,0,,0
CALL-000119,2025-07-24,16:56,REP-005,HCP-0331,Gatekeeper Block,0,1.4,0.8,2.2,0,N/A,Script B - Direct,1,0,18:10,1,DrugGamma-200mg,Immunology,0,0,,Email,0,,0
CALL-000120,2025-07-30,23:20,REP-015,HCP-0497,No Answer,0,1.2,0.5,1.7,0,N/A,Script B - Direct,0,0,17:53,0,DrugGamma-200mg,Immunology,0,0,,Phone,0,,0
CALL-000121,2026-01-28,17:11,REP-004,HCP-0376,No Answer,0,0.9,0.7,1.5,0,N/A,Script A - Empathetic,0,0,23:40,1,DrugBeta-50mg,Neurology,0,0,,Phone,0,,0
CALL-000122,2025-12-10,18:06,REP-020,HCP-0026,Connected,1,7.2,3.7,10.8,1,Brief Check-in,Script B - Direct,1,0,19:40,1,DrugBeta-50mg,Rare Disease,1,0,1.5,Phone,0,6.9,0
CALL-000123,2026-02-20,23:18,REP-017,HCP-0027,Gatekeeper Block,0,1.1,1.1,2.3,0,N/A,Script A - Empathetic,0,0,17:29,0,DrugAlpha-100mg,Cardiology,0,0,,Video,0,,0
CALL-000124,2025-10-24,23:24,REP-020,HCP-0094,Voicemail,0,0.5,0.7,1.3,0,N/A,Script B - Direct,1,0,17:31,1,DrugGamma-200mg,Rare Disease,0,0,,Phone,0,,0
