interaction_id,interaction_date,agent_id,hcp_id,client_id,channel,interaction_type,duration_minutes,connected,outcome,next_best_action,sentiment_score,script_adherence_pct,compliance_status,adverse_event_flagged
INT000067,2025-04-10,AG037,HCP0255,CL02,Video,Scientific Exchange,0,No,Voicemail,Sample Drop,0.51,0.98,Pass,No
INT000068,2024-09-19,AG011,HCP0152,CL03,Phone,Promotional,4,Yes,Connected,No Action,0.9,0.96,Pass,No
INT000069,2025-01-10,AG042,HCP0072,CL02,Portal,Promotional,3,Yes,Connected,Escalate to MSL,0.35,0.99,Pass,No
INT000070,2024-01-09,AG055,HCP0161,CL06,Phone,Promotional,29,Yes,Connected,Send Clinical Data,0.25,1.0,Pass,No
INT000071,2025-04-21,AG055,HCP0054,CL05,Phone,Promotional,0,No,No Answer,Schedule Follow-up,0.56,0.81,Pass,No
INT000072,2024-08-05,AG006,HCP0093,CL02,Portal,Onboarding,2,Yes,Connected,Invite to Webinar,0.77,0.89,Pass,No
INT000073,2025-01-24,AG048,HCP0244,CL02,Phone,Scientific Exchange,15,Yes,Connected,Schedule Follow-up,0.39,0.93,Pass,No
INT000074,2024-03-26,AG060,HCP0186,CL07,Portal,Scientific Exchange,1,Yes,Connected,Send Clinical Data,0.9,0.88,Pass,No
INT000075,2025-03-14,AG005,HCP0141,CL07,Phone,Follow-up,9,Yes,Connected,Sample Drop,0.7,0.94,Pass,No
INT000076,2025-02-02,AG049,HCP0153,CL03,Phone,Onboarding,11,Yes,Connected,Schedule Follow-up,0.33,0.88,Pass,No
INT000077,2025-04-14,AG036,HCP0102,CL02,Video,Promotional,7,Yes,Connected,Send Clinical Data,0.35,0.9,Pass,Yes
INT000078,2024-05-08,AG032,HCP0163,CL02,Video,Follow-up,2,Yes,Connected,Invite to Webinar,0.55,0.7,Review,No
INT000079,2024-01-15,AG029,HCP0297,CL02,Phone,Follow-up,10,Yes,Connected,Sample Drop,0.35,0.87,Pass,No
INT000080,2024-12-26,AG053,HCP0187,CL01,Phone,Promotional,0,No,No Answer,Escalate to MSL,0.39,0.84,Pass,No
INT000081,2025-03-23,AG028,HCP0268,CL06,Phone,Promotional,4,Yes,Connected,Invite to Webinar,0.75,0.99,Pass,No
INT000082,2024-04-12,AG019,HCP0051,CL02,Video,Scientific Exchange,0,No,Voicemail,Invite to Webinar,0.51,0.86,Pass,No
INT000083,2024-12-25,AG029,HCP0258,CL01,Email,Follow-up,4,Yes,Connected,No Action,0.56,0.9,Pass,No
INT000084,2025-02-28,AG027,HCP0203,CL01,Portal,Follow-up,3,Yes,Connected,Invite to Webinar,0.74,0.87,Pass,No
INT000085,2025-03-16,AG016,HCP0003,CL07,Phone,Scientific Exchange,0,No,Voicemail,Send Clinical Data,0.54,0.78,Pass,No
INT000086,2024-11-21,AG036,HCP0201,CL04,Email,Promotional,4,Yes,Connected,Escalate to MSL,0.82,0.98,Pass,No
INT000087,2024-11-26,AG011,HCP0224,CL04,Phone,Follow-up,5,Yes,Connected,Send Clinical Data,0.41,0.96,Pass,No
INT000088,2024-01-26,AG006,HCP0048,CL01,Email,Promotional,1,Yes,Connected,Invite to Webinar,0.43,0.85,Pass,No
INT000089,2025-01-22,AG047,HCP0067,CL08,Email,Follow-up,2,Yes,Connected,Sample Drop,0.49,0.88,Pass,No
INT000090,2024-05-05,AG043,HCP0027,CL05,Phone,Scientific Exchange,22,Yes,Connected,Schedule Follow-up,1.0,0.9,Pass,No
INT000091,2025-02-27,AG010,HCP0145,CL05,Portal,Scientific Exchange,3,Yes,Connected,Schedule Follow-up,0.74,0.89,Pass,No
INT000092,2024-02-02,AG032,HCP0040,CL04,Email,Scientific Exchange,4,Yes,Connected,Schedule Follow-up,0.68,0.87,Pass,No
INT000093,2025-06-08,AG022,HCP0178,CL08,Portal,Promotional,3,Yes,Connected,Send Clinical Data,0.75,0.89,Pass,No
INT000094,2024-04-04,AG014,HCP0187,CL02,Portal,Scientific Exchange,1,Yes,Connected,Sample Drop,0.58,0.75,Pass,No
INT000095,2024-10-14,AG046,HCP0283,CL05,Email,Follow-up,4,Yes,Connected,No Action,0.76,0.89,Pass,No
INT000096,2024-04-20,AG007,HCP0299,CL05,Phone,Promotional,0,No,Declined,Escalate to MSL,0.57,0.82,Pass,No
INT000097,2025-02-23,AG025,HCP0220,CL04,Email,Promotional,1,Yes,Connected,Sample Drop,0.28,0.96,Pass,No
INT000098,2025-01-15,AG039,HCP0272,CL06,Phone,Scientific Exchange,0,No,Declined,Send Clinical Data,0.49,0.81,Pass,No
INT000099,2025-01-29,AG050,HCP0161,CL02,Phone,Follow-up,0,No,No Answer,Sample Drop,0.19,0.91,Pass,No
INT000100,2024-11-21,AG039,HCP0109,CL04,Phone,Promotional,0,No,Voicemail,Sample Drop,0.73,0.96,Pass,No
INT000101,2024-08-30,AG013,HCP0101,CL01,Video,Promotional,0,No,Declined,Escalate to MSL,0.57,0.94,Pass,No
INT000102,2025-06-24,AG002,HCP0146,CL01,Email,Follow-up,0,No,Declined,Schedule Follow-up,0.39,1.0,Pass,No
INT000103,2024-11-16,AG022,HCP0009,CL02,Email,Follow-up,3,Yes,Connected,No Action,0.59,1.0,Pass,No
INT000104,2024-01-11,AG040,HCP0025,CL07,Phone,Onboarding,4,Yes,Connected,Send Clinical Data,0.33,1.0,Pass,No
INT000105,2024-02-23,AG007,HCP0166,CL07,Phone,Scientific Exchange,0,No,Declined,Sample Drop,0.16,0.92,Pass,No
INT000106,2024-05-21,AG057,HCP0023,CL02,Phone,Promotional,6,Yes,Connected,Escalate to MSL,0.52,0.8,Pass,No
INT000107,2025-05-04,AG030,HCP0062,CL03,Phone,Scientific Exchange,0,No,Declined,Invite to Webinar,0.3,0.79,Pass,No
INT000108,2024-07-29,AG032,HCP0144,CL06,Video,Scientific Exchange,15,Yes,Connected,Invite to Webinar,0.36,0.83,Pass,No
INT000109,2025-06-24,AG005,HCP0039,CL08,Phone,Scientific Exchange,24,Yes,Connected,Escalate to MSL,0.69,0.87,Pass,No
INT000110,2025-06-09,AG055,HCP0161,CL05,Email,Follow-up,1,Yes,Connected,Send Clinical Data,0.75,0.88,Pass,No
INT000111,2024-09-03,AG050,HCP0205,CL04,Phone,Promotional,0,No,Voicemail,Schedule Follow-up,0.4,0.84,Pass,No
INT000112,2025-03-17,AG058,HCP0236,CL03,Phone,Promotional,11,Yes,Connected,Escalate to MSL,0.71,0.85,Pass,No
INT000113,2024-10-09,AG022,HCP0028,CL08,Phone,Scientific Exchange,0,No,Voicemail,Escalate to MSL,0.41,0.93,Pass,No
INT000114,2024-09-01,AG039,HCP0253,CL07,Phone,Scientific Exchange,11,Yes,Connected,Schedule Follow-up,0.71,0.93,Pass,No
INT000115,2025-05-22,AG035,HCP0052,CL05,Phone,Promotional,0,No,Declined,Send Clinical Data,0.37,0.92,Pass,No
INT000116,2024-11-08,AG011,HCP0105,CL06,Email,Follow-up,1,Yes,Connected,Invite to Webinar,0.82,0.96,Pass,No
INT000117,2024-06-30,AG016,HCP0088,CL06,Email,Promotional,4,Yes,Connected,Sample Drop,0.66,0.92,Pass,No
INT000118,2024-01-18,AG057,HCP0040,CL03,Email,Follow-up,4,Yes,Connected,Escalate to MSL,0.46,0.87,Pass,No
INT000119,2024-12-25,AG044,HCP0149,CL04,Email,Promotional,1,Yes,Connected,Escalate to MSL,0.9,0.98,Pass,No
INT000120,2024-04-25,AG017,HCP0250,CL05,Phone,Scientific Exchange,10,Yes,Connected,Sample Drop,0.27,0.93,Pass,No
INT000121,2025-03-17,AG044,HCP0266,CL01,Phone,Promotional,2,Yes,Connected,Sample Drop,0.81,0.91,Pass,No
INT000122,2025-06-23,AG014,HCP0046,CL04,Portal,Promotional,3,Yes,Connected,Send Clinical Data,0.83,0.84,Pass,No
INT000123,2024-05-05,AG017,HCP0179,CL06,Phone,Promotional,0,No,Declined,No Action,0.52,0.98,Pass,No
INT000124,2024-11-06,AG051,HCP0233,CL06,Phone,Onboarding,10,Yes,Connected,No Action,0.45,1.0,Pass,No
INT000125,2024-01-01,AG019,HCP0034,CL05,Phone,Scientific Exchange,28,Yes,Connected,Schedule Follow-up,0.59,0.9,Pass,No
INT000126,2025-03-18,AG017,HCP0071,CL06,Video,Follow-up,22,Yes,Connected,Escalate to MSL,0.58,1.0,Pass,No
INT000127,2024-04-10,AG059,HCP0042,CL05,Phone,Promotional,10,Yes,Connected,Sample Drop,0.74,0.82,Pass,No
INT000128,2024-07-23,AG059,HCP0155,CL05,Phone,Promotional,0,No,Voicemail,Sample Drop,0.61,0.98,Pass,No
INT000129,2024-11-16,AG020,HCP0044,CL05,Email,Promotional,4,Yes,Connected,Escalate to MSL,0.71,0.78,Pass,No
INT000130,2024-05-23,AG060,HCP0184,CL08,Phone,Promotional,0,No,Declined,Escalate to MSL,0.64,0.9,Pass,No
INT000131,2025-04-18,AG059,HCP0155,CL04,Email,Promotional,3,Yes,Connected,Escalate to MSL,0.97,0.95,Pass,No
INT000132,2024-03-03,AG030,HCP0028,CL02,Phone,Follow-up,0,No,Declined,Schedule Follow-up,0.22,0.8,Pass,No
INT000133,2024-11-14,AG048,HCP0300,CL01,Email,Promotional,4,Yes,Connected,Invite to Webinar,0.89,1.0,Pass,No
INT000134,2025-04-30,AG060,HCP0004,CL08,Email,Scientific Exchange,2,Yes,Connected,Schedule Follow-up,0.57,0.89,Pass,No
INT000135,2025-03-25,AG054,HCP0259,CL08,Phone,Onboarding,9,Yes,Connected,Invite to Webinar,0.65,0.92,Pass,No
INT000136,2024-07-24,AG040,HCP0064,CL07,Phone,Scientific Exchange,27,Yes,Connected,No Action,0.64,0.86,Pass,No
INT000137,2025-03-11,AG031,HCP0149,CL05,Email,Onboarding,3,Yes,Connected,Send Clinical Data,0.42,0.98,Pass,No
INT000138,2024-12-29,AG002,HCP0146,CL08,Phone,Scientific Exchange,0,No,No Answer,Send Clinical Data,0.26,0.75,Pass,No
INT000139,2024-06-04,AG030,HCP0235,CL05,Phone,Scientific Exchange,17,Yes,Connected,Sample Drop,0.55,0.98,Pass,No
INT000140,2025-04-28,AG042,HCP0289,CL06,Email,Follow-up,3,Yes,Connected,Escalate to MSL,0.51,0.93,Pass,No
INT000141,2024-06-11,AG043,HCP0093,CL05,Phone,Promotional,0,No,Declined,Send Clinical Data,0.42,0.75,Pass,No
INT000142,2025-03-06,AG007,HCP0055,CL08,Portal,Promotional,2,Yes,Connected,Schedule Follow-up,0.47,1.0,Pass,No
INT000143,2024-04-20,AG004,HCP0129,CL02,Phone,Follow-up,22,Yes,Connected,Invite to Webinar,0.46,0.98,Pass,No
INT000144,2025-03-20,AG029,HCP0194,CL03,Portal,Promotional,3,Yes,Connected,Escalate to MSL,0.37,0.92,Pass,No
INT000145,2024-03-14,AG052,HCP0099,CL02,Email,Follow-up,2,Yes,Connected,Sample Drop,0.74,0.92,Pass,No
INT000146,2024-03-09,AG012,HCP0271,CL08,Phone,Promotional,0,No,Voicemail,No Action,0.33,0.97,Pass,No
INT000147,2024-08-17,AG028,HCP0193,CL02,Email,Promotional,1,Yes,Connected,Sample Drop,0.74,0.94,Pass,No
INT000148,2025-05-27,AG060,HCP0129,CL07,Email,Scientific Exchange,3,Yes,Connected,Sample Drop,0.85,0.95,Pass,No
INT000149,2024-03-01,AG026,HCP0030,CL02,Email,Onboarding,0,No,Voicemail,Send Clinical Data,0.58,0.89,Pass,No
INT000150,2024-02-06,AG014,HCP0281,CL06,Portal,Follow-up,2,Yes,Connected,Sample Drop,0.31,0.92,Pass,No
INT000151,2025-05-04,AG005,HCP0214,CL02,Portal,Promotional,1,Yes,Connected,Sample Drop,0.81,0.96,Pass,No
INT000152,2025-05-08,AG051,HCP0117,CL01,Portal,Scientific Exchange,2,Yes,Connected,Schedule Follow-up,0.29,0.88,Pass,No
INT000153,2024-12-17,AG025,HCP0194,CL03,Email,Promotional,4,Yes,Connected,No Action,0.82,0.98,Pass,No
INT000154,2024-09-12,AG059,HCP0030,CL04,Phone,Promotional,13,Yes,Connected,Schedule Follow-up,0.26,0.93,Review,Yes
INT000155,2024-03-19,AG005,HCP0030,CL03,Email,Scientific Exchange,2,Yes,Connected,Schedule Follow-up,0.42,0.95,Pass,No
INT000156,2024-09-07,AG017,HCP0279,CL04,Email,Follow-up,2,Yes,Connected,Escalate to MSL,0.64,0.85,Pass,No
INT000157,2024-05-20,AG058,HCP0137,CL06,Email,Promotional,4,Yes,Connected,Escalate to MSL,0.69,0.88,Pass,No
INT000158,2024-04-26,AG015,HCP0157,CL04,Phone,Follow-up,0,No,No Answer,Schedule Follow-up,0.25,1.0,Pass,No
INT000159,2025-01-26,AG032,HCP0018,CL05,Phone,Scientific Exchange,0,No,No Answer,No Action,0.42,1.0,Pass,No
INT000160,2024-01-27,AG029,HCP0023,CL04,Phone,Promotional,19,Yes,Connected,Escalate to MSL,0.79,0.93,Pass,No
INT000161,2024-02-28,AG049,HCP0173,CL05,Video,Promotional,0,No,Declined,Schedule Follow-up,0.42,0.77,Pass,No
INT000162,2024-08-31,AG036,HCP0199,CL05,Video,Onboarding,5,Yes,Connected,Send Clinical Data,0.54,0.87,Pass,No
INT000163,2024-10-07,AG059,HCP0008,CL05,Video,Onboarding,13,Yes,Connected,Sample Drop,0.64,1.0,Pass,No
INT000164,2025-05-06,AG018,HCP0129,CL01,Phone,Promotional,13,Yes,Connected,Invite to Webinar,0.75,0.84,Pass,No
INT000165,2024-09-21,AG055,HCP0285,CL04,Phone,Promotional,15,Yes,Connected,Sample Drop,0.82,0.86,Pass,No
INT000166,2025-03-26,AG017,HCP0254,CL03,Phone,Promotional,0,No,Voicemail,Escalate to MSL,0.52,0.89,Pass,No
INT000167,2024-12-24,AG021,HCP0022,CL04,Phone,Follow-up,13,Yes,Connected,Schedule Follow-up,0.91,0.95,Pass,No
INT000168,2025-03-12,AG005,HCP0260,CL08,Phone,Scientific Exchange,8,Yes,Connected,Sample Drop,0.33,0.85,Pass,No
INT000169,2025-01-12,AG010,HCP0013,CL06,Email,Promotional,0,No,Voicemail,Schedule Follow-up,0.2,1.0,Pass,No
INT000170,2024-02-03,AG019,HCP0077,CL01,Phone,Scientific Exchange,11,Yes,Connected,Invite to Webinar,0.35,0.93,Pass,No
INT000171,2025-03-04,AG047,HCP0077,CL07,Video,Follow-up,0,No,No Answer,Escalate to MSL,0.22,0.62,Review,No
INT000172,2024-09-05,AG047,HCP0063,CL01,Email,Follow-up,3,Yes,Connected,Sample Drop,0.39,0.89,Pass,No
INT000173,2025-06-01,AG015,HCP0234,CL06,Video,Scientific Exchange,27,Yes,Connected,Schedule Follow-up,0.6,0.77,Pass,No
INT000174,2024-05-21,AG059,HCP0186,CL08,Email,Promotional,2,Yes,Connected,Escalate to MSL,0.76,0.89,Pass,No
INT000175,2024-01-16,AG017,HCP0147,CL06,Phone,Scientific Exchange,23,Yes,Connected,Send Clinical Data,0.62,0.83,Pass,No
INT000176,2024-06-19,AG008,HCP0215,CL05,Video,Follow-up,5,Yes,Connected,Schedule Follow-up,0.93,0.99,Pass,No
INT000177,2024-04-20,AG009,HCP0264,CL07,Portal,Promotional,2,Yes,Connected,Invite to Webinar,0.62,0.88,Pass,No
INT000178,2025-06-05,AG003,HCP0038,CL06,Portal,Onboarding,4,Yes,Connected,Schedule Follow-up,0.59,0.99,Pass,No
INT000179,2024-10-31,AG010,HCP0004,CL06,Email,Promotional,2,Yes,Connected,No Action,0.4,0.9,Pass,No
INT000180,2025-03-16,AG022,HCP0025,CL07,Phone,Promotional,0,No,No Answer,Escalate to MSL,0.8,0.93,Pass,No
INT000181,2024-04-18,AG018,HCP0295,CL06,Phone,Scientific Exchange,12,Yes,Connected,Send Clinical Data,0.83,0.95,Pass,No
INT000182,2024-07-18,AG043,HCP0143,CL03,Phone,Promotional,10,Yes,Connected,Schedule Follow-up,0.76,0.99,Pass,No
INT000183,2024-05-02,AG032,HCP0014,CL06,Phone,Onboarding,13,Yes,Connected,No Action,0.42,0.94,Pass,No
INT000184,2024-08-15,AG057,HCP0222,CL08,Phone,Follow-up,0,No,Voicemail,Invite to Webinar,0.34,0.78,Pass,No
INT000185,2025-06-17,AG005,HCP0168,CL03,Email,Scientific Exchange,1,Yes,Connected,Sample Drop,0.23,0.89,Pass,No
INT000186,2025-05-11,AG013,HCP0286,CL01,Portal,Promotional,4,Yes,Connected,Send Clinical Data,0.49,0.94,Pass,No
INT000187,2025-05-17,AG047,HCP0255,CL05,Phone,Follow-up,10,Yes,Connected,Escalate to MSL,0.35,0.9,Pass,No
INT000188,2024-07-03,AG040,HCP0107,CL03,Phone,Follow-up,0,No,Voicemail,Sample Drop,0.27,0.82,Pass,No
INT000189,2024-10-21,AG054,HCP0119,CL05,Email,Promotional,3,Yes,Connected,No Action,0.49,0.89,Pass,No
INT000190,2025-05-10,AG029,HCP0167,CL04,Email,Scientific Exchange,3,Yes,Connected,No Action,0.55,0.86,Pass,No
INT000191,2025-03-28,AG039,HCP0211,CL04,Phone,Promotional,18,Yes,Connected,No Action,0.49,0.85,Pass,No
INT000192,2024-06-19,AG026,HCP0134,CL01,Phone,Follow-up,11,Yes,Connected,Escalate to MSL,0.7,0.86,Pass,No
INT000193,2024-03-05,AG014,HCP0057,CL06,Phone,Promotional,0,No,No Answer,Invite to Webinar,0.47,0.85,Pass,No
INT000194,2024-08-08,AG004,HCP0266,CL04,Phone,Promotional,2,Yes,Connected,Escalate to MSL,0.56,0.93,Pass,No
INT000195,2024-10-16,AG047,HCP0128,CL01,Phone,Scientific Exchange,0,No,No Answer,Sample Drop,0.72,0.74,Review,No
INT000196,2024-03-27,AG002,HCP0118,CL04,Phone,Follow-up,0,No,Declined,Schedule Follow-up,0.45,0.86,Pass,No
INT000197,2024-11-15,AG005,HCP0259,CL07,Phone,Follow-up,10,Yes,Connected,Sample Drop,0.71,0.89,Pass,No
INT000198,2024-10-12,AG028,HCP0263,CL01,Phone,Promotional,23,Yes,Connected,No Action,0.59,0.86,Pass,No
INT000199,2024-01-26,AG019,HCP0274,CL04,Phone,Onboarding,0,No,Declined,No Action,0.56,0.89,Pass,No
INT000200,2024-07-31,AG050,HCP0119,CL08,Phone,Promotional,0,No,Declined,No Action,0.21,0.95,Pass,No
INT000201,2024-09-15,AG038,HCP0128,CL02,Phone,Promotional,21,Yes,Connected,No Action,0.6,0.82,Pass,No
INT000202,2025-05-26,AG020,HCP0173,CL03,Phone,Follow-up,0,No,No Answer,Sample Drop,0.44,0.93,Pass,No
INT000203,2024-01-14,AG042,HCP0121,CL06,Email,Promotional,1,Yes,Connected,Send Clinical Data,0.81,0.87,Pass,No
INT000204,2025-03-04,AG034,HCP0063,CL03,Phone,Follow-up,20,Yes,Connected,No Action,0.5,0.85,Pass,No
