UsageID,UsageDate,RepID,Drug,TherapyArea,Topic,QueryType,AnswerQuality,TimeToAnswerSec,TimeSavedMinutes,UsedInHCPInteraction,UserSatisfaction,HCPID
MSL-000018,2025-07-01,REP-009,CardioPlus-25mg,Cardiology,Real-World Evidence,Self-Study,Redirected to Medical,24.1,0,0,3,
MSL-000019,2025-07-01,REP-010,DrugGamma-200mg,Immunology,Biomarker Data,Live During HCP Call,Fully Answered,13.5,11.4,0,5,
MSL-000020,2025-07-01,REP-010,CardioPlus-25mg,Immunology,Off-label Evidence Request,Self-Study,Partially Answered,13.5,12.9,0,3,
MSL-000021,2025-07-01,REP-010,CardioPlus-25mg,Immunology,Subgroup Analysis,Post-Call Follow-up,Fully Answered,2.4,18.5,0,5,
MSL-000022,2025-07-01,REP-015,DrugGamma-200mg,Oncology,Drug Interactions,Pre-Meeting Prep,Redirected to Medical,17.5,0,0,1,
MSL-000023,2025-07-01,REP-015,DrugGamma-200mg,Oncology,Adverse Events / Safety,Live During HCP Call,Fully Answered,13.3,13.9,0,5,
MSL-000024,2025-07-01,REP-017,DrugAlpha-100mg,Immunology,Guidelines / Protocols,Pre-Meeting Prep,Redirected to Medical,25.0,0,0,2,
MSL-000025,2025-07-01,REP-017,DrugAlpha-100mg,Immunology,Guidelines / Protocols,Pre-Meeting Prep,Redirected to Medical,16.2,0,0,1,
MSL-000026,2025-07-01,REP-017,NeuroX-75mg,Immunology,Clinical Trial Data,Live During HCP Call,Fully Answered,7.3,15.9,1,5,HCP-0325
MSL-000027,2025-07-01,REP-017,CardioPlus-25mg,Immunology,Pharmacokinetics,Live During HCP Call,No Answer Found,37.3,0,0,2,
MSL-000028,2025-07-01,REP-017,CardioPlus-25mg,Immunology,Biomarker Data,Post-Call Follow-up,Partially Answered,8.8,12.3,0,4,
MSL-000029,2025-07-01,REP-017,NeuroX-75mg,Immunology,Guidelines / Protocols,Live During HCP Call,Partially Answered,20.0,15.5,0,4,
MSL-000030,2025-07-01,REP-021,NeuroX-75mg,Rare Disease,Guidelines / Protocols,Post-Call Follow-up,Fully Answered,7.4,4.6,0,5,
MSL-000031,2025-07-01,REP-021,NeuroX-75mg,Rare Disease,Adverse Events / Safety,Post-Call Follow-up,No Answer Found,27.8,0,0,3,
MSL-000032,2025-07-01,REP-021,CardioPlus-25mg,Rare Disease,Off-label Evidence Request,Pre-Meeting Prep,Fully Answered,6.5,15.6,0,5,
MSL-000033,2025-07-01,REP-021,DrugGamma-200mg,Rare Disease,Patient Selection Criteria,Self-Study,Fully Answered,15.8,12.4,0,5,
MSL-000034,2025-07-01,REP-021,NeuroX-75mg,Rare Disease,Real-World Evidence,Pre-Meeting Prep,Fully Answered,8.8,15.5,1,4,HCP-0306
MSL-000035,2025-07-02,REP-002,CardioPlus-25mg,Oncology,Off-label Evidence Request,Pre-Meeting Prep,Fully Answered,6.8,18.0,1,5,HCP-0191
MSL-000036,2025-07-02,REP-002,DrugAlpha-100mg,Oncology,Combination Therapy,Self-Study,Fully Answered,8.2,14.2,0,4,
MSL-000037,2025-07-02,REP-002,DrugBeta-50mg,Oncology,Subgroup Analysis,Live During HCP Call,Redirected to Medical,26.4,0,0,1,
MSL-000038,2025-07-02,REP-004,DrugBeta-50mg,Cardiology,Drug Interactions,Live During HCP Call,Partially Answered,16.2,15.4,1,4,HCP-0305
MSL-000039,2025-07-02,REP-004,DrugGamma-200mg,Cardiology,Drug Interactions,Self-Study,Partially Answered,15.4,4.1,0,4,
MSL-000040,2025-07-02,REP-004,DrugBeta-50mg,Cardiology,Clinical Trial Data,Pre-Meeting Prep,Fully Answered,7.8,15.7,0,5,
MSL-000041,2025-07-02,REP-004,DrugAlpha-100mg,Cardiology,Off-label Evidence Request,Self-Study,Redirected to Medical,27.0,0,0,2,
MSL-000042,2025-07-02,REP-004,DrugBeta-50mg,Cardiology,Adverse Events / Safety,Post-Call Follow-up,Fully Answered,10.8,15.7,0,5,
MSL-000043,2025-07-02,REP-004,DrugAlpha-100mg,Cardiology,Subgroup Analysis,Live During HCP Call,Fully Answered,5.1,15.7,1,4,HCP-0376
MSL-000044,2025-07-02,REP-008,DrugBeta-50mg,Immunology,Real-World Evidence,Pre-Meeting Prep,No Answer Found,29.8,0,0,2,
MSL-000045,2025-07-02,REP-008,DrugAlpha-100mg,Immunology,Patient Selection Criteria,Self-Study,Fully Answered,1,3.1,0,5,
MSL-000046,2025-07-02,REP-009,CardioPlus-25mg,Cardiology,Clinical Trial Data,Pre-Meeting Prep,Fully Answered,9.6,16.3,1,5,HCP-0036
MSL-000047,2025-07-02,REP-009,CardioPlus-25mg,Cardiology,Off-label Evidence Request,Pre-Meeting Prep,Fully Answered,10.7,12.8,1,5,HCP-0466
MSL-000048,2025-07-02,REP-009,CardioPlus-25mg,Cardiology,Pharmacokinetics,Self-Study,Fully Answered,4.2,18.1,0,5,
MSL-000049,2025-07-02,REP-010,NeuroX-75mg,Immunology,Biomarker Data,Post-Call Follow-up,Fully Answered,9.4,3.6,0,5,
MSL-000050,2025-07-02,REP-010,NeuroX-75mg,Immunology,Drug Interactions,Post-Call Follow-up,Redirected to Medical,22.9,0,0,3,
MSL-000051,2025-07-02,REP-015,NeuroX-75mg,Oncology,Pharmacokinetics,Live During HCP Call,Partially Answered,14.7,14.8,1,3,HCP-0467
MSL-000052,2025-07-02,REP-015,NeuroX-75mg,Oncology,Off-label Evidence Request,Live During HCP Call,Fully Answered,11.2,15.0,1,4,HCP-0424
MSL-000053,2025-07-02,REP-015,DrugGamma-200mg,Oncology,Combination Therapy,Self-Study,Fully Answered,8.5,11.5,0,5,
MSL-000054,2025-07-02,REP-016,DrugAlpha-100mg,Neurology,Dosing Guidelines,Live During HCP Call,Fully Answered,9.8,14.4,0,5,
MSL-000055,2025-07-02,REP-016,NeuroX-75mg,Neurology,Mechanism of Action,Pre-Meeting Prep,Fully Answered,10.9,10.8,0,5,
MSL-000056,2025-07-02,REP-016,CardioPlus-25mg,Neurology,Patient Selection Criteria,Self-Study,Fully Answered,7.4,10.8,0,5,
MSL-000057,2025-07-02,REP-017,DrugGamma-200mg,Immunology,Biomarker Data,Self-Study,Partially Answered,15.8,12.5,0,2,
MSL-000058,2025-07-02,REP-021,DrugBeta-50mg,Rare Disease,Clinical Trial Data,Live During HCP Call,Redirected to Medical,23.0,0,0,1,
MSL-000059,2025-07-02,REP-021,NeuroX-75mg,Rare Disease,Real-World Evidence,Self-Study,Fully Answered,6.6,9.3,0,5,
MSL-000060,2025-07-02,REP-021,DrugBeta-50mg,Rare Disease,Off-label Evidence Request,Live During HCP Call,Fully Answered,9.3,12.5,0,5,
MSL-000061,2025-07-03,REP-002,DrugBeta-50mg,Oncology,Real-World Evidence,Self-Study,Fully Answered,7.0,19.9,0,5,
MSL-000062,2025-07-03,REP-002,DrugBeta-50mg,Oncology,Clinical Trial Data,Post-Call Follow-up,Fully Answered,3.4,14.1,0,5,
MSL-000063,2025-07-03,REP-002,DrugGamma-200mg,Oncology,Off-label Evidence Request,Post-Call Follow-up,No Answer Found,13.8,0,0,3,
MSL-000064,2025-07-03,REP-002,DrugBeta-50mg,Oncology,Subgroup Analysis,Self-Study,No Answer Found,20.5,0,0,1,
MSL-000065,2025-07-03,REP-004,CardioPlus-25mg,Cardiology,Off-label Evidence Request,Live During HCP Call,Partially Answered,24.5,8.9,1,3,HCP-0224
MSL-000066,2025-07-03,REP-004,DrugAlpha-100mg,Cardiology,Mechanism of Action,Live During HCP Call,Fully Answered,3.6,20.6,1,5,HCP-0090
MSL-000067,2025-07-03,REP-004,DrugGamma-200mg,Cardiology,Mechanism of Action,Pre-Meeting Prep,Fully Answered,8.5,17.5,1,4,HCP-0125
MSL-000068,2025-07-03,REP-004,DrugGamma-200mg,Cardiology,Adverse Events / Safety,Self-Study,Fully Answered,8.3,11.1,0,4,
MSL-000069,2025-07-03,REP-008,DrugBeta-50mg,Immunology,Drug Interactions,Post-Call Follow-up,Fully Answered,7.3,12.9,0,5,
MSL-000070,2025-07-03,REP-008,DrugBeta-50mg,Immunology,Off-label Evidence Request,Post-Call Follow-up,Fully Answered,6.1,2.8,0,4,
MSL-000071,2025-07-03,REP-008,DrugBeta-50mg,Immunology,Mechanism of Action,Post-Call Follow-up,Fully Answered,14.4,22.5,0,4,
MSL-000072,2025-07-03,REP-008,DrugGamma-200mg,Immunology,Subgroup Analysis,Pre-Meeting Prep,Fully Answered,8.2,10.1,0,5,
MSL-000073,2025-07-03,REP-009,DrugBeta-50mg,Cardiology,Patient Selection Criteria,Live During HCP Call,Fully Answered,10.5,8.1,1,5,HCP-0277
MSL-000074,2025-07-03,REP-010,NeuroX-75mg,Immunology,Biomarker Data,Live During HCP Call,Fully Answered,9.0,9.1,1,5,HCP-0241
MSL-000075,2025-07-03,REP-010,CardioPlus-25mg,Immunology,Competitor Comparison,Self-Study,Fully Answered,5.6,18.4,0,5,
MSL-000076,2025-07-03,REP-010,CardioPlus-25mg,Immunology,Drug Interactions,Pre-Meeting Prep,Fully Answered,10.3,16.1,1,4,HCP-0463
MSL-000077,2025-07-03,REP-015,DrugGamma-200mg,Oncology,Competitor Comparison,Post-Call Follow-up,Fully Answered,4.2,12.0,0,5,
MSL-000078,2025-07-03,REP-015,NeuroX-75mg,Oncology,Drug Interactions,Live During HCP Call,Redirected to Medical,28.1,0,0,1,
MSL-000079,2025-07-03,REP-015,DrugBeta-50mg,Oncology,Long-term Outcomes,Live During HCP Call,Fully Answered,13.5,20.2,1,5,HCP-0490
MSL-000080,2025-07-03,REP-016,NeuroX-75mg,Neurology,Mechanism of Action,Self-Study,Fully Answered,11.8,19.0,0,4,
MSL-000081,2025-07-03,REP-016,DrugGamma-200mg,Neurology,Dosing Guidelines,Pre-Meeting Prep,No Answer Found,34.0,0,0,2,
MSL-000082,2025-07-03,REP-016,DrugAlpha-100mg,Neurology,Pharmacokinetics,Pre-Meeting Prep,Fully Answered,1,10.2,1,5,HCP-0140
MSL-000083,2025-07-03,REP-016,DrugGamma-200mg,Neurology,Mechanism of Action,Self-Study,Fully Answered,6.9,15.6,0,5,
MSL-000084,2025-07-03,REP-016,DrugGamma-200mg,Neurology,Patient Selection Criteria,Post-Call Follow-up,Fully Answered,1,8.8,0,5,
MSL-000085,2025-07-03,REP-016,DrugAlpha-100mg,Neurology,Pharmacokinetics,Self-Study,Fully Answered,8.2,14.9,0,5,
MSL-000086,2025-07-03,REP-016,DrugAlpha-100mg,Neurology,Subgroup Analysis,Pre-Meeting Prep,Partially Answered,11.9,25.2,0,2,
MSL-000087,2025-07-03,REP-017,NeuroX-75mg,Immunology,Long-term Outcomes,Post-Call Follow-up,Fully Answered,4.4,15.3,0,5,
MSL-000088,2025-07-03,REP-017,DrugAlpha-100mg,Immunology,Off-label Evidence Request,Live During HCP Call,Fully Answered,6.7,5.5,1,5,HCP-0072
MSL-000089,2025-07-03,REP-021,DrugAlpha-100mg,Rare Disease,Adverse Events / Safety,Pre-Meeting Prep,Fully Answered,9.5,5.4,1,5,HCP-0019
MSL-000090,2025-07-03,REP-021,DrugAlpha-100mg,Rare Disease,Combination Therapy,Live During HCP Call,Fully Answered,7.2,15.3,0,5,
MSL-000091,2025-07-03,REP-021,DrugBeta-50mg,Rare Disease,Biomarker Data,Pre-Meeting Prep,Fully Answered,8.1,7.2,0,5,
MSL-000092,2025-07-04,REP-002,NeuroX-75mg,Oncology,Real-World Evidence,Pre-Meeting Prep,Fully Answered,10.3,13.0,1,4,HCP-0269
MSL-000093,2025-07-04,REP-002,DrugGamma-200mg,Oncology,Biomarker Data,Self-Study,No Answer Found,13.9,0,0,1,
MSL-000094,2025-07-04,REP-002,DrugBeta-50mg,Oncology,Mechanism of Action,Pre-Meeting Prep,Fully Answered,7.0,14.6,1,5,HCP-0088
MSL-000095,2025-07-04,REP-002,DrugAlpha-100mg,Oncology,Pharmacokinetics,Post-Call Follow-up,Fully Answered,12.0,16.6,0,4,
MSL-000096,2025-07-04,REP-002,DrugBeta-50mg,Oncology,Biomarker Data,Pre-Meeting Prep,Fully Answered,9.3,2.1,0,4,
MSL-000097,2025-07-04,REP-002,NeuroX-75mg,Oncology,Biomarker Data,Pre-Meeting Prep,Fully Answered,1.8,11.6,1,4,HCP-0327
MSL-000098,2025-07-04,REP-004,CardioPlus-25mg,Cardiology,Subgroup Analysis,Pre-Meeting Prep,Redirected to Medical,29.0,0,0,2,
MSL-000099,2025-07-04,REP-004,DrugAlpha-100mg,Cardiology,Guidelines / Protocols,Pre-Meeting Prep,Partially Answered,8.9,20.5,1,4,HCP-0120
MSL-000100,2025-07-04,REP-004,NeuroX-75mg,Cardiology,Adverse Events / Safety,Pre-Meeting Prep,Fully Answered,9.6,4.5,1,5,HCP-0046
MSL-000101,2025-07-04,REP-008,DrugAlpha-100mg,Immunology,Patient Selection Criteria,Pre-Meeting Prep,Fully Answered,7.1,11.2,1,5,HCP-0454
MSL-000102,2025-07-04,REP-008,CardioPlus-25mg,Immunology,Competitor Comparison,Self-Study,No Answer Found,29.9,0,0,1,
MSL-000103,2025-07-04,REP-008,DrugAlpha-100mg,Immunology,Pharmacokinetics,Post-Call Follow-up,Fully Answered,7.5,3.1,0,5,
MSL-000104,2025-07-04,REP-008,DrugBeta-50mg,Immunology,Off-label Evidence Request,Post-Call Follow-up,Fully Answered,11.3,3.8,0,5,
MSL-000105,2025-07-04,REP-008,DrugAlpha-100mg,Immunology,Competitor Comparison,Live During HCP Call,Fully Answered,2.0,20.7,1,5,HCP-0327
MSL-000106,2025-07-04,REP-009,DrugGamma-200mg,Cardiology,Drug Interactions,Live During HCP Call,Partially Answered,18.8,18.6,0,4,
MSL-000107,2025-07-04,REP-015,CardioPlus-25mg,Oncology,Subgroup Analysis,Live During HCP Call,Fully Answered,8.4,9.7,0,5,
MSL-000108,2025-07-04,REP-015,DrugGamma-200mg,Oncology,Clinical Trial Data,Post-Call Follow-up,Fully Answered,4.5,14.7,0,5,
MSL-000109,2025-07-04,REP-015,DrugGamma-200mg,Oncology,Long-term Outcomes,Pre-Meeting Prep,Partially Answered,17.3,18.4,1,3,HCP-0448
MSL-000110,2025-07-04,REP-016,NeuroX-75mg,Neurology,Drug Interactions,Pre-Meeting Prep,Fully Answered,9.9,14.6,0,5,
MSL-000111,2025-07-04,REP-016,DrugGamma-200mg,Neurology,Biomarker Data,Live During HCP Call,Redirected to Medical,18.9,0,0,3,
MSL-000112,2025-07-04,REP-016,DrugAlpha-100mg,Neurology,Drug Interactions,Post-Call Follow-up,No Answer Found,42.7,0,0,1,
MSL-000113,2025-07-04,REP-016,NeuroX-75mg,Neurology,Real-World Evidence,Self-Study,Redirected to Medical,26.2,0,0,3,
MSL-000114,2025-07-04,REP-017,NeuroX-75mg,Immunology,Dosing Guidelines,Post-Call Follow-up,Fully Answered,4.7,5.7,0,5,
MSL-000115,2025-07-04,REP-017,CardioPlus-25mg,Immunology,Biomarker Data,Self-Study,Partially Answered,19.5,12.5,0,3,
MSL-000116,2025-07-04,REP-017,DrugAlpha-100mg,Immunology,Combination Therapy,Pre-Meeting Prep,Partially Answered,12.5,7.8,1,4,HCP-0320
MSL-000117,2025-07-04,REP-017,DrugAlpha-100mg,Immunology,Subgroup Analysis,Pre-Meeting Prep,Partially Answered,16.8,13.1,1,3,HCP-0118
MSL-000118,2025-07-04,REP-021,DrugGamma-200mg,Rare Disease,Patient Selection Criteria,Post-Call Follow-up,Redirected to Medical,32.5,0,0,2,
MSL-000119,2025-07-04,REP-021,NeuroX-75mg,Rare Disease,Drug Interactions,Pre-Meeting Prep,Fully Answered,19.7,9.6,1,5,HCP-0040
MSL-000120,2025-07-04,REP-021,DrugAlpha-100mg,Rare Disease,Drug Interactions,Self-Study,Fully Answered,12.0,18.0,0,4,
MSL-000121,2025-07-07,REP-002,NeuroX-75mg,Oncology,Adverse Events / Safety,Pre-Meeting Prep,Fully Answered,6.4,13.0,1,5,HCP-0485
MSL-000122,2025-07-07,REP-002,CardioPlus-25mg,Oncology,Subgroup Analysis,Post-Call Follow-up,Fully Answered,9.4,11.2,0,5,
MSL-000123,2025-07-07,REP-004,NeuroX-75mg,Cardiology,Adverse Events / Safety,Self-Study,Fully Answered,9.7,7.5,0,5,
MSL-000124,2025-07-07,REP-004,NeuroX-75mg,Cardiology,Guidelines / Protocols,Live During HCP Call,Fully Answered,5.7,12.4,1,5,HCP-0197
MSL-000125,2025-07-07,REP-004,DrugAlpha-100mg,Cardiology,Real-World Evidence,Pre-Meeting Prep,Fully Answered,9.0,10.9,1,4,HCP-0430
MSL-000126,2025-07-07,REP-004,DrugBeta-50mg,Cardiology,Mechanism of Action,Live During HCP Call,Partially Answered,12.0,7.0,1,4,HCP-0315
MSL-000127,2025-07-07,REP-008,NeuroX-75mg,Immunology,Adverse Events / Safety,Self-Study,Partially Answered,11.0,5.8,0,3,
MSL-000128,2025-07-07,REP-009,CardioPlus-25mg,Cardiology,Subgroup Analysis,Pre-Meeting Prep,Fully Answered,9.1,19.9,0,5,
MSL-000129,2025-07-07,REP-009,DrugBeta-50mg,Cardiology,Drug Interactions,Self-Study,Fully Answered,8.9,13.7,0,4,
MSL-000130,2025-07-07,REP-009,CardioPlus-25mg,Cardiology,Adverse Events / Safety,Post-Call Follow-up,Fully Answered,9.2,20.1,0,4,
MSL-000131,2025-07-07,REP-010,NeuroX-75mg,Immunology,Competitor Comparison,Live During HCP Call,Fully Answered,4.3,9.8,1,4,HCP-0225
MSL-000132,2025-07-07,REP-010,DrugAlpha-100mg,Immunology,Adverse Events / Safety,Self-Study,Fully Answered,8.2,18.9,0,5,
MSL-000133,2025-07-07,REP-010,NeuroX-75mg,Immunology,Off-label Evidence Request,Live During HCP Call,No Answer Found,24.9,0,0,2,
MSL-000134,2025-07-07,REP-016,DrugGamma-200mg,Neurology,Off-label Evidence Request,Pre-Meeting Prep,Fully Answered,7.6,7.1,1,5,HCP-0254
MSL-000135,2025-07-07,REP-016,DrugAlpha-100mg,Neurology,Real-World Evidence,Pre-Meeting Prep,Partially Answered,14.4,11.6,1,3,HCP-0144
MSL-000136,2025-07-07,REP-016,NeuroX-75mg,Neurology,Pharmacokinetics,Live During HCP Call,Fully Answered,10.3,2,1,5,HCP-0149
MSL-000137,2025-07-07,REP-017,NeuroX-75mg,Immunology,Subgroup Analysis,Live During HCP Call,Redirected to Medical,24.7,0,0,1,
MSL-000138,2025-07-07,REP-017,DrugGamma-200mg,Immunology,Adverse Events / Safety,Live During HCP Call,Fully Answered,9.5,22.5,1,5,HCP-0412
MSL-000139,2025-07-07,REP-017,DrugGamma-200mg,Immunology,Subgroup Analysis,Post-Call Follow-up,Fully Answered,7.2,12.9,0,4,
MSL-000140,2025-07-07,REP-021,DrugGamma-200mg,Rare Disease,Biomarker Data,Self-Study,Fully Answered,6.6,14.9,0,5,
MSL-000141,2025-07-07,REP-021,NeuroX-75mg,Rare Disease,Off-label Evidence Request,Pre-Meeting Prep,Fully Answered,9.3,8.6,1,5,HCP-0408
MSL-000142,2025-07-07,REP-021,DrugBeta-50mg,Rare Disease,Pharmacokinetics,Pre-Meeting Prep,Fully Answered,2.6,9.9,1,5,HCP-0198
MSL-000143,2025-07-07,REP-021,DrugGamma-200mg,Rare Disease,Pharmacokinetics,Pre-Meeting Prep,Partially Answered,20.5,5.7,1,4,HCP-0278
MSL-000144,2025-07-07,REP-021,DrugAlpha-100mg,Rare Disease,Competitor Comparison,Post-Call Follow-up,Fully Answered,10.2,15.9,0,5,
MSL-000145,2025-07-07,REP-021,NeuroX-75mg,Rare Disease,Competitor Comparison,Post-Call Follow-up,Fully Answered,7.9,15.2,0,5,
MSL-000146,2025-07-08,REP-002,DrugGamma-200mg,Oncology,Biomarker Data,Post-Call Follow-up,No Answer Found,31.2,0,0,2,
MSL-000147,2025-07-08,REP-002,NeuroX-75mg,Oncology,Pharmacokinetics,Pre-Meeting Prep,Fully Answered,1,12.0,1,4,HCP-0397
MSL-000148,2025-07-08,REP-002,NeuroX-75mg,Oncology,Real-World Evidence,Live During HCP Call,Fully Answered,6.1,5.0,1,4,HCP-0426
MSL-000149,2025-07-08,REP-002,DrugAlpha-100mg,Oncology,Drug Interactions,Post-Call Follow-up,Fully Answered,1.8,11.5,0,5,
MSL-000150,2025-07-08,REP-002,CardioPlus-25mg,Oncology,Subgroup Analysis,Live During HCP Call,Redirected to Medical,29.8,0,0,1,
MSL-000151,2025-07-08,REP-004,DrugAlpha-100mg,Cardiology,Clinical Trial Data,Pre-Meeting Prep,Fully Answered,11.3,3.3,1,5,HCP-0181
MSL-000152,2025-07-08,REP-004,DrugAlpha-100mg,Cardiology,Off-label Evidence Request,Live During HCP Call,Fully Answered,1,22.0,1,4,HCP-0139
MSL-000153,2025-07-08,REP-004,DrugGamma-200mg,Cardiology,Clinical Trial Data,Live During HCP Call,No Answer Found,26.0,0,0,2,
MSL-000154,2025-07-08,REP-008,DrugBeta-50mg,Immunology,Dosing Guidelines,Self-Study,Fully Answered,7.2,13.5,0,4,
MSL-000155,2025-07-08,REP-008,DrugAlpha-100mg,Immunology,Clinical Trial Data,Live During HCP Call,Fully Answered,13.7,15.8,1,5,HCP-0041
MSL-000156,2025-07-08,REP-008,DrugAlpha-100mg,Immunology,Mechanism of Action,Post-Call Follow-up,Redirected to Medical,24.9,0,0,2,
MSL-000157,2025-07-08,REP-008,DrugAlpha-100mg,Immunology,Clinical Trial Data,Pre-Meeting Prep,Fully Answered,1.4,21.8,0,5,
MSL-000158,2025-07-08,REP-009,DrugAlpha-100mg,Cardiology,Pharmacokinetics,Live During HCP Call,Fully Answered,3.7,14.0,0,4,
MSL-000159,2025-07-08,REP-009,DrugAlpha-100mg,Cardiology,Clinical Trial Data,Post-Call Follow-up,Fully Answered,10.5,11.7,0,5,
MSL-000160,2025-07-08,REP-009,NeuroX-75mg,Cardiology,Pharmacokinetics,Pre-Meeting Prep,Redirected to Medical,28.8,0,0,2,
MSL-000161,2025-07-08,REP-009,CardioPlus-25mg,Cardiology,Real-World Evidence,Post-Call Follow-up,Partially Answered,17.2,14.7,0,4,
MSL-000162,2025-07-08,REP-015,DrugGamma-200mg,Oncology,Patient Selection Criteria,Pre-Meeting Prep,Fully Answered,8.6,10.1,1,5,HCP-0069
MSL-000163,2025-07-08,REP-015,DrugBeta-50mg,Oncology,Mechanism of Action,Post-Call Follow-up,Fully Answered,7.3,9.6,0,4,
MSL-000164,2025-07-08,REP-015,DrugGamma-200mg,Oncology,Long-term Outcomes,Pre-Meeting Prep,Fully Answered,6.0,8.3,1,4,HCP-0257
MSL-000165,2025-07-08,REP-015,CardioPlus-25mg,Oncology,Drug Interactions,Post-Call Follow-up,Partially Answered,11.9,13.3,0,4,
MSL-000166,2025-07-08,REP-015,DrugBeta-50mg,Oncology,Patient Selection Criteria,Live During HCP Call,Fully Answered,8.5,16.0,1,5,HCP-0101
MSL-000167,2025-07-08,REP-016,DrugBeta-50mg,Neurology,Biomarker Data,Post-Call Follow-up,No Answer Found,41.7,0,0,3,
MSL-000168,2025-07-08,REP-016,DrugBeta-50mg,Neurology,Long-term Outcomes,Post-Call Follow-up,Partially Answered,5.0,6.5,0,4,
MSL-000169,2025-07-08,REP-016,DrugAlpha-100mg,Neurology,Biomarker Data,Post-Call Follow-up,Partially Answered,4.1,6.6,0,2,
MSL-000170,2025-07-08,REP-016,DrugBeta-50mg,Neurology,Drug Interactions,Pre-Meeting Prep,Partially Answered,9.5,20.5,0,4,
MSL-000171,2025-07-08,REP-016,NeuroX-75mg,Neurology,Combination Therapy,Pre-Meeting Prep,Fully Answered,5.4,16.4,0,4,
MSL-000172,2025-07-08,REP-016,DrugGamma-200mg,Neurology,Real-World Evidence,Post-Call Follow-up,Fully Answered,12.5,3.4,0,4,
MSL-000173,2025-07-08,REP-016,DrugBeta-50mg,Neurology,Patient Selection Criteria,Post-Call Follow-up,Fully Answered,3.3,19.9,0,5,
MSL-000174,2025-07-08,REP-017,DrugGamma-200mg,Immunology,Long-term Outcomes,Self-Study,Partially Answered,11.1,2,0,3,
MSL-000175,2025-07-08,REP-017,DrugAlpha-100mg,Immunology,Guidelines / Protocols,Live During HCP Call,Fully Answered,1,11.7,1,4,HCP-0140
MSL-000176,2025-07-08,REP-017,DrugAlpha-100mg,Immunology,Combination Therapy,Pre-Meeting Prep,Partially Answered,14.1,19.5,0,3,
MSL-000177,2025-07-08,REP-017,DrugBeta-50mg,Immunology,Dosing Guidelines,Pre-Meeting Prep,Partially Answered,7.0,4.0,1,3,HCP-0481
MSL-000178,2025-07-08,REP-017,DrugBeta-50mg,Immunology,Subgroup Analysis,Pre-Meeting Prep,Fully Answered,12.2,12.4,0,4,
MSL-000179,2025-07-08,REP-021,DrugAlpha-100mg,Rare Disease,Long-term Outcomes,Pre-Meeting Prep,Fully Answered,7.5,12.4,1,5,HCP-0173
