return_id,order_id,return_date,reason_code,refund_amount
RET0057,ORD01104,2022-04-25,Not As Described,451.4
RET0058,ORD00169,2022-02-15,Damaged in Shipping,266.83
RET0059,ORD01671,2023-01-15,Arrived Late,462.05
RET0060,ORD02571,2022-04-27,Damaged in Shipping,99.13
RET0061,ORD02378,2024-05-20,Not As Described,133.77
RET0062,ORD04396,2023-09-04,Wrong Size,151.57
RET0063,ORD04258,2022-05-26,Damaged in Shipping,101.38
RET0064,ORD03863,2024-12-28,Wrong Size,37.35
RET0065,ORD00024,2022-02-18,Changed Mind,268.79
RET0066,ORD02634,2024-10-15,Defective,216.09
RET0067,ORD03341,2022-06-21,Arrived Late,36.67
RET0068,ORD02216,2022-03-22,Not As Described,80.25
RET0069,ORD03683,2024-05-21,Changed Mind,667.51
RET0070,ORD04725,2024-05-21,Changed Mind,1375.65
RET0071,ORD01908,2023-12-12,Damaged in Shipping,37.86
RET0072,ORD00085,2022-03-09,Defective,20.32
RET0073,ORD00228,2022-05-27,Damaged in Shipping,51.35
RET0074,ORD00297,2023-09-01,Not As Described,711.15
RET0075,ORD01002,2024-03-22,Defective,75.8
RET0076,ORD02139,2023-06-15,Damaged in Shipping,1162.76
RET0077,ORD00712,2022-04-22,Changed Mind,144.89
RET0078,ORD02802,2024-06-22,Changed Mind,772.59
RET0079,ORD02528,2023-11-30,Damaged in Shipping,146.98
RET0080,ORD03753,2023-07-12,Damaged in Shipping,142.32
RET0081,ORD03322,2022-02-04,Damaged in Shipping,239.61
RET0082,ORD03182,2022-10-09,Damaged in Shipping,3538.42
RET0083,ORD04184,2022-02-17,Not As Described,499.44
RET0084,ORD01616,2022-12-24,Not As Described,38.9
RET0085,ORD03025,2023-09-15,Arrived Late,401.82
RET0086,ORD01414,2023-09-30,Defective,268.92
RET0087,ORD00764,2023-04-26,Wrong Size,151.17
RET0088,ORD00656,2025-01-05,Not As Described,923.13
RET0089,ORD04798,2024-02-09,Defective,4.69
RET0090,ORD03850,2022-11-05,Damaged in Shipping,198.35
RET0091,ORD04154,2024-01-04,Defective,262.54
RET0092,ORD00469,2024-06-22,Wrong Size,286.22
RET0093,ORD00158,2022-09-22,Defective,54.87
RET0094,ORD01296,2024-10-19,Not As Described,443.13
RET0095,ORD00498,2023-11-14,Arrived Late,1260.72
RET0096,ORD04741,2023-10-20,Damaged in Shipping,808.75
RET0097,ORD02941,2022-09-29,Damaged in Shipping,69.25
RET0098,ORD03457,2025-01-23,Arrived Late,53.48
RET0099,ORD00374,2022-11-01,Arrived Late,187.94
RET0100,ORD00080,2025-02-05,Defective,707.21
RET0101,ORD01554,2023-07-21,Changed Mind,36.95
RET0102,ORD01670,2022-12-27,Changed Mind,182.65
RET0103,ORD02132,2022-09-03,Changed Mind,197.09
RET0104,ORD04440,2024-11-09,Wrong Size,192.94
RET0105,ORD00466,2024-09-19,Defective,44.14
RET0106,ORD00249,2024-03-16,Defective,808.79
RET0107,ORD00932,2024-08-04,Defective,60.62
RET0108,ORD01336,2022-09-22,Damaged in Shipping,28.36
RET0109,ORD04525,2023-01-24,Arrived Late,138.84
RET0110,ORD01339,2023-12-09,Defective,655.1
RET0111,ORD01407,2022-02-19,Not As Described,644.15
RET0112,ORD01091,2024-02-19,Defective,308.9
RET0113,ORD04210,2023-07-02,Changed Mind,87.91
RET0114,ORD00743,2023-01-20,Changed Mind,274.69
RET0115,ORD02324,2024-07-29,Changed Mind,157.03
RET0116,ORD03602,2022-02-27,Wrong Size,743.79
RET0117,ORD02124,2022-09-29,Wrong Size,300.2
RET0118,ORD02095,2022-09-05,Damaged in Shipping,232.88
RET0119,ORD00241,2024-02-07,Arrived Late,30.01
RET0120,ORD02352,2023-06-09,Changed Mind,121.54
RET0121,ORD01371,2024-08-25,Arrived Late,14.92
RET0122,ORD01058,2025-02-01,Not As Described,162.62
RET0123,ORD04817,2022-09-05,Not As Described,67.92
RET0124,ORD00200,2023-09-21,Arrived Late,161.01
RET0125,ORD02281,2023-02-14,Damaged in Shipping,570.96
RET0126,ORD04750,2022-12-25,Changed Mind,311.53
RET0127,ORD02221,2024-11-28,Wrong Size,207.66
RET0128,ORD04772,2022-12-30,Defective,63.22
RET0129,ORD02820,2022-08-10,Defective,350.84
RET0130,ORD03151,2022-10-01,Changed Mind,88.97
RET0131,ORD04257,2022-05-13,Not As Described,39.62
RET0132,ORD03108,2024-07-03,Wrong Size,152.78
RET0133,ORD01974,2023-07-25,Changed Mind,9.96
RET0134,ORD01376,2024-10-17,Defective,177.05
RET0135,ORD03969,2022-10-15,Changed Mind,160.37
RET0136,ORD04063,2023-04-25,Not As Described,92.72
RET0137,ORD04446,2024-11-06,Wrong Size,139.03
RET0138,ORD03558,2023-06-27,Not As Described,555.54
RET0139,ORD00965,2023-02-02,Arrived Late,129.67
RET0140,ORD00180,2024-01-27,Damaged in Shipping,62.63
RET0141,ORD03699,2022-09-15,Defective,382.16
RET0142,ORD03822,2024-08-08,Defective,76.47
RET0143,ORD04879,2023-07-15,Damaged in Shipping,88.92
RET0144,ORD03900,2024-08-03,Damaged in Shipping,351.11
RET0145,ORD04488,2024-02-05,Not As Described,88.65
RET0146,ORD03239,2024-04-22,Damaged in Shipping,189.12
RET0147,ORD02975,2022-02-04,Arrived Late,28.54
RET0148,ORD03581,2024-11-07,Defective,92.72
RET0149,ORD02888,2024-06-20,Defective,774.31
RET0150,ORD02576,2022-12-18,Arrived Late,4.36
RET0151,ORD01420,2024-07-06,Changed Mind,124.85
RET0152,ORD03908,2023-08-22,Defective,308.05
RET0153,ORD04674,2025-01-18,Arrived Late,655.91
RET0154,ORD04903,2022-03-26,Changed Mind,50.88
RET0155,ORD01861,2023-05-20,Arrived Late,961.51
RET0156,ORD00009,2024-12-06,Not As Described,57.36
RET0157,ORD02895,2022-12-25,Not As Described,72.55
RET0158,ORD02848,2024-06-30,Wrong Size,58.1
RET0159,ORD03665,2022-06-21,Wrong Size,158.07
RET0160,ORD00145,2023-01-15,Arrived Late,267.98
RET0161,ORD02105,2024-07-20,Arrived Late,69.77
RET0162,ORD03144,2022-11-01,Arrived Late,213.44
RET0163,ORD00842,2024-12-01,Defective,6.93
RET0164,ORD01129,2025-01-19,Changed Mind,25.38
RET0165,ORD00152,2023-03-06,Arrived Late,202.93
RET0166,ORD03592,2023-04-13,Not As Described,270.4
RET0167,ORD01053,2022-03-19,Damaged in Shipping,32.03
RET0168,ORD01591,2025-01-26,Defective,562.68
RET0169,ORD03009,2022-03-26,Changed Mind,881.4
RET0170,ORD02030,2024-08-21,Not As Described,396.28
RET0171,ORD03419,2023-10-22,Changed Mind,59.84
RET0172,ORD01808,2024-03-14,Arrived Late,105.51
RET0173,ORD02697,2022-06-07,Damaged in Shipping,367.99
RET0174,ORD03040,2023-02-17,Arrived Late,1459.65
RET0175,ORD00473,2024-10-09,Damaged in Shipping,945.35
RET0176,ORD03290,2022-02-28,Arrived Late,430.81
RET0177,ORD04075,2024-07-05,Changed Mind,227.36
RET0178,ORD03497,2024-09-09,Damaged in Shipping,8.22
RET0179,ORD00280,2022-05-14,Not As Described,547.65
RET0180,ORD01742,2023-03-18,Wrong Size,18.73
RET0181,ORD04625,2022-01-13,Defective,126.73
RET0182,ORD02887,2023-12-03,Damaged in Shipping,55.63
RET0183,ORD01942,2024-09-26,Defective,484.63
RET0184,ORD00101,2024-03-30,Arrived Late,328.38
RET0185,ORD02805,2023-11-25,Changed Mind,34.15
RET0186,ORD03571,2023-10-30,Damaged in Shipping,128.83
RET0187,ORD03685,2022-11-21,Not As Described,228.3
RET0188,ORD03662,2024-10-04,Changed Mind,118.64
RET0189,ORD00531,2024-09-24,Arrived Late,30.12
RET0190,ORD01887,2022-10-26,Not As Described,604.51
RET0191,ORD00682,2023-01-22,Wrong Size,682.41
RET0192,ORD03795,2025-01-08,Arrived Late,750.76
RET0193,ORD03945,2022-06-21,Defective,181.91
RET0194,ORD04667,2024-11-06,Changed Mind,39.8
RET0195,ORD02019,2024-09-15,Not As Described,8.93
RET0196,ORD01097,2022-11-10,Wrong Size,73.72
RET0197,ORD00830,2022-11-10,Damaged in Shipping,196.04
RET0198,ORD02806,2022-02-18,Arrived Late,73.63
RET0199,ORD03830,2024-03-02,Not As Described,207.34
RET0200,ORD04382,2023-12-20,Arrived Late,54.02
RET0201,ORD03892,2022-09-26,Arrived Late,22.73
RET0202,ORD00765,2022-07-27,Damaged in Shipping,67.18
RET0203,ORD02768,2024-10-31,Wrong Size,120.05
RET0204,ORD04329,2023-10-07,Arrived Late,180.41
RET0205,ORD03296,2024-04-05,Wrong Size,99.27
RET0206,ORD02195,2022-09-03,Defective,20.09
RET0207,ORD02358,2022-07-30,Damaged in Shipping,197.6
RET0208,ORD03426,2023-08-06,Changed Mind,209.37
RET0209,ORD03980,2023-07-13,Defective,27.15
RET0210,ORD00912,2022-10-04,Wrong Size,51.83
RET0211,ORD03146,2022-11-26,Not As Described,159.52
RET0212,ORD01000,2024-12-24,Wrong Size,404.91
RET0213,ORD03654,2024-02-23,Not As Described,37.37
RET0214,ORD02484,2024-06-06,Wrong Size,220.18
RET0215,ORD04077,2023-09-16,Wrong Size,182.98
RET0216,ORD02371,2024-09-15,Not As Described,51.33
RET0217,ORD04839,2024-01-05,Wrong Size,131.01
RET0218,ORD00034,2022-03-27,Not As Described,100.9
RET0219,ORD03790,2023-12-29,Damaged in Shipping,751.72
RET0220,ORD01021,2024-07-30,Damaged in Shipping,160.33
RET0221,ORD01648,2022-12-22,Not As Described,195.96
RET0222,ORD00734,2023-10-18,Changed Mind,373.74
RET0223,ORD04583,2023-09-21,Wrong Size,55.47
RET0224,ORD03275,2024-11-03,Changed Mind,178.65
RET0225,ORD01621,2022-07-08,Not As Described,205.97
RET0226,ORD03136,2024-02-08,Changed Mind,328.62
RET0227,ORD02690,2022-01-28,Not As Described,123.71
RET0228,ORD02708,2022-12-20,Not As Described,327.47
RET0229,ORD00298,2024-11-18,Arrived Late,706.44
RET0230,ORD02340,2023-11-18,Changed Mind,15.79
RET0231,ORD00654,2023-10-13,Arrived Late,576.51
RET0232,ORD03775,2025-01-12,Not As Described,109.96
RET0233,ORD01256,2024-03-19,Changed Mind,50.25
RET0234,ORD04521,2022-06-13,Wrong Size,479.0
RET0235,ORD00231,2024-10-31,Changed Mind,125.08
RET0236,ORD03277,2023-08-14,Arrived Late,273.72
RET0237,ORD03231,2022-06-30,Changed Mind,14.73
RET0238,ORD00692,2023-05-21,Defective,102.97
RET0239,ORD02755,2024-12-20,Arrived Late,273.08
RET0240,ORD04864,2023-06-30,Changed Mind,644.41
RET0241,ORD00970,2023-11-01,Damaged in Shipping,309.91
RET0242,ORD00634,2023-04-21,Changed Mind,68.19
RET0243,ORD04093,2023-08-20,Defective,1259.52
RET0244,ORD04078,2024-02-28,Not As Described,23.62
RET0245,ORD01322,2024-01-16,Damaged in Shipping,164.19
RET0246,ORD01832,2024-06-07,Wrong Size,183.18
RET0247,ORD02179,2023-11-06,Not As Described,62.67
RET0248,ORD01418,2022-08-12,Not As Described,206.41
RET0249,ORD01783,2022-11-28,Arrived Late,189.57
RET0250,ORD04716,2025-01-07,Damaged in Shipping,96.82
RET0251,ORD04702,2023-04-07,Wrong Size,222.59
RET0252,ORD04119,2022-02-25,Arrived Late,460.5
RET0253,ORD01653,2023-01-29,Defective,73.34
RET0254,ORD01484,2023-10-17,Damaged in Shipping,167.5
RET0255,ORD02276,2022-08-20,Arrived Late,249.45
RET0256,ORD00878,2024-05-13,Arrived Late,200.18
RET0257,ORD03526,2022-04-29,Wrong Size,76.27
RET0258,ORD02017,2022-07-28,Damaged in Shipping,752.52
RET0259,ORD00427,2022-08-07,Not As Described,37.3
RET0260,ORD00627,2023-12-20,Wrong Size,198.29
RET0261,ORD01590,2025-02-05,Changed Mind,69.27
RET0262,ORD02224,2024-05-03,Not As Described,33.61
RET0263,ORD02218,2023-12-06,Damaged in Shipping,175.45
RET0264,ORD04484,2022-12-10,Wrong Size,182.86
RET0265,ORD01486,2022-04-29,Defective,27.66
RET0266,ORD01740,2023-07-11,Not As Described,127.84
RET0267,ORD02481,2023-11-19,Damaged in Shipping,175.64
RET0268,ORD02585,2024-06-16,Arrived Late,501.74
RET0269,ORD02894,2023-07-03,Defective,147.77
RET0270,ORD00150,2022-12-22,Defective,418.03
RET0271,ORD00677,2022-06-10,Arrived Late,245.06
RET0272,ORD01262,2023-04-15,Damaged in Shipping,285.16
RET0273,ORD04918,2023-03-22,Arrived Late,385.37
RET0274,ORD00013,2023-12-25,Arrived Late,212.57
RET0275,ORD01834,2023-02-28,Not As Described,623.58
RET0276,ORD03249,2024-01-01,Changed Mind,1059.05
RET0277,ORD01492,2025-01-02,Wrong Size,447.68
RET0278,ORD02728,2023-02-10,Arrived Late,457.37
RET0279,ORD03687,2023-01-16,Changed Mind,82.53
RET0280,ORD01425,2024-10-19,Arrived Late,257.24
RET0281,ORD04606,2024-06-16,Not As Described,268.84
RET0282,ORD04596,2024-12-05,Arrived Late,182.29
RET0283,ORD00732,2024-01-10,Defective,16.4
RET0284,ORD01232,2024-01-01,Changed Mind,205.18
RET0285,ORD01635,2024-12-15,Damaged in Shipping,76.28
RET0286,ORD03937,2023-06-03,Changed Mind,22.54
RET0287,ORD01211,2023-12-05,Damaged in Shipping,83.71
RET0288,ORD03269,2024-03-28,Wrong Size,144.46
RET0289,ORD01935,2023-05-31,Damaged in Shipping,70.58
RET0290,ORD00554,2024-12-31,Arrived Late,560.15
RET0291,ORD00492,2022-11-15,Wrong Size,451.98
RET0292,ORD02963,2022-07-27,Wrong Size,137.94
RET0293,ORD02330,2023-01-10,Arrived Late,327.72
RET0294,ORD02196,2022-05-14,Damaged in Shipping,304.05
RET0295,ORD03065,2022-12-11,Arrived Late,650.79
RET0296,ORD00658,2024-11-02,Defective,323.82
RET0297,ORD02375,2024-05-28,Defective,30.1
RET0298,ORD02226,2022-02-07,Defective,277.45
RET0299,ORD04265,2023-02-12,Damaged in Shipping,272.41
RET0300,ORD01171,2024-08-22,Damaged in Shipping,116.86
RET0301,ORD00133,2022-03-18,Wrong Size,28.68
RET0302,ORD00472,2024-09-17,Defective,217.81
RET0303,ORD03226,2023-08-26,Arrived Late,377.32
RET0304,ORD01406,2024-05-06,Not As Described,431.89
RET0305,ORD02877,2023-12-25,Wrong Size,188.35
RET0306,ORD04505,2022-12-05,Defective,47.62
RET0307,ORD04693,2024-08-01,Changed Mind,75.11
RET0308,ORD02827,2023-05-30,Changed Mind,187.55
RET0309,ORD00288,2024-07-18,Wrong Size,388.35
RET0310,ORD01870,2022-06-09,Defective,4368.52
RET0311,ORD03115,2024-08-04,Not As Described,151.09
RET0312,ORD03626,2024-01-29,Not As Described,169.89
RET0313,ORD02313,2024-11-08,Arrived Late,265.41
RET0314,ORD04924,2023-09-27,Changed Mind,108.29
RET0315,ORD01619,2024-01-21,Arrived Late,522.64
RET0316,ORD00995,2022-07-12,Defective,10.05
RET0317,ORD01804,2022-05-21,Arrived Late,21.2
RET0318,ORD02643,2022-06-02,Arrived Late,86.51
RET0319,ORD04803,2023-07-13,Changed Mind,427.04
RET0320,ORD03536,2024-10-25,Defective,304.2
RET0321,ORD04832,2023-06-26,Defective,31.04
RET0322,ORD03912,2023-11-02,Not As Described,129.8
RET0323,ORD02108,2024-05-16,Not As Described,391.26
RET0324,ORD03045,2022-07-18,Wrong Size,98.59
RET0325,ORD00417,2024-02-03,Damaged in Shipping,70.72
RET0326,ORD00978,2022-06-19,Wrong Size,79.51
RET0327,ORD02418,2022-07-05,Arrived Late,524.56
RET0328,ORD00506,2024-10-19,Defective,363.75
RET0329,ORD04153,2022-02-01,Damaged in Shipping,92.31
RET0330,ORD04256,2024-06-13,Changed Mind,102.77
RET0331,ORD03942,2022-10-25,Arrived Late,457.97
RET0332,ORD00415,2022-12-08,Defective,103.73
RET0333,ORD04149,2023-10-25,Arrived Late,212.92
RET0334,ORD01184,2024-05-17,Changed Mind,65.36
RET0335,ORD00486,2022-07-07,Not As Described,104.89
RET0336,ORD00894,2022-12-31,Not As Described,209.79
RET0337,ORD00806,2024-01-10,Wrong Size,45.95
RET0338,ORD00556,2024-11-30,Arrived Late,325.87
RET0339,ORD03826,2024-07-17,Defective,136.37
RET0340,ORD01198,2024-08-26,Wrong Size,94.12
RET0341,ORD04254,2023-08-27,Defective,327.28
RET0342,ORD04059,2023-08-17,Arrived Late,173.6
RET0343,ORD01294,2024-05-18,Not As Described,98.29
RET0344,ORD02222,2023-06-11,Changed Mind,45.0
RET0345,ORD03505,2022-07-18,Wrong Size,86.23
RET0346,ORD03655,2022-09-10,Damaged in Shipping,97.75
RET0347,ORD04759,2024-08-04,Wrong Size,227.35
RET0348,ORD03007,2024-03-19,Defective,113.81
RET0349,ORD02094,2023-10-19,Arrived Late,56.02
RET0350,ORD02188,2023-03-01,Defective,44.72
RET0351,ORD03037,2023-11-02,Defective,429.82
RET0352,ORD03919,2022-04-21,Changed Mind,507.35
RET0353,ORD01273,2023-03-17,Defective,703.46
RET0354,ORD00291,2023-08-11,Defective,106.42
RET0355,ORD04828,2022-12-21,Wrong Size,31.01
RET0356,ORD00253,2024-10-05,Defective,561.78
RET0357,ORD03246,2022-12-14,Not As Described,78.02
RET0358,ORD00351,2022-12-16,Arrived Late,699.48
RET0359,ORD01188,2024-09-27,Damaged in Shipping,314.84
RET0360,ORD01962,2023-06-22,Wrong Size,819.27
RET0361,ORD00423,2024-07-19,Not As Described,203.43
RET0362,ORD00091,2024-10-12,Changed Mind,460.48
RET0363,ORD03730,2024-01-01,Wrong Size,161.28
RET0364,ORD02237,2023-03-12,Defective,73.95
RET0365,ORD00671,2024-07-07,Not As Described,59.47
RET0366,ORD03041,2023-07-28,Changed Mind,96.71
RET0367,ORD00027,2023-01-10,Not As Described,81.19
RET0368,ORD00430,2023-10-30,Damaged in Shipping,123.74
RET0369,ORD00684,2024-08-01,Wrong Size,178.55
RET0370,ORD04464,2024-10-28,Defective,115.12
RET0371,ORD03946,2023-01-22,Changed Mind,125.77
RET0372,ORD03524,2024-08-18,Arrived Late,48.19
RET0373,ORD01542,2022-03-28,Defective,1762.88
RET0374,ORD02032,2023-02-05,Defective,627.47
RET0375,ORD02233,2024-06-24,Not As Described,580.69
RET0376,ORD04121,2022-06-21,Changed Mind,208.84
RET0377,ORD03236,2024-12-18,Wrong Size,318.7
RET0378,ORD00255,2025-01-17,Wrong Size,203.17
RET0379,ORD01030,2023-04-04,Damaged in Shipping,36.18
RET0380,ORD04393,2023-10-09,Changed Mind,1508.2
RET0381,ORD03801,2023-12-03,Wrong Size,460.86
RET0382,ORD04311,2025-01-18,Arrived Late,572.05
RET0383,ORD02510,2023-03-02,Defective,385.74
RET0384,ORD02293,2022-11-16,Arrived Late,308.33
RET0385,ORD01324,2022-12-16,Changed Mind,128.62
RET0386,ORD01551,2023-09-14,Changed Mind,151.25
RET0387,ORD04648,2024-01-23,Defective,41.08
RET0388,ORD00316,2023-03-22,Arrived Late,1081.22
RET0389,ORD01243,2023-06-26,Not As Described,275.85
RET0390,ORD02451,2024-08-09,Defective,131.36
RET0391,ORD01579,2024-02-03,Arrived Late,107.67
RET0392,ORD04626,2023-09-13,Not As Described,121.05
RET0393,ORD03117,2024-08-23,Changed Mind,276.95
RET0394,ORD00070,2023-02-14,Defective,46.78
RET0395,ORD00860,2022-06-30,Defective,891.48
RET0396,ORD02754,2022-10-24,Defective,63.89
RET0397,ORD01633,2023-08-22,Wrong Size,262.83
RET0398,ORD01651,2023-01-28,Changed Mind,100.58
RET0399,ORD03861,2024-06-01,Arrived Late,81.18
RET0400,ORD03107,2023-10-17,Arrived Late,152.18
